Humedal,Comuna,Cuenca,Percentil_empirico,Acumulado_corregido_mm,Anomalia_pct,Susceptibilidad_inundacion,Amenaza_inundacion,Clase_amenaza,Retencion_suelo,Fuente_suelo
Sin información,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,142.3,267.4,0.732,0.642,Muy Alta,0.55,CIREN
Sin información,Casablanca,Costeras entre Aconcagua y Maipo,93.8,136.1,251.4,0.494,0.433,Muy Alta,0.717,FAO
Sin información,Casablanca,Costeras entre Aconcagua y Maipo,93.8,136.1,251.4,0.442,0.387,Alta,0.55,CIREN
Sin información,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,142.3,267.4,0.393,0.345,Alta,0.329,CIREN
Sin información,Casablanca,Costeras entre Aconcagua y Maipo,93.8,127.2,228.4,0.637,0.558,Muy Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,90.6,119.8,194.0,0.48,0.389,Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,125.9,209.0,0.584,0.511,Muy Alta,0.55,CIREN
Sin información,Quilpué,Rio Maipo,93.8,125.9,209.0,0.454,0.398,Alta,0.55,CIREN
Sin información,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,142.3,267.4,0.569,0.499,Muy Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,136.1,251.4,0.664,0.582,Muy Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,90.6,119.8,194.0,0.764,0.62,Muy Alta,0.717,FAO
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,136.1,251.4,0.547,0.479,Muy Alta,0.717,FAO
Sin información,Valparaíso,Costeras entre Aconcagua y Maipo,90.6,107.2,191.4,0.471,0.383,Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,128.5,249.2,0.649,0.568,Muy Alta,0.229,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,125.7,225.3,0.649,0.568,Muy Alta,0.55,CIREN
Sin información,Quilpué,Rio Maipo,93.8,175.7,254.6,0.379,0.332,Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,125.7,225.3,0.548,0.48,Muy Alta,0.55,CIREN
Embalse El Peral,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,159.4,333.2,0.361,0.316,Moderada,0.55,CIREN
Sin información,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,133.4,262.6,0.84,0.736,Muy Alta,0.717,FAO
Sin información,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,133.4,262.6,0.443,0.388,Alta,0.229,CIREN
Sin información,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,133.4,262.6,0.506,0.443,Muy Alta,0.55,CIREN
Sin información,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,133.4,262.6,0.545,0.477,Muy Alta,0.229,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,125.7,225.3,0.597,0.523,Muy Alta,0.717,FAO
Sin información,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,133.4,262.6,0.406,0.356,Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,128.5,249.2,0.406,0.356,Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,128.5,249.2,0.349,0.306,Moderada,0.0,CIREN
Sin información,Villa Alemana,Costeras entre Aconcagua y Maipo,93.8,125.7,225.3,0.666,0.584,Muy Alta,0.717,FAO
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,128.5,249.2,0.515,0.451,Muy Alta,0.55,CIREN
Sin información,Villa Alemana,Costeras entre Aconcagua y Maipo,93.8,125.7,225.3,0.539,0.472,Muy Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,128.5,249.2,0.498,0.436,Muy Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,128.5,249.2,0.454,0.398,Muy Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,128.5,249.2,0.555,0.486,Muy Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,128.5,249.2,0.428,0.375,Alta,0.55,CIREN
Sin información,Villa Alemana,Costeras entre Aconcagua y Maipo,93.8,125.7,225.3,0.629,0.551,Muy Alta,0.717,FAO
Sin información,Limache,Rio Aconcagua,93.8,125.7,225.3,0.69,0.604,Muy Alta,0.717,FAO
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,128.5,249.2,0.459,0.402,Muy Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,128.5,249.2,0.495,0.433,Muy Alta,0.717,FAO
Sin información,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,133.4,262.6,0.513,0.449,Muy Alta,0.55,CIREN
Sin información,Limache,Rio Aconcagua,93.8,125.7,225.3,0.483,0.423,Muy Alta,0.55,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,128.5,249.2,0.439,0.385,Alta,0.229,CIREN
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,93.8,128.5,249.2,0.467,0.409,Muy Alta,0.55,CIREN
Sin información,Villa Alemana,Rio Aconcagua,93.8,125.7,225.3,0.453,0.397,Alta,0.55,CIREN
Sin información,Limache,Rio Aconcagua,93.8,125.7,225.3,0.454,0.398,Muy Alta,0.417,CIREN
Sin información,Limache,Rio Aconcagua,93.8,125.7,225.3,0.385,0.337,Alta,0.55,CIREN
Sin información,Limache,Rio Aconcagua,93.8,124.2,221.4,0.723,0.633,Muy Alta,0.55,CIREN
Sin información,Limache,Rio Aconcagua,93.8,124.2,221.4,0.426,0.373,Alta,0.55,CIREN
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.412,0.361,Alta,0.383,CIREN
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.672,0.589,Muy Alta,0.717,FAO
Sin información,Olmué,Rio Aconcagua,93.8,134.4,247.8,0.409,0.358,Alta,0.55,CIREN
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.451,0.395,Alta,0.55,CIREN
Sin información,Olmué,Rio Aconcagua,93.8,157.8,218.5,0.357,0.313,Moderada,0.25,CIREN
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.31,0.272,Baja,0.467,CIREN
Sin información,Limache,Rio Aconcagua,93.8,124.2,221.4,0.737,0.645,Muy Alta,0.717,FAO
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.502,0.44,Muy Alta,0.717,FAO
Sin información,Villa Alemana,Rio Aconcagua,93.8,124.2,221.4,0.581,0.509,Muy Alta,0.369,CIREN
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.542,0.475,Muy Alta,0.717,FAO
Sin información,Olmué,Rio Aconcagua,93.8,157.8,218.5,0.452,0.396,Alta,0.55,CIREN
Sin información,Limache,Rio Aconcagua,93.8,124.2,221.4,0.543,0.476,Muy Alta,0.55,CIREN
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.327,0.287,Moderada,0.483,CIREN
Sin información,Olmué,Rio Aconcagua,93.8,134.4,247.8,0.462,0.405,Muy Alta,0.239,CIREN
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.478,0.419,Muy Alta,0.519,CIREN
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.54,0.473,Muy Alta,0.767,CIREN
Sin información,Olmué,Rio Aconcagua,93.8,134.4,247.8,0.434,0.38,Alta,0.0,CIREN
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.509,0.446,Muy Alta,0.55,CIREN
Sin información,Olmué,Rio Aconcagua,93.8,134.4,247.8,0.439,0.384,Alta,0.523,CIREN
Sin información,Villa Alemana,Rio Aconcagua,93.8,124.2,221.4,0.424,0.371,Alta,0.55,CIREN
Sin información,Olmué,Rio Aconcagua,93.8,134.4,247.8,0.315,0.276,Baja,0.0,CIREN
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.363,0.318,Moderada,0.55,CIREN
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.46,0.403,Muy Alta,0.767,CIREN
Sin información,Olmué,Rio Aconcagua,93.8,134.4,247.8,0.56,0.49,Muy Alta,0.519,CIREN
Sin información,Villa Alemana,Rio Aconcagua,93.8,124.2,221.4,0.502,0.44,Muy Alta,0.717,FAO
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.413,0.362,Alta,0.271,CIREN
Sin información,Olmué,Rio Aconcagua,93.8,134.4,247.8,0.375,0.328,Moderada,0.717,FAO
Sin información,Limache,Rio Aconcagua,93.8,134.4,247.8,0.363,0.318,Moderada,0.195,CIREN
Sin información,Limache,Rio Aconcagua,93.8,124.2,221.4,0.21,0.184,Muy Baja,0.383,CIREN
Sin información,Limache,Rio Aconcagua,93.8,149.8,287.7,0.47,0.411,Muy Alta,0.467,CIREN
Sin información,Limache,Rio Aconcagua,93.8,149.8,287.7,0.493,0.432,Muy Alta,0.467,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.357,0.312,Moderada,0.483,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.211,0.185,Muy Baja,0.2,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.367,0.321,Moderada,0.356,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.488,0.427,Muy Alta,0.74,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.283,0.248,Baja,0.492,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.463,0.406,Muy Alta,0.74,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.397,0.348,Alta,0.442,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,135.5,250.7,0.614,0.538,Muy Alta,0.483,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.298,0.261,Baja,0.442,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.253,0.222,Muy Baja,0.65,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,135.5,250.7,0.368,0.322,Moderada,0.526,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,126.4,243.5,0.391,0.343,Alta,0.467,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,135.5,250.7,0.52,0.456,Muy Alta,0.476,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,126.4,243.5,0.455,0.399,Muy Alta,0.37,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.44,0.385,Alta,0.553,FAO
Sin información,Quillota,Rio Aconcagua,93.8,135.5,250.7,0.588,0.515,Muy Alta,0.526,CIREN
Sin información,Hijuelas,Rio Aconcagua,87.5,113.3,128.7,0.59,0.442,Muy Alta,0.681,FAO
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.492,0.431,Muy Alta,0.492,CIREN
Sin información,Llaillay,Rio Aconcagua,84.4,108.1,118.2,0.518,0.356,Alta,0.195,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,126.4,243.5,0.442,0.387,Alta,0.467,CIREN
Sin información,Rinconada,Rio Aconcagua,78.1,65.9,57.5,0.506,0.284,Baja,0.525,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.348,0.305,Moderada,0.42,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,135.5,250.7,0.277,0.243,Baja,0.483,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.704,0.616,Muy Alta,0.467,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.374,0.328,Moderada,0.553,FAO
Sin información,Hijuelas,Rio Aconcagua,87.5,113.3,128.7,0.47,0.352,Alta,0.42,CIREN
Sin información,Los Andes,Rio Aconcagua,81.2,109.9,75.5,0.441,0.275,Baja,0.461,FAO
Sin información,Hijuelas,Rio Aconcagua,87.5,113.3,128.7,0.358,0.268,Baja,0.195,CIREN
Sin información,Calle Larga,Rio Aconcagua,71.9,62.0,39.7,0.643,0.282,Baja,0.544,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.389,0.341,Alta,0.567,CIREN
Sin información,Hijuelas,Rio Aconcagua,87.5,113.3,128.7,0.579,0.434,Muy Alta,0.483,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.456,0.4,Muy Alta,0.467,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,149.8,287.7,0.249,0.218,Muy Baja,0.55,CIREN
Sin información,Llaillay,Rio Aconcagua,84.4,108.1,118.2,0.418,0.288,Moderada,0.2,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,124.7,244.7,0.253,0.221,Muy Baja,0.37,CIREN
Sin información,Quintero,Costeras Ligua-Aconcagua,90.6,107.7,210.3,0.443,0.36,Alta,0.55,CIREN
Sin información,Llaillay,Rio Aconcagua,87.5,103.0,135.0,0.275,0.206,Muy Baja,0.283,CIREN
Sin información,Llaillay,Rio Aconcagua,87.5,92.1,119.1,0.52,0.39,Alta,0.76,CIREN
Sin información,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.431,0.269,Baja,0.384,CIREN
Sin información,Hijuelas,Rio Aconcagua,87.5,117.6,168.3,0.434,0.325,Moderada,0.195,CIREN
Sin información,Llaillay,Rio Aconcagua,87.5,92.1,119.1,0.54,0.405,Muy Alta,0.76,CIREN
Sin información,Llaillay,Rio Aconcagua,87.5,103.0,135.0,0.287,0.215,Muy Baja,0.71,CIREN
Sin información,Llaillay,Rio Aconcagua,87.5,92.1,119.1,0.479,0.359,Alta,0.76,CIREN
Sector Estero Mantagua 1,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.42,0.315,Moderada,0.0,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,124.7,244.7,0.475,0.416,Muy Alta,0.55,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,124.7,244.7,0.422,0.37,Alta,0.55,CIREN
Sector Estero Mantagua 2,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.489,0.367,Alta,0.0,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,124.8,244.9,0.466,0.409,Muy Alta,0.778,CIREN
Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.343,0.257,Baja,0.0,CIREN
Sin información,Rinconada,Rio Aconcagua,81.2,63.4,50.8,0.492,0.307,Moderada,0.544,CIREN
Sin información,Llaillay,Rio Aconcagua,87.5,92.1,119.1,0.239,0.179,Muy Baja,0.553,FAO
Sin información,Llaillay,Rio Aconcagua,87.5,103.0,135.0,0.252,0.189,Muy Baja,0.283,CIREN
Sin información,Llaillay,Rio Aconcagua,87.5,92.1,119.1,0.539,0.404,Muy Alta,0.553,FAO
Sin información,Quillota,Rio Aconcagua,93.8,124.7,244.7,0.383,0.335,Alta,0.483,CIREN
Sin información,Calle Larga,Rio Aconcagua,75.0,55.4,31.8,0.402,0.201,Muy Baja,0.525,CIREN
Sin información,Llaillay,Rio Aconcagua,87.5,92.1,119.1,0.52,0.39,Alta,0.76,CIREN
Sin información,Calle Larga,Rio Aconcagua,75.0,55.4,31.8,0.507,0.253,Baja,0.504,CIREN
Sin información,La Cruz,Rio Aconcagua,93.8,124.8,244.9,0.316,0.276,Baja,0.79,CIREN
Sin información,Quillota,Rio Aconcagua,93.8,124.7,244.7,0.464,0.407,Muy Alta,0.55,CIREN
Sin información,Los Andes,Rio Aconcagua,62.5,51.1,24.6,0.412,0.103,Muy Baja,0.461,FAO
Sin información,La Cruz,Rio Aconcagua,93.8,124.8,244.9,0.606,0.531,Muy Alta,0.42,CIREN
Sin información,Calera,Rio Aconcagua,93.8,124.8,244.9,0.303,0.265,Baja,0.0,CIREN
Sin información,Hijuelas,Rio Aconcagua,87.5,117.6,168.3,0.413,0.31,Moderada,0.42,CIREN
Sin información,La Cruz,Rio Aconcagua,93.8,124.8,244.9,0.441,0.387,Alta,0.42,CIREN
Sin información,La Cruz,Rio Aconcagua,93.8,124.8,244.9,0.397,0.348,Alta,0.42,CIREN
Sin información,Los Andes,Rio Aconcagua,75.0,55.4,31.8,0.461,0.231,Baja,0.553,FAO
Sin información,San Esteban,Rio Aconcagua,62.5,51.1,24.6,0.611,0.153,Muy Baja,0.461,FAO
Sin información,Quintero,Costeras Ligua-Aconcagua,90.6,107.7,210.3,0.257,0.208,Muy Baja,0.0,CIREN
Sin información,Quintero,Costeras Ligua-Aconcagua,90.6,107.7,210.3,0.692,0.562,Muy Alta,0.717,FAO
Sin información,Hijuelas,Rio Aconcagua,87.5,117.6,168.3,0.328,0.246,Baja,0.434,CIREN
Sector Estero Mala Cara 2,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.627,0.47,Muy Alta,0.0,CIREN
Sin información,Llaillay,Rio Aconcagua,87.5,103.0,135.0,0.388,0.291,Moderada,0.825,CIREN
Sector Estero Mala Cara 4,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.428,0.321,Moderada,0.0,CIREN
Sin información,La Cruz,Rio Aconcagua,93.8,124.8,244.9,0.313,0.274,Baja,0.42,CIREN
Sin información,San Esteban,Rio Aconcagua,75.0,55.4,31.8,0.497,0.249,Baja,0.544,CIREN
Sin información,La Cruz,Rio Aconcagua,93.8,124.8,244.9,0.219,0.192,Muy Baja,0.4,CIREN
Sin información,Quintero,Costeras Ligua-Aconcagua,90.6,107.7,210.3,0.341,0.277,Baja,0.0,CIREN
Sector Estero Mala Cara 5,Quintero,Costeras Ligua-Aconcagua,90.6,107.7,210.3,0.61,0.495,Muy Alta,0.483,CIREN
Sin información,Los Andes,Rio Aconcagua,81.2,63.4,50.8,0.276,0.172,Muy Baja,0.384,CIREN
Estero Mala Cara,Puchuncaví,Costeras Ligua-Aconcagua,90.6,107.7,210.3,0.717,0.582,Muy Alta,0.483,CIREN
Sin información,San Esteban,Rio Aconcagua,75.0,55.4,31.8,0.56,0.28,Baja,0.553,FAO
Sin información,Los Andes,Rio Aconcagua,81.2,63.4,50.8,0.203,0.127,Muy Baja,0.384,CIREN
Sin información,La Cruz,Rio Aconcagua,93.8,124.8,244.9,0.284,0.249,Baja,0.0,CIREN
Sin información,Hijuelas,Rio Aconcagua,87.5,117.6,168.3,0.429,0.322,Moderada,0.42,CIREN
Sin información,Panquehue,Rio Aconcagua,87.5,92.1,119.1,0.342,0.257,Baja,0.324,CIREN
Sin información,San Esteban,Rio Aconcagua,75.0,55.4,31.8,0.328,0.164,Muy Baja,0.384,CIREN
Sin información,San Felipe,Rio Aconcagua,81.2,63.4,50.8,0.261,0.163,Muy Baja,0.384,CIREN
Sin información,Puchuncaví,Costeras Ligua-Aconcagua,90.6,107.7,210.3,0.449,0.364,Alta,0.442,CIREN
Sin información,Hijuelas,Rio Aconcagua,93.8,124.8,244.9,0.454,0.398,Muy Alta,0.553,FAO
Sin información,San Felipe,Rio Aconcagua,81.2,63.4,50.8,0.316,0.197,Muy Baja,0.384,CIREN
Sin información,Santa María,Rio Aconcagua,81.2,62.2,48.0,0.282,0.176,Muy Baja,0.384,CIREN
Sin información,Santa María,Rio Aconcagua,81.2,62.2,48.0,0.356,0.222,Muy Baja,0.384,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.221,0.083,Muy Baja,0.544,CIREN
Sin información,Santa María,Rio Aconcagua,81.2,62.2,48.0,0.303,0.189,Muy Baja,0.384,CIREN
Sin información,Santa María,Rio Aconcagua,81.2,62.2,48.0,0.373,0.233,Baja,0.384,CIREN
Sin información,Nogales,Rio Aconcagua,90.6,118.0,226.1,0.449,0.365,Alta,0.476,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.24,0.09,Muy Baja,0.384,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.219,0.082,Muy Baja,0.464,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.353,0.133,Muy Baja,0.384,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.379,0.143,Muy Baja,0.4,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.439,0.165,Muy Baja,0.384,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.424,0.159,Muy Baja,0.384,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.514,0.193,Muy Baja,0.384,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.333,0.125,Muy Baja,0.384,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.271,0.102,Muy Baja,0.384,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.352,0.132,Muy Baja,0.384,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.384,0.145,Muy Baja,0.41,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.423,0.159,Muy Baja,0.384,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.312,0.117,Muy Baja,0.384,CIREN
Sin información,Santa María,Rio Aconcagua,81.2,62.2,48.0,0.396,0.247,Baja,0.41,CIREN
Sin información,Puchuncaví,Costeras Ligua-Aconcagua,87.5,96.3,177.4,0.433,0.325,Moderada,0.483,CIREN
Sin información,Puchuncaví,Costeras Ligua-Aconcagua,87.5,96.3,177.4,0.641,0.481,Muy Alta,1.0,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.469,0.176,Muy Baja,0.544,CIREN
Sin información,Catemu,Rio Aconcagua,87.5,124.3,183.6,0.286,0.214,Muy Baja,0.356,CIREN
Sin información,San Esteban,Rio Aconcagua,87.5,73.0,78.1,0.432,0.324,Moderada,0.461,FAO
Sin información,Puchuncaví,Costeras Ligua-Aconcagua,87.5,96.3,177.4,0.567,0.425,Muy Alta,0.483,CIREN
Sin información,Santa María,Rio Aconcagua,81.2,62.2,48.0,0.442,0.276,Baja,0.553,FAO
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.498,0.187,Muy Baja,0.544,CIREN
Sin información,Nogales,Rio Aconcagua,87.5,113.4,213.4,0.338,0.253,Baja,0.42,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.466,0.175,Muy Baja,0.544,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.465,0.175,Muy Baja,0.544,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.369,0.139,Muy Baja,0.544,CIREN
Sin información,Santa María,Rio Aconcagua,81.2,62.2,48.0,0.389,0.243,Baja,0.41,CIREN
Sin información,Puchuncaví,Costeras Ligua-Aconcagua,87.5,96.3,177.4,0.646,0.484,Muy Alta,0.356,CIREN
Sin información,Nogales,Rio Aconcagua,87.5,113.4,213.4,0.441,0.331,Moderada,0.42,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.469,0.176,Muy Baja,0.544,CIREN
Sin información,San Felipe,Rio Aconcagua,87.5,84.5,101.0,0.638,0.478,Muy Alta,0.553,FAO
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.478,0.18,Muy Baja,0.544,CIREN
Sin información,Santa María,Rio Aconcagua,81.2,62.2,48.0,0.611,0.381,Alta,0.4,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.506,0.19,Muy Baja,0.525,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.569,0.214,Muy Baja,0.544,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.32,0.121,Muy Baja,0.4,CIREN
Sin información,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.266,0.1,Muy Baja,0.544,CIREN
Sin información,Nogales,Rio Aconcagua,90.6,118.0,226.1,0.322,0.261,Baja,0.476,CIREN
Sin información,San Felipe,Rio Aconcagua,87.5,84.5,101.0,0.346,0.26,Baja,0.384,CIREN
Sin información,Santa María,Rio Aconcagua,81.2,62.2,48.0,0.442,0.276,Baja,0.4,CIREN
Sin información,Nogales,Rio Aconcagua,90.6,118.0,226.1,0.501,0.407,Muy Alta,0.356,CIREN
Sin información,Nogales,Rio Aconcagua,90.6,118.0,226.1,0.466,0.379,Alta,0.717,FAO
Sin información,Nogales,Rio Aconcagua,90.6,118.0,226.1,0.338,0.274,Baja,0.42,CIREN
Sin información,Nogales,Rio Aconcagua,90.6,118.0,226.1,0.408,0.331,Alta,0.717,FAO
Sin información,Santa María,Rio Aconcagua,81.2,62.2,48.0,0.458,0.286,Baja,0.2,CIREN
Sin información,San Felipe,Rio Aconcagua,87.5,98.2,133.6,0.438,0.328,Moderada,0.553,FAO
Sin información,Catemu,Rio Aconcagua,87.5,92.2,119.3,0.422,0.316,Moderada,0.442,CIREN
Sin información,Catemu,Rio Aconcagua,87.5,92.2,119.3,0.457,0.343,Alta,0.544,CIREN
Sin información,Nogales,Rio Aconcagua,87.5,113.9,214.8,0.522,0.392,Alta,0.717,FAO
Sin información,Catemu,Rio Aconcagua,87.5,107.0,144.1,0.62,0.465,Muy Alta,0.76,CIREN
Sin información,Catemu,Rio Aconcagua,87.5,107.0,144.1,0.282,0.211,Muy Baja,0.442,CIREN
Sin información,Zapallar,Costeras Ligua-Aconcagua,87.5,95.6,207.6,0.489,0.367,Alta,0.392,CIREN
Sin información,Zapallar,Costeras Ligua-Aconcagua,87.5,95.6,207.6,0.568,0.426,Muy Alta,0.55,CIREN
Sin información,Zapallar,Costeras Ligua-Aconcagua,87.5,95.6,207.6,0.464,0.348,Alta,0.392,CIREN
Sin información,Zapallar,Costeras Ligua-Aconcagua,87.5,95.6,207.6,0.42,0.315,Moderada,0.55,CIREN
Esteros Catapilco - La Canela,Zapallar,Costeras Ligua-Aconcagua,93.8,111.5,258.7,0.526,0.461,Muy Alta,0.467,CIREN
Sin información,Zapallar,Costeras Ligua-Aconcagua,93.8,111.5,258.7,0.546,0.479,Muy Alta,0.584,CIREN
Sin información,Putaendo,Rio Aconcagua,87.5,103.2,108.8,0.363,0.272,Baja,0.525,CIREN
Sin información,Putaendo,Rio Aconcagua,87.5,103.2,108.8,0.343,0.257,Baja,0.0,CIREN
Sin información,Putaendo,Rio Aconcagua,87.5,103.2,108.8,0.542,0.407,Muy Alta,0.717,FAO
Sin información,Putaendo,Rio Aconcagua,87.5,103.2,108.8,0.428,0.321,Moderada,0.434,CIREN
Sin información,Putaendo,Rio Aconcagua,87.5,103.2,108.8,0.371,0.278,Baja,0.434,CIREN
Sin información,Putaendo,Rio Aconcagua,87.5,103.2,108.8,0.408,0.306,Moderada,0.544,CIREN
Sin información,Putaendo,Rio Aconcagua,87.5,104.7,111.9,0.426,0.32,Moderada,0.461,FAO
Sin información,Putaendo,Rio Aconcagua,87.5,104.7,111.9,0.51,0.383,Alta,0.525,CIREN
Sin información,La Ligua,Rio Ligua,93.8,113.1,263.9,0.666,0.583,Muy Alta,0.584,CIREN
Sin información,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.43,0.323,Moderada,0.442,CIREN
Sin información,Cabildo,Rio Ligua,87.5,105.7,150.5,0.492,0.369,Alta,0.583,CIREN
Sin información,Cabildo,Rio Ligua,87.5,99.1,134.8,0.517,0.388,Alta,0.683,CIREN
