Humedal,Comuna,Cuenca,Percentil_empirico,Acumulado_corregido_mm,Anomalia_pct,Susceptibilidad_inundacion,Amenaza_inundacion,Clase_amenaza,Retencion_suelo,Fuente_suelo
Embalse,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.487,0.365,Alta,0.442,CIREN
Embalse,Calle Larga,Rio Aconcagua,75.0,55.4,31.8,0.494,0.247,Baja,0.504,CIREN
Embalse Estero Las Salinas 1,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.498,0.373,Alta,0.392,CIREN
Embalse Estero Las Salinas 2,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.458,0.343,Alta,0.392,CIREN
Embalse Estero Las Salinas 3,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.491,0.368,Alta,0.295,CIREN
Humedal sin identificar,Puchuncaví,Costeras Ligua-Aconcagua,87.5,96.3,177.4,0.552,0.414,Muy Alta,0.0,CIREN
Humedal Laguna El Criquet,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,133.4,262.6,0.413,0.361,Alta,0.55,CIREN
Sector Quintay N°2,Casablanca,Costeras entre Aconcagua y Maipo,93.8,127.2,228.4,0.266,0.233,Baja,0.071,CIREN
Embalse,Calle Larga,Rio Aconcagua,75.0,55.4,31.8,0.544,0.272,Baja,0.525,CIREN
Sector Punta de Tralca N°2,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.33,0.206,Muy Baja,0.379,CIREN
Laguna Sector  Marbella,Puchuncaví,Costeras Ligua-Aconcagua,87.5,92.9,167.6,0.287,0.215,Muy Baja,0.089,CIREN
Humedal Av. Punta Puyai,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.42,0.315,Moderada,0.442,CIREN
Embalse 8 Rinconada.,Rinconada,Rio Aconcagua,81.2,63.4,50.8,0.322,0.201,Muy Baja,0.384,CIREN
Embalse,Calle Larga,Rio Aconcagua,75.0,55.4,31.8,0.445,0.222,Muy Baja,0.384,CIREN
Embalse,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.624,0.39,Alta,0.681,FAO
Embalse,Calle Larga,Rio Aconcagua,71.9,62.0,39.7,0.608,0.267,Baja,0.553,FAO
Embalse,Calle Larga,Rio Aconcagua,71.9,62.0,39.7,0.438,0.192,Muy Baja,0.544,CIREN
Embalse,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.423,0.264,Baja,0.384,CIREN
Embalse,Rinconada,Rio Aconcagua,84.4,70.6,68.0,0.398,0.274,Baja,0.544,CIREN
Embalse,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.253,0.158,Muy Baja,0.4,CIREN
Embalse,Llaillay,Rio Aconcagua,87.5,103.0,135.0,0.404,0.303,Moderada,0.2,CIREN
Embalse,Llaillay,Rio Aconcagua,87.5,92.1,119.1,0.365,0.274,Baja,0.525,CIREN
Embalse,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.318,0.198,Muy Baja,0.4,CIREN
Humedal sector estadio L. Jelves,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.457,0.343,Alta,0.236,FAO
Embalse,Rinconada,Rio Aconcagua,81.2,63.4,50.8,0.358,0.224,Muy Baja,0.525,CIREN
Embalse,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.607,0.379,Alta,0.41,CIREN
Humedal Jardín Botánico,Viña del Mar,Costeras entre Aconcagua y Maipo,90.6,113.6,208.7,0.779,0.633,Muy Alta,0.55,CIREN
Embalse,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.494,0.308,Moderada,0.544,CIREN
Embalse,San Antonio,Rio Maipo,81.2,63.5,51.6,0.636,0.397,Alta,0.55,CIREN
Embalse,San Antonio,Rio Maipo,81.2,63.5,51.6,0.473,0.295,Moderada,0.55,CIREN
Quebrada Las Petras,Algarrobo,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.565,0.353,Alta,0.717,FAO
Quebrada Las Petras,El Quisco,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.679,0.424,Muy Alta,0.717,FAO
Quebrada El Batro,El Quisco,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.532,0.332,Alta,0.717,FAO
Quebrada Pino Mar,El Quisco,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.383,0.239,Baja,0.0,FAO
Estero El Totoral,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.885,0.552,Muy Alta,0.717,FAO
Embalse,San Antonio,Rio Maipo,81.2,63.5,51.6,0.436,0.272,Baja,0.55,CIREN
Embalse sector Quebrada Los Coiles,San Antonio,Rio Maipo,81.2,64.6,54.2,0.744,0.464,Muy Alta,0.717,FAO
Embalse sector Quebrada Los Coiles,San Antonio,Rio Maipo,81.2,67.0,64.4,0.476,0.297,Moderada,0.229,CIREN
Humedal sector Las Palmas,Cartagena,Costeras entre Aconcagua y Maipo,81.2,67.0,64.4,0.746,0.466,Muy Alta,0.717,FAO
Estero de la Viña,Cartagena,Costeras entre Aconcagua y Maipo,81.2,67.0,64.4,0.77,0.48,Muy Alta,0.717,FAO
Embalse San Juan,San Antonio,Rio Maipo,78.1,58.3,39.2,0.456,0.256,Baja,0.553,FAO
Embalse,Algarrobo,Costeras entre Aconcagua y Maipo,90.6,107.1,176.5,0.548,0.445,Muy Alta,0.379,CIREN
Embalse,Algarrobo,Costeras entre Aconcagua y Maipo,90.6,107.1,176.5,0.402,0.327,Moderada,0.379,CIREN
Embalse Casablanca 1,Casablanca,Costeras entre Aconcagua y Maipo,90.6,119.2,207.8,0.496,0.403,Muy Alta,0.568,CIREN
Embalses Quintay 2,Casablanca,Costeras entre Aconcagua y Maipo,93.8,127.2,228.4,0.329,0.288,Moderada,0.071,CIREN
Embalses Quintay 1,Casablanca,Costeras entre Aconcagua y Maipo,93.8,127.2,228.4,0.541,0.474,Muy Alta,0.071,CIREN
Embalse sector Las Tablas,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,142.3,267.4,0.535,0.469,Muy Alta,0.229,CIREN
Embalse 1 Calle Larga,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.399,0.249,Baja,0.4,CIREN
Embalse La Invernada,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,159.4,333.2,0.577,0.505,Muy Alta,0.717,FAO
Embalse 3 San Esteban.,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.244,0.092,Muy Baja,0.553,FAO
Embalse 4 San Esteban.,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.246,0.093,Muy Baja,0.384,CIREN
Embalse 6 San Esteban.,San Esteban,Rio Aconcagua,75.0,55.4,31.8,0.278,0.139,Muy Baja,0.384,CIREN
Embalse 19 Rinconada,Rinconada,Rio Aconcagua,81.2,63.4,50.8,0.546,0.341,Alta,0.434,CIREN
Piscina 3,Puchuncaví,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.268,0.201,Muy Baja,0.236,FAO
Piscina 2,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.228,0.171,Muy Baja,0.236,FAO
Piscina 1,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.302,0.227,Muy Baja,0.236,FAO
Quebrada Las Tinajas,Algarrobo,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.344,0.214,Muy Baja,0.0,FAO
Laguna Sausalito,Viña del Mar,Costeras entre Aconcagua y Maipo,90.6,113.6,208.7,0.724,0.588,Muy Alta,0.236,FAO
Laguna El Peral,El Tabo,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.573,0.358,Alta,0.717,FAO
Embalse Quebrada El Tranque,San Antonio,Rio Maipo,78.1,58.3,39.2,0.534,0.3,Moderada,0.379,CIREN
Lago Peñuelas,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,142.3,267.4,0.855,0.749,Muy Alta,0.717,FAO
Humedal sector Fundo Los Arrayanes,Olmué,Rio Aconcagua,93.8,134.4,247.8,0.332,0.291,Moderada,0.25,CIREN
Esteros Catapilco - La Canela,Puchuncaví,Costeras Ligua-Aconcagua,87.5,92.9,167.6,0.42,0.315,Moderada,0.236,FAO
Esteros Catapilco - La Canela,Puchuncaví,Costeras Ligua-Aconcagua,87.5,92.9,167.6,0.402,0.302,Moderada,0.236,FAO
Esteros Catapilco - La Canela,Zapallar,Costeras Ligua-Aconcagua,87.5,92.9,167.6,0.616,0.462,Muy Alta,0.236,FAO
Esteros Catapilco - La Canela,Zapallar,,87.5,92.9,167.6,0.422,0.316,Moderada,0.236,FAO
Embalse,Rinconada,Rio Aconcagua,84.4,70.6,68.0,0.455,0.313,Moderada,0.464,CIREN
Embalse 2 Calle Larga.,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.418,0.261,Baja,0.384,CIREN
Sector Quintay N°3,Casablanca,Costeras entre Aconcagua y Maipo,93.8,127.2,228.4,0.432,0.378,Alta,0.55,CIREN
Embalse 17 Rinconada,Rinconada,Rio Aconcagua,81.2,63.4,50.8,0.243,0.152,Muy Baja,0.384,CIREN
Embalse 14 Rinconada,Rinconada,Rio Aconcagua,81.2,63.4,50.8,0.234,0.146,Muy Baja,0.384,CIREN
Embalse 15 Rinconada,Rinconada,Rio Aconcagua,81.2,63.4,50.8,0.346,0.216,Muy Baja,0.384,CIREN
Estero Cartagena,Cartagena,Costeras entre Aconcagua y Maipo,81.2,64.5,58.3,0.497,0.31,Moderada,0.717,FAO
Humedal sector Av. El Rincón,Villa Alemana,Rio Aconcagua,93.8,125.7,225.3,0.442,0.387,Alta,0.55,CIREN
Humedales Sector Tunquen,Algarrobo,Costeras entre Aconcagua y Maipo,90.6,107.1,176.5,0.661,0.537,Muy Alta,0.717,FAO
Humedales Sector Tunquen,Algarrobo,Costeras entre Aconcagua y Maipo,90.6,107.1,176.5,0.643,0.522,Muy Alta,0.717,FAO
Embalse Casablanca 2,Casablanca,Costeras entre Aconcagua y Maipo,90.6,119.2,207.8,0.488,0.396,Alta,0.568,CIREN
Embalses Quintay 3,Casablanca,Costeras entre Aconcagua y Maipo,93.8,127.2,228.4,0.53,0.464,Muy Alta,0.183,CIREN
Laguna artificial Bahía,Algarrobo,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.326,0.204,Muy Baja,0.071,CIREN
