row,col,lon,lat,clim_mean_mm,clim_std_mm,n_years
13,2,-71.7322,-33.0937,49.27,34.75,21
13,3,-71.6252,-33.0960,47.35,33.38,21
13,4,-71.5181,-33.0982,43.21,30.31,21
13,5,-71.4110,-33.1004,39.90,27.97,21
13,6,-71.3039,-33.1024,41.38,29.47,21
13,7,-71.1969,-33.1043,47.78,35.58,21
13,8,-71.0898,-33.1062,54.23,42.37,21
13,16,-70.2327,-33.1176,75.48,68.20,21
14,3,-71.6278,-33.1861,47.50,34.10,21
14,4,-71.5207,-33.1884,43.68,30.63,21
14,5,-71.4135,-33.1905,39.91,27.59,21
14,6,-71.3063,-33.1925,42.64,30.38,21
14,7,-71.1991,-33.1945,48.49,36.61,21
14,8,-71.0919,-33.1963,54.88,44.07,21
15,3,-71.6305,-33.2763,47.63,34.22,21
15,4,-71.5233,-33.2785,44.24,30.87,21
15,5,-71.4160,-33.2806,40.89,28.10,21
15,6,-71.3087,-33.2826,43.04,30.80,21
16,3,-71.6333,-33.3664,48.26,34.44,21
16,4,-71.5259,-33.3686,45.11,31.83,21
16,5,-71.4185,-33.3707,42.50,29.87,21
16,6,-71.3111,-33.3728,43.99,32.00,21
17,3,-71.6360,-33.4565,48.71,34.22,21
17,4,-71.5285,-33.4587,45.94,32.56,21
17,5,-71.4210,-33.4608,43.03,30.99,21
18,4,-71.5311,-33.5488,45.94,32.56,21
18,5,-71.4235,-33.5510,44.43,32.16,21
19,4,-71.5337,-33.6389,46.58,32.41,21
19,5,-71.4260,-33.6411,44.43,32.16,21
20,3,-71.6442,-33.7268,48.15,32.02,21
20,4,-71.5364,-33.7290,47.66,32.21,21
20,5,-71.4285,-33.7312,47.61,33.63,21
21,2,-71.7549,-33.8145,48.78,31.21,21
21,3,-71.6470,-33.8169,48.50,31.33,21
22,2,-71.7578,-33.9046,51.76,32.35,21
22,3,-71.6498,-33.9069,50.05,31.88,21
