nom_humed,comuna,serie_suelo,textura,permeabilidad,drenaje,cap_campo_pct,arcilla_pct,inundacion,expo_suelo,fuente_suelo
Embalse,Calle Larga,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse,Rinconada,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Quebrada Lance Bravo Norte,Algarrobo,NO SUELOS,,,,,,,,none
Embalse Sector Hijuelas,La Cruz,OCOA,MEDIA,MODERADA,BUENO,,21.6,NO EXISTE,0.42,CIREN
Embalse Los Culenes,Papudo,TABOLANGO,MEDIA,MUY LENTA,MODERADO,16.0,9.8,NO EXISTE,0.442,CIREN
Embalse,La Ligua,ENCON,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,BUENO,,,NO EXISTE,0.25,CIREN
Embalse,La Ligua,NO SUELOS,,,,,,,,none
Embalse,La Ligua,NO SUELOS,,,,,,,,none
Embalse,Papudo,TABOLANGO,MEDIA,MUY LENTA,MODERADO,16.0,9.8,NO EXISTE,0.442,CIREN
Embalse,Calle Larga,CRISTO REDENTOR,MODERADAMENTE FINA,MODERADA,BUENO,25.0,30.2,NO EXISTE,0.504,CIREN
Embalse Estero Las Salinas 1,Papudo,TABOLANGO,MODERADAMENTE GRUESA,MUY LENTA,MODERADO,16.0,9.8,NO EXISTE,0.392,CIREN
Embalse Estero Las Salinas 2,Papudo,TABOLANGO,MODERADAMENTE GRUESA,MUY LENTA,MODERADO,16.0,9.8,NO EXISTE,0.392,CIREN
Embalse Estero Las Salinas 3,Papudo,HUALCAPO,MEDIA,MODERADAMENTE RAPIDA,MODERADO,16.0,8.4,NO EXISTE,0.295,CIREN
Humedal sin identificar,Puchuncaví,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Humedal Laguna El Criquet,Valparaíso,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sector Quintay N°2,Casablanca,LONCURA,GRUESA,RAPIDA,EXCESIVO,9.0,9.2,NO EXISTE,0.071,CIREN
Embalse,Calle Larga,ASOCIACION LA PARVA,MUY FINA,LENTA,BUENO,,,NO EXISTE,0.525,CIREN
Sector Punta de Tralca N°2,El Quisco,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Laguna Sector  Marbella,Puchuncaví,LONCURA,MUY GRUESA,RAPIDA,EXCESIVO,9.0,9.2,NO EXISTE,0.089,CIREN
Humedal Av. Punta Puyai,Papudo,TABOLANGO,MEDIA,MUY LENTA,MODERADO,16.0,9.8,NO EXISTE,0.442,CIREN
Embalse 8 Rinconada.,Rinconada,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse,Calle Larga,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse,Calle Larga,NO SUELOS,,,,,,,,none
Embalse,Calle Larga,NO SUELOS,,,,,,,,none
Embalse,Calle Larga,CALLE LARGA,MODERADAMENTE FINA,LENTA,BUENO,25.0,23.3,NO EXISTE,0.544,CIREN
Embalse,Calle Larga,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse,Rinconada,CALLE LARGA,MODERADAMENTE FINA,LENTA,BUENO,25.0,23.3,NO EXISTE,0.544,CIREN
Embalse,Calle Larga,CURIMON,MEDIA,MODERADA,BUENO,,,NO EXISTE,0.4,CIREN
Embalse,Llaillay,VICHICULEN,MODERADAMENTE GRUESA,RAPIDA,BUENO,,,NO EXISTE,0.2,CIREN
Embalse,Llaillay,ASOCIACION LA PARVA,MUY FINA,LENTA,BUENO,,,NO EXISTE,0.525,CIREN
Embalse,Calle Larga,CURIMON,MEDIA,MODERADA,BUENO,,,NO EXISTE,0.4,CIREN
Humedal sector estadio L. Jelves,Papudo,NO SUELOS,,,,,,,,none
Embalse,Rinconada,ASOCIACION LA PARVA,MUY FINA,LENTA,BUENO,,,NO EXISTE,0.525,CIREN
Embalse,Calle Larga,MAITENES,MODERADAMENTE FINA,MODERADA,BUENO,1.0,26.9,NO EXISTE,0.41,CIREN
Humedal Jardín Botánico,Viña del Mar,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Embalse,Calle Larga,CALLE LARGA,MODERADAMENTE FINA,LENTA,BUENO,25.0,23.3,NO EXISTE,0.544,CIREN
Embalse,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Embalse,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Quebrada Las Petras,Algarrobo,,,,,,,,,none
Quebrada Las Petras,El Quisco,,,,,,,,,none
Quebrada El Batro,El Quisco,NO SUELOS,,,,,,,,none
Quebrada Pino Mar,El Quisco,NO SUELOS,,,,,,,,none
Estero El Totoral,El Quisco,NO SUELOS,,,,,,,,none
Embalse,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Embalse sector Quebrada Los Coiles,San Antonio,NO SUELOS,,,,,,,,none
Embalse sector Quebrada Los Coiles,San Antonio,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,BUENO,13.0,8.8,NO EXISTE,0.229,CIREN
Humedal sector Las Palmas,Cartagena,NO SUELOS,,,,,,,,none
Estero de la Viña,Cartagena,NO SUELOS,,,,,,,,none
Embalse San Juan,San Antonio,NO SUELOS,,,,,,,,none
Embalse,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Embalse,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Embalse Casablanca 1,Casablanca,CASABLANCA,MEDIA,MODERADAMENTE LENTA,MODERADO,27.0,32.0,NO EXISTE,0.568,CIREN
Embalses Quintay 2,Casablanca,LONCURA,GRUESA,RAPIDA,EXCESIVO,9.0,9.2,NO EXISTE,0.071,CIREN
Embalses Quintay 1,Casablanca,LONCURA,GRUESA,RAPIDA,EXCESIVO,9.0,9.2,NO EXISTE,0.071,CIREN
Embalse sector Las Tablas,Valparaíso,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,BUENO,13.0,8.8,NO EXISTE,0.229,CIREN
Embalse 1 Calle Larga,Calle Larga,CURIMON,MEDIA,MODERADA,BUENO,,,NO EXISTE,0.4,CIREN
Embalse La Invernada,Valparaíso,NO SUELOS,,,,,,,,none
Embalse 3 San Esteban.,San Esteban,NO SUELOS,,,,,,,,none
Embalse 4 San Esteban.,San Esteban,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse 6 San Esteban.,San Esteban,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse 19 Rinconada,Rinconada,POCURO,MODERADAMENTE FINA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.434,CIREN
Piscina 3,Puchuncaví,NO SUELOS,,,,,,,,none
Piscina 2,Quintero,NO SUELOS,,,,,,,,none
Piscina 1,Quintero,NO SUELOS,,,,,,,,none
Quebrada Las Tinajas,Algarrobo,NO SUELOS,,,,,,,,none
Laguna Sausalito,Viña del Mar,NO SUELOS,,,,,,,,none
Laguna El Peral,El Tabo,NO SUELOS,,,,,,,,none
Embalse Quebrada El Tranque,San Antonio,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Lago Peñuelas,Valparaíso,NO SUELOS,,,,,,,,none
Humedal sector Fundo Los Arrayanes,Olmué,OLMUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,BUENO,,,NO EXISTE,0.25,CIREN
Esteros Catapilco - La Canela,Puchuncaví,NO SUELOS,,,,,,,,none
Esteros Catapilco - La Canela,Puchuncaví,NO SUELOS,,,,,,,,none
Esteros Catapilco - La Canela,Zapallar,NO SUELOS,,,,,,,,none
Esteros Catapilco - La Canela,Zapallar,NO SUELOS,,,,,,,,none
Embalse,Rinconada,CRISTO REDENTOR,MODERADAMENTE FINA,MODERADAMENTE RAPIDA,BUENO,25.0,30.2,NO EXISTE,0.464,CIREN
Embalse 2 Calle Larga.,Calle Larga,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Sector Quintay N°3,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Embalse 17 Rinconada,Rinconada,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse 14 Rinconada,Rinconada,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse 15 Rinconada,Rinconada,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Estero Cartagena,Cartagena,NO SUELOS,,,,,,,,none
Humedal sector Av. El Rincón,Villa Alemana,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Humedales Sector Tunquen,Algarrobo,NO SUELOS,,,,,,,,none
Humedales Sector Tunquen,Algarrobo,NO SUELOS,,,,,,,,none
Embalse Casablanca 2,Casablanca,CASABLANCA,MEDIA,MODERADAMENTE LENTA,MODERADO,27.0,32.0,NO EXISTE,0.568,CIREN
Embalses Quintay 3,Casablanca,TERRAZAS ALUVIALES NO DIFERENC,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,EXCESIVO,,,NO EXISTE,0.183,CIREN
Laguna artificial Bahía,Algarrobo,LONCURA,GRUESA,RAPIDA,EXCESIVO,9.0,9.2,NO EXISTE,0.071,CIREN
Humedal Sector Esteros de la Laja,Concón,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Embalse 1 San Felipe,San Felipe,LOS PIDENES,MEDIA,MODERADA,MUY POBRE,,16.1,FRECUENTE,0.589,CIREN
Humedales Sector Los Maitenes,Puchuncaví,MISCELANEOS,,,MUY POBRE,,,MUY FRECUENTE,1.0,CIREN
Embalse 3 Catemu,Catemu,LO CAMPO,MODERADAMENTE FINA,MODERADA,IMPERFECTO,47.0,33.8,NO EXISTE,0.74,CIREN
Tranque Antiguo,Catemu,COLUNQUEN,MODERADAMENTE FINA,LENTA,IMPERFECTO,,,NO EXISTE,0.767,CIREN
Tranque Antiguo,Catemu,PUTAENDO,MEDIA,MODERADA,BUENO,27.0,23.9,NO EXISTE,0.442,CIREN
Estero Puchuncavi - Campiche,Puchuncaví,MISCELANEOS,,,MUY POBRE,,,MUY FRECUENTE,1.0,CIREN
Estero Puchuncavi - Campiche,Quintero,MISCELANEOS,,,MUY POBRE,,,MUY FRECUENTE,1.0,CIREN
Sector Quintero N°9,Quintero,MISCELANEOS,,,MUY POBRE,,,MUY FRECUENTE,1.0,CIREN
Estero Los Molles,La Ligua,,,,,,,,,none
Sin identificar,La Ligua,TABOLANGO,MODERADAMENTE GRUESA,MUY LENTA,IMPERFECTO,16.0,9.8,NO EXISTE,0.442,CIREN
Quebrada Talcalan,Papudo,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Sin identificar,Papudo,PULLALLI,MODERADAMENTE FINA,MODERADA,MODERADO,33.0,30.8,NO EXISTE,0.621,CIREN
Humedal Sector El Alto,Puchuncaví,MISCELANEOS,,,MUY POBRE,,,MUY FRECUENTE,1.0,CIREN
Sector Quintero N°10,Quintero,NO SUELOS,,,,,,,,none
Petras Quintero,Quintero,NO SUELOS,,,,,,,,none
Humedal Sector Las Gaviotas,Quintero,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Des.Estero Mantagua,Quintero,MISCELANEOS,GRUESA,MUY RAPIDA,EXCESIVO,,,NO EXISTE,0.0,CIREN
Des.Estero Mantagua,Quintero,MISCELANEOS,GRUESA,MUY RAPIDA,EXCESIVO,,,NO EXISTE,0.0,CIREN
Des.Estero Mantagua,Quintero,MISCELANEOS,GRUESA,MUY RAPIDA,EXCESIVO,,,NO EXISTE,0.0,CIREN
Des.Estero Mantagua,Quintero,MISCELANEOS,,,MUY POBRE,,,MUY FRECUENTE,1.0,CIREN
Des.Estero Mantagua,Quintero,MISCELANEOS,GRUESA,MUY RAPIDA,EXCESIVO,,,NO EXISTE,0.0,CIREN
Des.Estero Mantagua,Quintero,MISCELANEOS,,,MUY POBRE,,,MUY FRECUENTE,1.0,CIREN
Des.Estero Mantagua,Quintero,MISCELANEOS,,,MUY POBRE,,,MUY FRECUENTE,1.0,CIREN
Des.Estero Mantagua,Quintero,MISCELANEOS,,,MUY POBRE,,,MUY FRECUENTE,1.0,CIREN
Estero Mantagua,Quintero,MISCELANEOS,,,MUY POBRE,,,MUY FRECUENTE,1.0,CIREN
Estero Reñaca,Viña del Mar,NO SUELOS,,,,,,,,none
Estero Limache,Concón,NO SUELOS,,,,,,,,none
Estero Limache,Concón,NO SUELOS,,,,,,,,none
Estero Limache,Limache,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Estero Limache,Concón,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Juan,San Antonio,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Estero El Jote,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Humedal Estero Guaquen,La Ligua,,,,,,,,,none
Sin identificar,La Ligua,NO SUELOS,,,,,,,,none
Des. Estero Curaumilla,Valparaíso,MISCELANEOS,,,POBRE,,,FRECUENTE,0.9,CIREN
Estero El Membrillo,Casablanca,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,IMPERFECTO,13.0,8.8,NO EXISTE,0.329,CIREN
Estero El Membrillo,Algarrobo,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Casablanca,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Casablanca,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Casablanca,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Casablanca,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Casablanca,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Casablanca,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Casablanca,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Casablanca,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Casablanca,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Estero San Jeronimo,Casablanca,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Estero San Jeronimo,Algarrobo,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Algarrobo,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Algarrobo,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Algarrobo,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Algarrobo,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Algarrobo,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero San Jeronimo,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Estero Cartagena,Cartagena,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,IMPERFECTO,13.0,8.8,NO EXISTE,0.329,CIREN
Estero del Rosario de Cordova,Casablanca,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Estero del Rosario de Cordova,El Quisco,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Estero del Rosario de Cordova,El Quisco,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Estero del Rosario de Cordova,El Quisco,NO SUELOS,,,,,,,,none
Estero del Rosario de Cordova,El Quisco,MISCELANEOS,,,POBRE,,,FRECUENTE,0.9,CIREN
Estero del Rosario de Cordova,El Quisco,MISCELANEOS,,,POBRE,,,FRECUENTE,0.9,CIREN
Estero del Rosario de Cordova,El Quisco,MISCELANEOS,,,POBRE,,,FRECUENTE,0.9,CIREN
Estero del Rosario de Cordova,El Quisco,MISCELANEOS,,,POBRE,,,FRECUENTE,0.9,CIREN
Estero del Rosario de Cordova,El Quisco,MISCELANEOS,,,POBRE,,,FRECUENTE,0.9,CIREN
Estero del Rosario de Cordova,El Quisco,MISCELANEOS,,,POBRE,,,FRECUENTE,0.9,CIREN
Estero del Rosario de Cordova,El Quisco,NO SUELOS,,,,,,,,none
Estero del Rosario de Cordova,El Tabo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Estero del Rosario de Cordova,El Tabo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Estero del Rosario de Cordova,El Tabo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Estero del Rosario de Cordova,El Tabo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Estero del Rosario de Cordova,El Tabo,NO SUELOS,,,,,,,,none
Estero del Rosario de Cordova,El Tabo,MISCELANEOS,,,POBRE,,,FRECUENTE,0.9,CIREN
Estero del Rosario de Cordova,El Tabo,MISCELANEOS,,,POBRE,,,FRECUENTE,0.9,CIREN
Estero del Rosario de Cordova,El Tabo,MISCELANEOS,,,POBRE,,,FRECUENTE,0.9,CIREN
Estero del Rosario de Cordova,El Tabo,MISCELANEOS,,,POBRE,,,FRECUENTE,0.9,CIREN
Estero del Rosario de Cordova,El Tabo,MISCELANEOS,,,POBRE,,,FRECUENTE,0.9,CIREN
Estero del Rosario de Cordova,El Tabo,NO SUELOS,,,,,,,,none
Estero del Rosario de Cordova,El Tabo,NO SUELOS,,,,,,,,none
Estero La Cigüeña,Cartagena,NO SUELOS,,,,,,,,none
Estero La Cigüeña,Cartagena,NO SUELOS,,,,,,,,none
Estero La Cigüeña,El Tabo,TERRAZAS ALUVIALES NO DIFERENC,MEDIA,MODERADA,BUENO,,,NO EXISTE,0.4,CIREN
Estero La Cigüeña,El Tabo,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Estero La Cigüeña,El Tabo,NO SUELOS,,,,,,,,none
Quebrada Los Hualpes,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,EXCESIVO,22.0,13.9,NO EXISTE,0.228,CIREN
Estero Las Tablas,Valparaíso,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,BUENO,13.0,8.8,NO EXISTE,0.229,CIREN
Estero del Sauce,Valparaíso,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,IMPERFECTO,13.0,8.8,NO EXISTE,0.329,CIREN
Estero Mantagua,Quintero,MISCELANEOS,,,MUY POBRE,,,MUY FRECUENTE,1.0,CIREN
Estero Los Molles,La Ligua,,,,,,,,,none
Estero El Pangal,La Ligua,,,,,,,,,none
Humedal Pichicuy,La Ligua,,,,,,,,,none
Rio Petorca- Rio La Ligua,La Ligua,MISCELANEOS,GRUESA,MUY RAPIDA,EXCESIVO,,,NO EXISTE,0.0,CIREN
Rio Petorca- Rio La Ligua,Papudo,MISCELANEOS,GRUESA,MUY RAPIDA,EXCESIVO,,,NO EXISTE,0.0,CIREN
Rio Petorca- Rio La Ligua,Papudo,CHAGRES,MODERADAMENTE GRUESA,RAPIDA,BUENO,,30.7,NO EXISTE,0.321,CIREN
Rio Petorca- Rio La Ligua,Papudo,,,,,,,,,none
Humedal Pichicuy,La Ligua,,,,,,,,,none
Sist. Rio Maipo y Estero El Sauce,San Antonio,NO SUELOS,,,,,,,,none
Sist. Rio Maipo y Estero El Sauce,San Antonio,NO SUELOS,,,,,,,,none
Sist. Rio Maipo y Estero El Sauce,Santo Domingo,ASOCIACION LA MANGA,MODERADAMENTE FINA,LENTA,BUENO,,,NO EXISTE,0.6,CIREN
Sist. Rio Maipo y Estero El Sauce,Santo Domingo,NO SUELOS,,,,,,,,none
Des. Rio Maipo,Santo Domingo,TERRAZAS ALUVIALES NO DIFERENC,MEDIA,MODERADA,BUENO,,,NO EXISTE,0.4,CIREN
Quebrada Cruz de Piedra,Papudo,VICHICULEN,MODERADAMENTE GRUESA,RAPIDA,BUENO,,,NO EXISTE,0.2,CIREN
Des.Estero Mantagua,Quintero,MISCELANEOS,,,MUY POBRE,,,MUY FRECUENTE,1.0,CIREN
Laguna de Llolleo,San Antonio,MISCELANEOS,GRUESA,MUY RAPIDA,EXCESIVO,,,NO EXISTE,0.0,CIREN
Laguna de Llolleo,San Antonio,MISCELANEOS,GRUESA,MUY RAPIDA,EXCESIVO,,,NO EXISTE,0.0,CIREN
Des.Estero Mantagua,Quintero,MISCELANEOS,GRUESA,MUY RAPIDA,EXCESIVO,,,NO EXISTE,0.0,CIREN
Playa El Abanico,Puchuncaví,NO SUELOS,,,,,,,,none
Quebrada Las Petras,Algarrobo,,,,,,,,,none
El Canelillo,Algarrobo,,,,,,,,,none
Playa Sector nautico,Algarrobo,NO SUELOS,,,,,,,,none
Estero San Juan,San Antonio,NO SUELOS,,,,,,,,none
H. Estuario Los Molles,La Ligua,,,,,,,,,none
H. Estuario Los Molles,La Ligua,,,,,,,,,none
Sector Quintay N°1,Casablanca,LONCURA,GRUESA,RAPIDA,EXCESIVO,9.0,9.2,NO EXISTE,0.071,CIREN
Estero El Membrillo,Algarrobo,NO SUELOS,,,,,,,,none
Sector Playa Cachagua,Zapallar,MISCELANEOS,GRUESA,MUY RAPIDA,EXCESIVO,,,NO EXISTE,0.0,CIREN
Humedal Sector Las Gaviotas,Quintero,VALLE ALEGRE,MEDIA,MODERADA,IMPERFECTO,29.0,21.0,NO EXISTE,0.545,CIREN
Humedal Sector Las Gaviotas,Quintero,VALLE ALEGRE,MEDIA,MODERADA,IMPERFECTO,29.0,21.0,NO EXISTE,0.545,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Quilpué,NO SUELOS,,,,,,,,none
Sin información,Quilpué,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Valparaíso,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Quilpué,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Quilpué,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Quilpué,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Villa Alemana,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Villa Alemana,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,BUENO,13.0,8.8,NO EXISTE,0.229,CIREN
Sin información,Villa Alemana,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,BUENO,13.0,8.8,NO EXISTE,0.229,CIREN
Embalse Poza Azul,Quilpué,NO SUELOS,,,,,,,,none
Sin información,Quilpué,NO SUELOS,,,,,,,,none
Sin información,Villa Alemana,NO SUELOS,,,,,,,,none
Sin información,Limache,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Limache,NO SUELOS,,,,,,,,none
Sin información,Limache,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Concón,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Concón,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Concón,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Nogales,NO SUELOS,,,,,,,,none
Sin información,Nogales,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Zapallar,NO SUELOS,,,,,,,,none
Sin información,Santo Domingo,,,,,,,,,none
Sin información,Santo Domingo,NO SUELOS,,,,,,,,none
Sin información,Santo Domingo,ASOCIACION MATANZAS,MODERADAMENTE FINA,MODERADA,BUENO,,,NO EXISTE,0.483,CIREN
Sin información,Santo Domingo,NO SUELOS,,,,,,,,none
Sin información,Santo Domingo,ASOCIACION MATANZAS,MUY FINA,MODERADA,BUENO,,,NO EXISTE,0.35,CIREN
Sin información,Santo Domingo,ASOCIACION MATANZAS,MODERADAMENTE FINA,MODERADA,BUENO,,,NO EXISTE,0.483,CIREN
Sin información,Santo Domingo,ASOCIACION MATANZAS,MODERADAMENTE FINA,MODERADA,BUENO,,,NO EXISTE,0.483,CIREN
Sin información,Santo Domingo,ASOCIACION MATANZAS,MODERADAMENTE FINA,MODERADA,BUENO,,,NO EXISTE,0.483,CIREN
Sin información,Santo Domingo,ASOCIACION MATANZAS,MUY FINA,MODERADA,BUENO,,,NO EXISTE,0.35,CIREN
Sin información,Santo Domingo,ASOCIACION MATANZAS,MODERADAMENTE FINA,MODERADA,BUENO,,,NO EXISTE,0.483,CIREN
Sin información,Santo Domingo,ASOCIACION MATANZAS,MEDIA,MODERADA,BUENO,,,NO EXISTE,0.4,CIREN
Sin información,Santo Domingo,ASOCIACION MATANZAS,MEDIA,MODERADA,BUENO,,,NO EXISTE,0.4,CIREN
Sin información,Santo Domingo,TERRAZA ALUVIAL VALLES COSTERO,MODERADAMENTE GRUESA,MODERADA,POBRE,,,NO EXISTE,0.55,CIREN
Sin información,Santo Domingo,NO SUELOS,,,,,,,,none
Sin información,Santo Domingo,ASOCIACION LA MANGA,MODERADAMENTE FINA,LENTA,BUENO,,,NO EXISTE,0.6,CIREN
Sin información,Santo Domingo,ASOCIACION LA MANGA,MODERADAMENTE FINA,LENTA,BUENO,,,NO EXISTE,0.6,CIREN
