row,col,lon,lat,clim_mean_mm,clim_std_mm,n_years,recent_mm,cover_days,last_day,anomaly_pct,z_score
8,12,-70.6529,-32.6618,48.04,42.17,21,136.0,17,2026-07-17,183.1,2.09
8,13,-70.5463,-32.6631,47.08,45.28,21,113.7,17,2026-07-17,141.5,1.47
8,14,-70.4397,-32.6644,48.56,48.45,21,199.9,17,2026-07-17,311.7,3.12
8,15,-70.333,-32.6656,55.49,55.07,21,199.9,17,2026-07-17,260.2,2.62
8,16,-70.2264,-32.6667,65.26,64.22,21,179.9,17,2026-07-17,175.7,1.79
9,5,-71.4013,-32.7399,36.36,29.15,21,164.7,17,2026-07-17,353.0,4.4
9,6,-71.2946,-32.7419,37.62,30.87,21,181.6,17,2026-07-17,382.7,4.66
9,7,-71.188,-32.7438,42.42,35.13,21,172.4,17,2026-07-17,306.4,3.7
9,8,-71.0813,-32.7456,47.17,39.51,21,172.7,17,2026-07-17,266.1,3.18
9,9,-70.9746,-32.7473,49.99,42.35,21,211.6,17,2026-07-17,323.3,3.82
9,10,-70.8679,-32.749,49.49,42.19,21,168.2,17,2026-07-17,239.9,2.81
9,11,-70.7612,-32.7505,48.1,40.18,21,165.3,17,2026-07-17,243.7,2.92
9,12,-70.6545,-32.752,47.01,40.21,21,135.5,17,2026-07-17,188.2,2.2
9,13,-70.5478,-32.7533,46.76,43.75,21,114.9,17,2026-07-17,145.7,1.56
9,14,-70.4411,-32.7546,48.31,47.5,21,138.7,17,2026-07-17,187.1,1.9
9,15,-70.3344,-32.7558,57.79,55.88,21,179.9,17,2026-07-17,211.3,2.19
9,16,-70.2277,-32.7569,68.31,65.63,21,179.9,17,2026-07-17,163.4,1.7
10,4,-71.5104,-32.8279,40.45,30.3,21,151.0,17,2026-07-17,273.3,3.65
10,5,-71.4037,-32.83,37.43,28.97,21,164.0,17,2026-07-17,338.2,4.37
10,6,-71.2969,-32.832,39.07,30.96,21,157.8,17,2026-07-17,303.9,3.83
10,7,-71.1902,-32.8339,43.97,35.3,21,156.3,17,2026-07-17,255.5,3.18
10,8,-71.0834,-32.8357,49.08,40.0,21,181.8,17,2026-07-17,270.4,3.32
10,9,-70.9766,-32.8375,50.72,41.62,21,181.8,17,2026-07-17,258.4,3.15
10,10,-70.8698,-32.8391,49.69,40.99,21,171.2,17,2026-07-17,244.5,2.96
10,11,-70.763,-32.8407,48.1,40.18,21,136.5,17,2026-07-17,183.8,2.2
10,12,-70.6562,-32.8421,47.01,40.21,21,135.5,17,2026-07-17,188.2,2.2
10,13,-70.5494,-32.8435,46.76,43.75,21,129.6,17,2026-07-17,177.2,1.89
10,14,-70.4426,-32.8448,48.31,47.5,21,111.8,17,2026-07-17,131.4,1.34
10,15,-70.3357,-32.846,57.79,55.88,21,125.6,17,2026-07-17,117.3,1.21
10,16,-70.2289,-32.847,68.31,65.63,21,212.5,17,2026-07-17,211.1,2.2
10,17,-70.1221,-32.8481,78.83,75.88,21,206.8,17,2026-07-17,162.3,1.69
11,5,-71.4061,-32.9201,37.91,27.96,21,171.7,17,2026-07-17,352.9,4.79
11,6,-71.2993,-32.9221,39.67,30.0,21,171.7,17,2026-07-17,332.8,4.4
11,7,-71.1924,-32.9241,45.2,34.83,21,156.3,17,2026-07-17,245.8,3.19
11,8,-71.0855,-32.9259,51.1,40.32,21,147.5,17,2026-07-17,188.6,2.39
11,9,-70.9786,-32.9276,53.5,42.69,21,177.9,17,2026-07-17,232.5,2.91
11,10,-70.8717,-32.9293,50.9,40.64,21,160.7,17,2026-07-17,215.7,2.7
11,11,-70.7648,-32.9308,48.32,38.99,21,160.7,17,2026-07-17,232.6,2.88
11,12,-70.6579,-32.9323,46.7,38.56,21,125.9,17,2026-07-17,169.6,2.05
11,13,-70.551,-32.9337,47.25,40.54,21,125.9,17,2026-07-17,166.5,1.94
11,14,-70.444,-32.9349,50.6,48.37,21,97.7,17,2026-07-17,93.1,0.97
11,15,-70.3371,-32.9361,60.25,56.87,21,125.6,17,2026-07-17,108.5,1.15
11,16,-70.2301,-32.9372,71.18,66.75,21,188.0,17,2026-07-17,164.1,1.75
11,17,-70.1232,-32.9382,80.0,75.28,21,211.0,17,2026-07-17,163.8,1.74
11,18,-70.0162,-32.9392,78.07,74.28,21,218.3,17,2026-07-17,179.6,1.89
12,4,-71.5155,-33.0081,40.62,28.49,21,157.0,17,2026-07-17,286.5,4.08
12,5,-71.4086,-33.0102,39.42,27.94,21,180.4,17,2026-07-17,357.6,5.05
12,6,-71.3016,-33.0123,40.57,29.45,21,170.1,17,2026-07-17,319.3,4.4
12,7,-71.1946,-33.0142,46.92,35.04,21,167.7,17,2026-07-17,257.4,3.45
12,8,-71.0876,-33.016,52.9,40.74,21,158.8,17,2026-07-17,200.2,2.6
12,14,-70.4455,-33.0251,53.9,49.75,21,123.9,17,2026-07-17,129.9,1.41
12,15,-70.3385,-33.0263,62.64,57.91,21,161.1,17,2026-07-17,157.2,1.7
12,16,-70.2314,-33.0274,73.95,67.93,21,194.0,17,2026-07-17,162.3,1.77
12,17,-70.1243,-33.0284,82.68,76.15,21,211.0,17,2026-07-17,155.2,1.69
13,2,-71.7322,-33.0937,49.27,34.75,21,161.7,17,2026-07-17,228.2,3.24
13,3,-71.6252,-33.096,47.35,33.38,21,191.8,17,2026-07-17,305.1,4.33
13,4,-71.5181,-33.0982,43.21,30.31,21,226.7,17,2026-07-17,424.6,6.05
13,5,-71.411,-33.1004,39.9,27.97,21,180.4,17,2026-07-17,352.1,5.02
13,6,-71.3039,-33.1024,41.38,29.47,21,174.8,17,2026-07-17,322.4,4.53
13,7,-71.1969,-33.1043,47.78,35.58,21,162.4,17,2026-07-17,239.9,3.22
13,8,-71.0898,-33.1062,54.23,42.37,21,186.4,17,2026-07-17,243.7,3.12
13,16,-70.2327,-33.1176,75.48,68.2,21,230.8,17,2026-07-17,205.8,2.28
14,3,-71.6278,-33.1861,47.5,34.1,21,195.6,17,2026-07-17,311.8,4.34
14,4,-71.5207,-33.1884,43.68,30.63,21,215.7,17,2026-07-17,393.8,5.62
14,5,-71.4135,-33.1905,39.91,27.59,21,198.3,17,2026-07-17,396.9,5.74
14,6,-71.3063,-33.1925,42.64,30.38,21,175.6,17,2026-07-17,311.8,4.38
14,7,-71.1991,-33.1945,48.49,36.61,21,175.6,17,2026-07-17,262.1,3.47
14,8,-71.0919,-33.1963,54.88,44.07,21,167.8,17,2026-07-17,205.8,2.56
15,3,-71.6305,-33.2763,47.63,34.22,21,181.8,17,2026-07-17,281.7,3.92
15,4,-71.5233,-33.2785,44.24,30.87,21,181.8,17,2026-07-17,310.9,4.46
15,5,-71.416,-33.2806,40.89,28.1,21,199.0,17,2026-07-17,386.7,5.63
15,6,-71.3087,-33.2826,43.04,30.8,21,187.0,17,2026-07-17,334.5,4.67
16,3,-71.6333,-33.3664,48.26,34.44,21,134.7,17,2026-07-17,179.1,2.51
16,4,-71.5259,-33.3686,45.11,31.83,21,153.2,17,2026-07-17,239.6,3.4
16,5,-71.4185,-33.3707,42.5,29.87,21,179.2,17,2026-07-17,321.6,4.58
16,6,-71.3111,-33.3728,43.99,32.0,21,183.5,17,2026-07-17,317.1,4.36
17,3,-71.636,-33.4565,48.71,34.22,21,130.3,17,2026-07-17,167.5,2.38
17,4,-71.5285,-33.4587,45.94,32.56,21,137.3,17,2026-07-17,198.9,2.81
17,5,-71.421,-33.4608,43.03,30.99,21,163.4,17,2026-07-17,279.7,3.88
18,4,-71.5311,-33.5488,45.94,32.56,21,156.6,17,2026-07-17,240.9,3.4
18,5,-71.4235,-33.551,44.43,32.16,21,156.6,17,2026-07-17,252.5,3.49
19,4,-71.5337,-33.6389,46.58,32.41,21,149.2,17,2026-07-17,220.3,3.17
19,5,-71.426,-33.6411,44.43,32.16,21,145.4,17,2026-07-17,227.3,3.14
20,3,-71.6442,-33.7268,48.15,32.02,21,153.4,17,2026-07-17,218.6,3.29
20,4,-71.5364,-33.729,47.66,32.21,21,156.2,17,2026-07-17,227.7,3.37
20,5,-71.4285,-33.7312,47.61,33.63,21,141.5,17,2026-07-17,197.2,2.79
21,2,-71.7549,-33.8145,48.78,31.21,21,112.2,17,2026-07-17,130.0,2.03
21,3,-71.647,-33.8169,48.5,31.33,21,153.4,17,2026-07-17,216.3,3.35
22,2,-71.7578,-33.9046,51.76,32.35,21,129.9,17,2026-07-17,151.0,2.42
22,3,-71.6498,-33.9069,50.05,31.88,21,157.8,17,2026-07-17,215.3,3.38
