nom_humed,comuna,dist_rio_m,dist_rio_mayor_m,prox_rio,prox_rio_mayor
Embalse 1 Calle Larga,Calle Larga,730.0,730.0,0.535,0.772
Embalse La Invernada,Valparaíso,430.0,1847.0,0.743,0.392
Embalse 3 San Esteban.,San Esteban,2161.0,2297.0,0.0,0.239
Embalse 4 San Esteban.,San Esteban,1977.0,2464.0,0.0,0.182
Embalse 6 San Esteban.,San Esteban,1098.0,1639.0,0.279,0.463
Embalse 19 Rinconada,Rinconada,421.0,421.0,0.749,0.877
Piscina 3,Puchuncaví,1250.0,1250.0,0.174,0.595
Piscina 2,Quintero,903.0,903.0,0.414,0.713
Piscina 1,Quintero,903.0,903.0,0.414,0.713
Quebrada Las Tinajas,Algarrobo,10.0,1250.0,1.0,0.595
Laguna Sausalito,Viña del Mar,47.0,47.0,1.0,1.0
Laguna El Peral,El Tabo,187.0,1317.0,0.912,0.572
Embalse Quebrada El Tranque,San Antonio,142.0,142.0,0.943,0.972
Lago Peñuelas,Valparaíso,333.0,333.0,0.81,0.907
Humedal sector Fundo Los Arrayanes,Olmué,437.0,712.0,0.738,0.778
Esteros Catapilco - La Canela,Puchuncaví,7.0,7.0,1.0,1.0
Esteros Catapilco - La Canela,Puchuncaví,36.0,36.0,1.0,1.0
Esteros Catapilco - La Canela,Zapallar,7.0,34.0,1.0,1.0
Esteros Catapilco - La Canela,Zapallar,22.0,22.0,1.0,1.0
Embalse,Rinconada,118.0,118.0,0.959,0.98
Embalse 2 Calle Larga.,Calle Larga,362.0,1143.0,0.791,0.632
Sector Quintay N°3,Casablanca,254.0,254.0,0.865,0.934
Embalse 17 Rinconada,Rinconada,2549.0,2549.0,0.0,0.153
Embalse 14 Rinconada,Rinconada,2504.0,2504.0,0.0,0.169
Embalse 15 Rinconada,Rinconada,2919.0,2919.0,0.0,0.027
Estero Cartagena,Cartagena,306.0,306.0,0.829,0.916
Humedal sector Av. El Rincón,Villa Alemana,303.0,1184.0,0.831,0.618
Humedales Sector Tunquen,Algarrobo,161.0,161.0,0.93,0.966
Humedales Sector Tunquen,Algarrobo,98.0,98.0,0.973,0.987
Embalse Casablanca 2,Casablanca,301.0,301.0,0.833,0.918
Embalses Quintay 3,Casablanca,58.0,58.0,1.0,1.0
Laguna artificial Bahía,Algarrobo,206.0,206.0,0.899,0.95
Humedal Sector Esteros de la Laja,Concón,49.0,138.0,1.0,0.973
Embalse 1 San Felipe,San Felipe,518.0,518.0,0.682,0.844
Humedales Sector Los Maitenes,Puchuncaví,60.0,60.0,1.0,1.0
Embalse 3 Catemu,Catemu,2012.0,2012.0,0.0,0.336
Tranque Antiguo,Catemu,1492.0,1492.0,0.005,0.513
Tranque Antiguo,Catemu,1645.0,1645.0,0.0,0.461
Estero Puchuncavi - Campiche,Puchuncaví,123.0,123.0,0.956,0.979
Estero Puchuncavi - Campiche,Quintero,215.0,215.0,0.893,0.947
Sector Quintero N°9,Quintero,119.0,119.0,0.959,0.98
Estero Los Molles,La Ligua,9.0,9.0,1.0,1.0
Sin identificar,La Ligua,480.0,480.0,0.709,0.857
Quebrada Talcalan,Papudo,16.0,586.0,1.0,0.821
Sin identificar,Papudo,720.0,720.0,0.542,0.776
Humedal Sector El Alto,Puchuncaví,5.0,5.0,1.0,1.0
Sector Quintero N°10,Quintero,1473.0,2160.0,0.019,0.286
Petras Quintero,Quintero,1835.0,2152.0,0.0,0.289
Humedal Sector Las Gaviotas,Quintero,176.0,176.0,0.92,0.961
Des.Estero Mantagua,Quintero,231.0,231.0,0.881,0.942
Des.Estero Mantagua,Quintero,127.0,127.0,0.954,0.977
Des.Estero Mantagua,Quintero,152.0,152.0,0.936,0.969
Des.Estero Mantagua,Quintero,102.0,102.0,0.971,0.986
Des.Estero Mantagua,Quintero,80.0,643.0,0.986,0.802
Des.Estero Mantagua,Quintero,80.0,80.0,0.986,0.993
Des.Estero Mantagua,Quintero,127.0,127.0,0.954,0.977
Des.Estero Mantagua,Quintero,46.0,46.0,1.0,1.0
Estero Mantagua,Quintero,711.0,711.0,0.548,0.778
Estero Reñaca,Viña del Mar,17.0,17.0,1.0,1.0
Estero Limache,Concón,78.0,78.0,0.988,0.994
Estero Limache,Concón,56.0,56.0,1.0,1.0
Estero Limache,Limache,76.0,76.0,0.989,0.995
Estero Limache,Concón,18.0,18.0,1.0,1.0
Estero San Juan,San Antonio,8.0,8.0,1.0,1.0
Estero El Jote,Casablanca,65.0,65.0,0.997,0.998
Humedal Estero Guaquen,La Ligua,18.0,18.0,1.0,1.0
Sin identificar,La Ligua,39.0,39.0,1.0,1.0
Des. Estero Curaumilla,Valparaíso,26.0,26.0,1.0,1.0
Estero El Membrillo,Casablanca,19.0,19.0,1.0,1.0
Estero El Membrillo,Algarrobo,3.0,3.0,1.0,1.0
Estero San Jeronimo,Casablanca,15.0,15.0,1.0,1.0
Estero San Jeronimo,Casablanca,3.0,3.0,1.0,1.0
Estero San Jeronimo,Casablanca,33.0,33.0,1.0,1.0
Estero San Jeronimo,Casablanca,48.0,48.0,1.0,1.0
Estero San Jeronimo,Casablanca,42.0,42.0,1.0,1.0
Estero San Jeronimo,Casablanca,19.0,19.0,1.0,1.0
Estero San Jeronimo,Casablanca,15.0,15.0,1.0,1.0
Estero San Jeronimo,Casablanca,22.0,22.0,1.0,1.0
Estero San Jeronimo,Casablanca,2.0,2.0,1.0,1.0
Estero San Jeronimo,Casablanca,14.0,14.0,1.0,1.0
Estero San Jeronimo,Algarrobo,26.0,26.0,1.0,1.0
Estero San Jeronimo,Algarrobo,10.0,10.0,1.0,1.0
Estero San Jeronimo,Algarrobo,44.0,44.0,1.0,1.0
Estero San Jeronimo,Algarrobo,4.0,4.0,1.0,1.0
Estero San Jeronimo,Algarrobo,24.0,24.0,1.0,1.0
Estero San Jeronimo,Algarrobo,9.0,9.0,1.0,1.0
Estero San Jeronimo,Algarrobo,13.0,13.0,1.0,1.0
Estero Cartagena,Cartagena,18.0,18.0,1.0,1.0
Estero del Rosario de Cordova,Casablanca,31.0,31.0,1.0,1.0
Estero del Rosario de Cordova,El Quisco,7.0,7.0,1.0,1.0
Estero del Rosario de Cordova,El Quisco,12.0,12.0,1.0,1.0
Estero del Rosario de Cordova,El Quisco,8.0,8.0,1.0,1.0
Estero del Rosario de Cordova,El Quisco,10.0,10.0,1.0,1.0
Estero del Rosario de Cordova,El Quisco,12.0,12.0,1.0,1.0
Estero del Rosario de Cordova,El Quisco,17.0,17.0,1.0,1.0
Estero del Rosario de Cordova,El Quisco,16.0,16.0,1.0,1.0
