nom_humed,comuna,dist_rio_m,dist_rio_mayor_m,prox_rio,prox_rio_mayor
Sin información,Casablanca,111.0,856.0,0.965,0.729
Sin información,Casablanca,490.0,758.0,0.702,0.762
Sin información,Casablanca,484.0,695.0,0.706,0.784
Sin información,Casablanca,29.0,29.0,1.0,1.0
Sin información,Casablanca,4.0,532.0,1.0,0.839
Sin información,Casablanca,628.0,1013.0,0.605,0.676
Sin información,Casablanca,120.0,135.0,0.959,0.974
Sin información,Casablanca,1.0,1.0,1.0,1.0
Sin información,Casablanca,210.0,210.0,0.896,0.949
Sin información,Casablanca,35.0,35.0,1.0,1.0
Sin información,Casablanca,92.0,92.0,0.977,0.989
Sin información,Casablanca,12.0,402.0,1.0,0.884
Sin información,Casablanca,15.0,15.0,1.0,1.0
Sin información,Casablanca,87.0,586.0,0.981,0.821
Sin información,Casablanca,175.0,1745.0,0.92,0.427
Sin información,Casablanca,246.0,246.0,0.871,0.937
Sin información,Casablanca,714.0,1568.0,0.546,0.487
Sin información,Casablanca,77.0,802.0,0.988,0.748
Sin información,Casablanca,2.0,1188.0,1.0,0.616
Sin información,Casablanca,80.0,80.0,0.986,0.993
Sin información,Casablanca,647.0,1723.0,0.592,0.434
Sin información,Casablanca,51.0,1045.0,1.0,0.665
Sin información,Casablanca,5.0,664.0,1.0,0.794
Sector Quintay N°4,Casablanca,177.0,390.0,0.919,0.888
Sin información,Casablanca,318.0,639.0,0.821,0.803
Sin información,Casablanca,43.0,43.0,1.0,1.0
Sin información,Casablanca,88.0,1299.0,0.981,0.579
Sin información,Valparaíso,7.0,1580.0,1.0,0.483
Sin información,Valparaíso,21.0,157.0,1.0,0.967
Sin información,Casablanca,33.0,33.0,1.0,1.0
Sin información,Casablanca,145.0,145.0,0.941,0.971
Sin información,Valparaíso,122.0,122.0,0.957,0.979
Sin información,Casablanca,5.0,329.0,1.0,0.908
Sin información,Quilpué,3.0,3.0,1.0,1.0
Sin información,Quilpué,114.0,327.0,0.963,0.909
Sin información,Quilpué,10.0,215.0,1.0,0.947
Sin información,Valparaíso,40.0,891.0,1.0,0.717
Sin información,Quilpué,44.0,962.0,1.0,0.693
Sin información,Quilpué,13.0,13.0,1.0,1.0
Sin información,Quilpué,249.0,815.0,0.869,0.743
Sin información,Valparaíso,69.0,69.0,0.993,0.997
Sin información,Quilpué,63.0,63.0,0.998,0.999
Sin información,Quilpué,7.0,7.0,1.0,1.0
Sin información,Quilpué,466.0,466.0,0.718,0.862
Sin información,Quilpué,126.0,234.0,0.954,0.941
Embalse El Peral,Valparaíso,515.0,1408.0,0.684,0.542
Sin información,Valparaíso,81.0,979.0,0.985,0.687
Sin información,Valparaíso,53.0,1109.0,1.0,0.643
Sin información,Valparaíso,56.0,1366.0,1.0,0.556
Sin información,Valparaíso,132.0,1636.0,0.95,0.464
Sin información,Quilpué,110.0,1356.0,0.965,0.559
Sin información,Valparaíso,240.0,826.0,0.875,0.739
Sin información,Quilpué,444.0,822.0,0.733,0.741
Sin información,Quilpué,40.0,40.0,1.0,1.0
Sin información,Villa Alemana,134.0,273.0,0.948,0.927
Sin información,Quilpué,51.0,51.0,1.0,1.0
Sin información,Villa Alemana,153.0,157.0,0.936,0.967
Sin información,Quilpué,101.0,101.0,0.972,0.986
Sin información,Quilpué,120.0,120.0,0.958,0.98
Sin información,Quilpué,135.0,135.0,0.948,0.974
Sin información,Quilpué,212.0,212.0,0.894,0.948
Sin información,Villa Alemana,55.0,55.0,1.0,1.0
Sin información,Limache,95.0,95.0,0.976,0.988
Sin información,Quilpué,89.0,89.0,0.98,0.99
Sin información,Quilpué,19.0,19.0,1.0,1.0
Sin información,Valparaíso,800.0,2013.0,0.486,0.336
Sin información,Limache,90.0,90.0,0.979,0.99
Sin información,Quilpué,32.0,32.0,1.0,1.0
Sin información,Quilpué,58.0,496.0,1.0,0.852
Sin información,Villa Alemana,200.0,1387.0,0.903,0.549
Sin información,Limache,239.0,239.0,0.875,0.939
Sin información,Limache,735.0,735.0,0.531,0.77
Sin información,Limache,75.0,1324.0,0.99,0.57
Sin información,Limache,104.0,1298.0,0.97,0.579
Sin información,Limache,751.0,770.0,0.52,0.758
Sin información,Limache,35.0,736.0,1.0,0.77
Sin información,Olmué,466.0,554.0,0.718,0.832
Sin información,Limache,148.0,1109.0,0.939,0.643
Sin información,Olmué,218.0,218.0,0.89,0.946
Sin información,Limache,678.0,731.0,0.571,0.772
Sin información,Limache,171.0,366.0,0.923,0.896
Sin información,Limache,206.0,206.0,0.898,0.95
Sin información,Villa Alemana,124.0,138.0,0.955,0.974
Sin información,Limache,184.0,1278.0,0.914,0.586
Sin información,Olmué,303.0,303.0,0.831,0.917
Sin información,Limache,116.0,833.0,0.961,0.737
Sin información,Limache,901.0,901.0,0.416,0.714
Sin información,Olmué,220.0,247.0,0.889,0.936
Sin información,Limache,45.0,45.0,1.0,1.0
Sin información,Limache,241.0,241.0,0.874,0.938
Sin información,Olmué,65.0,65.0,0.997,0.998
Sin información,Limache,988.0,1418.0,0.356,0.538
Sin información,Olmué,523.0,1416.0,0.679,0.539
Sin información,Villa Alemana,156.0,1109.0,0.933,0.643
Sin información,Olmué,230.0,1132.0,0.882,0.635
Sin información,Limache,947.0,1659.0,0.384,0.456
Sin información,Limache,532.0,532.0,0.672,0.839
Sin información,Olmué,524.0,524.0,0.678,0.842
Sin información,Villa Alemana,63.0,1134.0,0.998,0.635
Sin información,Limache,46.0,46.0,1.0,1.0
Sin información,Olmué,1025.0,1169.0,0.33,0.623
Sin información,Limache,290.0,290.0,0.84,0.922
Sin información,Limache,1861.0,1861.0,0.0,0.387
Sin información,Limache,908.0,1576.0,0.411,0.484
Sin información,Limache,934.0,1656.0,0.393,0.457
Sin información,Quillota,727.0,727.0,0.537,0.773
Sin información,Quillota,1773.0,1773.0,0.0,0.417
Sin información,Quillota,381.0,381.0,0.777,0.891
Sin información,Quillota,743.0,743.0,0.526,0.768
Sin información,Quillota,1126.0,1126.0,0.26,0.638
Sin información,Quillota,1195.0,1195.0,0.212,0.614
Sin información,Quillota,644.0,644.0,0.594,0.801
Sin información,Quillota,97.0,101.0,0.974,0.986
Sin información,Quillota,946.0,946.0,0.385,0.699
Sin información,Quillota,1535.0,1535.0,0.0,0.498
Sin información,Quillota,855.0,855.0,0.448,0.729
Sin información,Quillota,439.0,621.0,0.737,0.809
Sin información,Quillota,121.0,463.0,0.957,0.863
Sin información,Quillota,420.0,976.0,0.75,0.689
Sin información,Quillota,750.0,750.0,0.521,0.765
Sin información,Quillota,482.0,557.0,0.707,0.831
Sin información,Hijuelas,373.0,373.0,0.782,0.893
Sin información,Quillota,207.0,875.0,0.898,0.723
Sin información,Llaillay,527.0,527.0,0.675,0.841
Sin información,Quillota,293.0,293.0,0.838,0.921
Sin información,Rinconada,49.0,49.0,1.0,1.0
Sin información,Quillota,652.0,652.0,0.589,0.799
Sin información,Quillota,1158.0,1325.0,0.237,0.57
Sin información,Quillota,277.0,813.0,0.849,0.744
Sin información,Quillota,669.0,669.0,0.577,0.793
Sin información,Hijuelas,168.0,168.0,0.925,0.963
Sin información,Los Andes,253.0,253.0,0.866,0.934
Sin información,Hijuelas,503.0,503.0,0.693,0.849
Sin información,Calle Larga,2.0,585.0,1.0,0.821
Sin información,Quillota,915.0,915.0,0.406,0.709
Sin información,Hijuelas,143.0,143.0,0.942,0.972
Sin información,Quillota,161.0,161.0,0.93,0.966
Sin información,Quillota,1086.0,1086.0,0.288,0.651
Sin información,Llaillay,200.0,200.0,0.903,0.953
Sin información,Quillota,1012.0,1012.0,0.339,0.676
Sin información,Quintero,407.0,679.0,0.759,0.79
Sin información,Llaillay,842.0,842.0,0.457,0.734
Sin información,Llaillay,302.0,302.0,0.832,0.918
Sin información,Calle Larga,47.0,47.0,1.0,1.0
Sin información,Hijuelas,399.0,399.0,0.765,0.885
Sin información,Llaillay,453.0,453.0,0.727,0.866
Sin información,Llaillay,1333.0,1333.0,0.116,0.567
Sin información,Llaillay,315.0,315.0,0.823,0.913
Sector Estero Mantagua 1,Quintero,499.0,499.0,0.695,0.851
Sin información,Quillota,38.0,38.0,1.0,1.0
Sin información,Quillota,4.0,4.0,1.0,1.0
Sector Estero Mantagua 2,Quintero,317.0,317.0,0.822,0.913
Sin información,Quillota,2358.0,2358.0,0.0,0.218
Estero Mantagua,Quintero,10.0,10.0,1.0,1.0
Sin información,Rinconada,136.0,136.0,0.947,0.974
Sin información,Llaillay,1269.0,1269.0,0.16,0.589
Sin información,Llaillay,1096.0,1096.0,0.281,0.648
Sin información,Llaillay,228.0,228.0,0.883,0.943
Sin información,Quillota,405.0,405.0,0.761,0.883
Sin información,Calle Larga,424.0,424.0,0.747,0.876
Sin información,Llaillay,372.0,372.0,0.784,0.894
Sin información,Calle Larga,62.0,326.0,0.999,0.91
Sin información,La Cruz,1727.0,1727.0,0.0,0.433
Sin información,Quillota,121.0,121.0,0.957,0.979
Sin información,Los Andes,340.0,340.0,0.806,0.905
Sin información,La Cruz,59.0,2729.0,1.0,0.092
Sin información,Calera,24.0,1530.0,1.0,0.5
Sin información,Hijuelas,156.0,587.0,0.933,0.821
Sin información,La Cruz,294.0,2822.0,0.837,0.06
Sin información,La Cruz,721.0,2814.0,0.541,0.063
Sin información,Los Andes,87.0,1567.0,0.981,0.487
Sin información,San Esteban,210.0,210.0,0.896,0.949
Sin información,Quintero,410.0,410.0,0.757,0.881
Sin información,Quintero,50.0,50.0,1.0,1.0
Sin información,Hijuelas,696.0,696.0,0.558,0.784
Sector Estero Mala Cara 2,Quintero,211.0,226.0,0.895,0.943
Sin información,Llaillay,1059.0,1059.0,0.307,0.66
Sector Estero Mala Cara 4,Quintero,169.0,620.0,0.924,0.809
Sin información,La Cruz,822.0,2634.0,0.471,0.125
Sin información,San Esteban,195.0,195.0,0.906,0.954
Sin información,La Cruz,1691.0,1873.0,0.0,0.383
Sin información,Quintero,24.0,24.0,1.0,1.0
Sector Estero Mala Cara 5,Quintero,254.0,254.0,0.865,0.934
Sin información,Los Andes,1795.0,2724.0,0.0,0.094
Estero Mala Cara,Puchuncaví,69.0,69.0,0.994,0.997
Sin información,San Esteban,147.0,147.0,0.94,0.97
Sin información,Los Andes,2213.0,2213.0,0.0,0.268
Sin información,La Cruz,438.0,438.0,0.738,0.871
Sin información,Hijuelas,214.0,214.0,0.893,0.948
Sin información,Panquehue,599.0,599.0,0.625,0.817
Sin información,San Esteban,898.0,898.0,0.418,0.715
Sin información,San Felipe,1223.0,1223.0,0.193,0.605
Sin información,Puchuncaví,216.0,216.0,0.892,0.947
Sin información,Hijuelas,545.0,545.0,0.663,0.835
Sin información,San Felipe,994.0,994.0,0.351,0.682
Sin información,Santa María,1149.0,1149.0,0.244,0.63
Sin información,Santa María,588.0,588.0,0.633,0.82
Sin información,San Esteban,2760.0,2760.0,0.0,0.082
Sin información,Santa María,1011.0,1011.0,0.34,0.677
Sin información,Santa María,903.0,903.0,0.414,0.713
Sin información,Nogales,46.0,874.0,1.0,0.723
Sin información,San Esteban,1282.0,1282.0,0.151,0.584
Sin información,San Esteban,1440.0,1440.0,0.042,0.531
Sin información,San Esteban,620.0,620.0,0.611,0.81
Sin información,San Esteban,544.0,544.0,0.664,0.835
Sin información,San Esteban,619.0,619.0,0.612,0.81
Sin información,San Esteban,183.0,183.0,0.914,0.958
Sin información,San Esteban,429.0,429.0,0.744,0.874
Sin información,San Esteban,682.0,682.0,0.568,0.788
Sin información,San Esteban,1058.0,1058.0,0.307,0.661
Sin información,San Esteban,623.0,623.0,0.609,0.809
Sin información,San Esteban,514.0,514.0,0.685,0.846
Sin información,San Esteban,116.0,116.0,0.961,0.981
Sin información,San Esteban,1157.0,1157.0,0.238,0.627
Sin información,Santa María,564.0,564.0,0.65,0.829
Sin información,Puchuncaví,435.0,508.0,0.74,0.848
Sin información,Puchuncaví,203.0,203.0,0.901,0.952
Sin información,San Esteban,154.0,592.0,0.935,0.819
Sin información,Catemu,1010.0,1010.0,0.34,0.677
Sin información,San Esteban,4.0,4.0,1.0,1.0
Sin información,Puchuncaví,514.0,551.0,0.684,0.833
Sin información,Santa María,279.0,279.0,0.848,0.926
Sin información,San Esteban,63.0,63.0,0.998,0.999
Sin información,Nogales,718.0,718.0,0.543,0.776
Sin información,San Esteban,15.0,15.0,1.0,1.0
Sin información,San Esteban,202.0,780.0,0.901,0.755
Sin información,San Esteban,563.0,563.0,0.651,0.829
Sin información,Santa María,549.0,549.0,0.66,0.834
Sin información,Puchuncaví,68.0,68.0,0.994,0.997
Sin información,Nogales,424.0,424.0,0.747,0.876
Sin información,San Esteban,98.0,98.0,0.974,0.987
Sin información,San Felipe,64.0,64.0,0.997,0.999
Sin información,San Esteban,218.0,218.0,0.89,0.946
Sin información,Santa María,96.0,96.0,0.975,0.988
Sin información,San Esteban,127.0,127.0,0.954,0.977
Sin información,San Esteban,119.0,119.0,0.959,0.98
Sin información,San Esteban,867.0,867.0,0.44,0.726
Sin información,San Esteban,1277.0,1277.0,0.155,0.586
Sin información,Nogales,1466.0,1791.0,0.024,0.411
Sin información,San Felipe,653.0,933.0,0.588,0.703
Sin información,Santa María,68.0,68.0,0.995,0.997
Sin información,Nogales,262.0,262.0,0.86,0.931
Sin información,Nogales,446.0,446.0,0.732,0.869
Sin información,Nogales,956.0,956.0,0.378,0.695
Sin información,Nogales,2105.0,2105.0,0.0,0.304
Sin información,Santa María,230.0,230.0,0.882,0.942
Sin información,San Felipe,425.0,425.0,0.746,0.876
Sin información,Catemu,218.0,218.0,0.89,0.946
Sin información,Catemu,257.0,257.0,0.863,0.933
Sin información,Nogales,140.0,140.0,0.945,0.973
Sin información,Catemu,464.0,464.0,0.72,0.863
Sin información,Catemu,1152.0,1179.0,0.241,0.619
Sin información,Zapallar,192.0,241.0,0.909,0.938
Sin información,Zapallar,219.0,219.0,0.89,0.946
Sin información,Zapallar,163.0,311.0,0.929,0.915
Sin información,Zapallar,19.0,226.0,1.0,0.944
Esteros Catapilco - La Canela,Zapallar,399.0,399.0,0.765,0.885
Sin información,Zapallar,189.0,189.0,0.91,0.956
Sin información,Putaendo,1053.0,1053.0,0.31,0.662
Sin información,Putaendo,262.0,262.0,0.86,0.931
Sin información,Putaendo,260.0,260.0,0.861,0.932
Sin información,Putaendo,445.0,445.0,0.733,0.869
Sin información,Putaendo,691.0,691.0,0.562,0.785
Sin información,Putaendo,317.0,317.0,0.821,0.912
Sin información,Putaendo,607.0,607.0,0.62,0.814
Sin información,Putaendo,59.0,59.0,1.0,1.0
Sin información,La Ligua,82.0,82.0,0.985,0.993
Sin información,Papudo,96.0,96.0,0.975,0.988
Sin información,Cabildo,335.0,335.0,0.809,0.907
Sin información,Cabildo,343.0,343.0,0.803,0.904
Sin información,Cabildo,518.0,518.0,0.682,0.844
Sin información,Papudo,154.0,154.0,0.935,0.968
Sin información,Cabildo,887.0,887.0,0.426,0.719
Sin información,Cabildo,241.0,241.0,0.874,0.939
Sin información,Cabildo,264.0,264.0,0.858,0.931
Sin información,Cabildo,280.0,280.0,0.847,0.925
Sin información,Cabildo,249.0,249.0,0.869,0.936
Sin información,Cabildo,501.0,501.0,0.693,0.85
Sin información,Cabildo,173.0,173.0,0.921,0.961
Sin información,La Ligua,68.0,285.0,0.994,0.924
Sin información,Cabildo,719.0,719.0,0.542,0.776
Sin información,Cabildo,517.0,553.0,0.683,0.832
Sin información,Cabildo,97.0,97.0,0.974,0.987
Sin información,Cabildo,220.0,730.0,0.889,0.772
Sin información,Cabildo,292.0,292.0,0.839,0.921
Sin información,Cabildo,457.0,457.0,0.724,0.865
Sin información,Cabildo,576.0,576.0,0.642,0.824
Sin información,Cabildo,228.0,228.0,0.884,0.943
Sin información,La Ligua,548.0,548.0,0.661,0.834
Sin información,Cabildo,222.0,222.0,0.887,0.945
Sin información,Cabildo,303.0,303.0,0.832,0.917
Sin información,Cabildo,294.0,294.0,0.837,0.92
Sin información,Cabildo,212.0,212.0,0.894,0.948
Sin información,Cabildo,344.0,344.0,0.803,0.903
Sin información,La Ligua,378.0,655.0,0.779,0.798
Sin información,Cabildo,376.0,376.0,0.781,0.893
Sin información,Petorca,71.0,71.0,0.992,0.996
Sin información,La Ligua,835.0,962.0,0.462,0.693
Sin información,La Ligua,44.0,261.0,1.0,0.931
Sin información,Cabildo,173.0,173.0,0.922,0.962
Sin información,Cabildo,209.0,209.0,0.896,0.949
Sin información,Cabildo,197.0,506.0,0.905,0.848
Sin información,Cabildo,205.0,205.0,0.9,0.951
Sin información,La Ligua,456.0,532.0,0.725,0.839
Sin información,La Ligua,80.0,80.0,0.986,0.993
Sin información,Petorca,200.0,200.0,0.903,0.952
Sin información,Petorca,283.0,283.0,0.845,0.924
Sin información,Petorca,316.0,316.0,0.822,0.913
Sin información,La Ligua,1084.0,1084.0,0.289,0.652
Sin información,Petorca,131.0,131.0,0.951,0.976
Sin información,La Ligua,189.0,379.0,0.91,0.892
Sin información,La Ligua,82.0,263.0,0.985,0.931
Sin información,La Ligua,46.0,46.0,1.0,1.0
Sin información,La Ligua,204.0,204.0,0.9,0.951
Sin información,La Ligua,446.0,550.0,0.732,0.833
Sin información,Petorca,87.0,501.0,0.981,0.85
Sin información,Petorca,55.0,290.0,1.0,0.922
Sin información,Petorca,111.0,131.0,0.965,0.976
Sin información,Petorca,342.0,342.0,0.804,0.904
Sin información,Petorca,1105.0,1141.0,0.274,0.632
Sin información,Petorca,1135.0,1135.0,0.253,0.634
Sin información,Petorca,991.0,991.0,0.354,0.683
Sin información,Petorca,544.0,544.0,0.664,0.835
Sin información,Petorca,299.0,299.0,0.834,0.919
Sin información,Petorca,356.0,356.0,0.794,0.899
Sin información,Petorca,325.0,1106.0,0.816,0.644
Sin información,Santo Domingo,701.0,701.0,0.555,0.782
Sin información,Casablanca,53.0,53.0,1.0,1.0
Sin información,Casablanca,9.0,155.0,1.0,0.968
Sin información,Los Andes,187.0,187.0,0.912,0.957
Sin información,Los Andes,153.0,253.0,0.935,0.934
Sin información,Los Andes,228.0,352.0,0.883,0.901
Sin información,Los Andes,427.0,1705.0,0.745,0.44
Sin información,Los Andes,210.0,339.0,0.896,0.905
Sin información,Los Andes,52.0,1185.0,1.0,0.617
Sin información,Los Andes,576.0,847.0,0.642,0.732
Sin información,Santa María,362.0,1031.0,0.79,0.67
Sin información,San Esteban,169.0,978.0,0.924,0.688
Sin información,Cabildo,173.0,319.0,0.922,0.912
Sin información,Santo Domingo,664.0,1593.0,0.58,0.479
Sin información,Santo Domingo,593.0,1471.0,0.63,0.52
Sin información,Santo Domingo,650.0,1492.0,0.59,0.513
Sin información,Santo Domingo,467.0,1322.0,0.717,0.571
Sin información,Santo Domingo,706.0,706.0,0.551,0.78
Sin información,Santo Domingo,0.0,1910.0,1.0,0.371
Laguna Sector Industrial,Cartagena,45.0,776.0,1.0,0.756
Sin información,El Tabo,38.0,1218.0,1.0,0.606
Sin información,Casablanca,193.0,717.0,0.908,0.777
Sin información,Casablanca,41.0,41.0,1.0,1.0
Sin información,Casablanca,23.0,431.0,1.0,0.874
Sin información,Casablanca,169.0,278.0,0.925,0.926
Sin información,Quilpué,28.0,28.0,1.0,1.0
Sin información,Valparaíso,64.0,64.0,0.998,0.999
Sin información,Quilpué,5.0,5.0,1.0,1.0
Sin información,Quilpué,113.0,113.0,0.963,0.982
Sin información,Quilpué,34.0,34.0,1.0,1.0
Sin información,Los Andes,583.0,5656.0,0.637,0.0
Sin información,Los Andes,337.0,2865.0,0.808,0.046
Sin información,Los Andes,325.0,2696.0,0.816,0.103
Sin información,Los Andes,227.0,2459.0,0.884,0.184
Sin información,Los Andes,97.0,2588.0,0.975,0.14
Sin información,Los Andes,47.0,2113.0,1.0,0.302
Sin información,Los Andes,78.0,2336.0,0.988,0.226
Sin información,Los Andes,69.0,2012.0,0.994,0.336
Sin información,Los Andes,68.0,1802.0,0.994,0.407
Sin información,Los Andes,56.0,1583.0,1.0,0.482
Sin información,Los Andes,75.0,75.0,0.99,0.995
Sin información,Los Andes,74.0,1473.0,0.991,0.519
Sin información,Los Andes,18.0,1307.0,1.0,0.576
Sin información,Los Andes,116.0,116.0,0.961,0.981
Sin información,Los Andes,84.0,84.0,0.983,0.992
Sin información,Los Andes,319.0,319.0,0.82,0.912
Sin información,Los Andes,45.0,45.0,1.0,1.0
Sin información,Los Andes,70.0,1313.0,0.993,0.574
Sin información,Los Andes,315.0,726.0,0.823,0.773
Sin información,Los Andes,154.0,998.0,0.935,0.681
Sin información,Los Andes,415.0,1047.0,0.754,0.664
Sin información,Los Andes,58.0,58.0,1.0,1.0
Sin información,Los Andes,854.0,1133.0,0.449,0.635
Sin información,Los Andes,366.0,1005.0,0.788,0.678
Sin información,Los Andes,93.0,854.0,0.977,0.73
Sin información,Los Andes,224.0,224.0,0.886,0.944
Sin información,Los Andes,210.0,1199.0,0.896,0.613
Sin información,Los Andes,798.0,1696.0,0.488,0.443
Sin información,Los Andes,177.0,177.0,0.919,0.96
Sin información,Los Andes,993.0,1386.0,0.352,0.549
Sin información,Los Andes,655.0,1218.0,0.587,0.606
Sin información,Limache,245.0,245.0,0.871,0.937
Sin información,Los Andes,440.0,1500.0,0.736,0.51
Sin información,Los Andes,461.0,1696.0,0.722,0.444
Sin información,Los Andes,93.0,623.0,0.977,0.809
Sin información,Los Andes,58.0,1766.0,1.0,0.42
Sin información,Los Andes,116.0,192.0,0.961,0.955
Sin información,Los Andes,62.0,557.0,0.998,0.831
Sin información,Los Andes,81.0,782.0,0.986,0.754
Sin información,Los Andes,711.0,2200.0,0.548,0.272
Sin información,Los Andes,375.0,1060.0,0.781,0.66
Sin información,Los Andes,49.0,608.0,1.0,0.814
Sin información,Los Andes,295.0,1644.0,0.837,0.461
Sin información,Los Andes,126.0,843.0,0.954,0.734
Sin información,Los Andes,96.0,981.0,0.975,0.687
Sin información,Limache,692.0,732.0,0.561,0.771
Sin información,Limache,658.0,684.0,0.585,0.788
Sin información,Los Andes,215.0,917.0,0.893,0.708
Sin información,Olmué,379.0,379.0,0.779,0.892
Sin información,Los Andes,153.0,871.0,0.936,0.724
Sin información,Los Andes,286.0,927.0,0.843,0.705
Sin información,Olmué,36.0,351.0,1.0,0.901
Sin información,Limache,278.0,278.0,0.848,0.926
Sin información,Los Andes,76.0,76.0,0.989,0.994
Sin información,Los Andes,394.0,1351.0,0.768,0.561
Sin información,Los Andes,123.0,214.0,0.957,0.948
Sin información,Calle Larga,245.0,846.0,0.871,0.733
Sin información,Los Andes,380.0,666.0,0.778,0.794
Sin información,Limache,9.0,9.0,1.0,1.0
Sin información,Limache,946.0,1365.0,0.385,0.556
Sin información,Quintero,710.0,1199.0,0.549,0.613
Sin información,Quintero,661.0,1149.0,0.583,0.629
Sin información,Hijuelas,234.0,234.0,0.879,0.941
Sin información,Quillota,435.0,435.0,0.739,0.872
Sin información,Quillota,226.0,226.0,0.885,0.943
Sin información,Calle Larga,137.0,137.0,0.946,0.974
Sin información,Calle Larga,264.0,902.0,0.858,0.714
Sin información,Los Andes,57.0,57.0,1.0,1.0
Sin información,Los Andes,143.0,143.0,0.942,0.972
Sin información,Los Andes,20.0,1964.0,1.0,0.353
Sin información,San Esteban,345.0,1293.0,0.802,0.581
Estero Puchuncavi - Campiche,Puchuncaví,537.0,537.0,0.669,0.838
Estero Puchuncavi - Campiche,Quintero,499.0,499.0,0.695,0.851
Sin información,Santa María,478.0,478.0,0.71,0.858
Sin información,San Esteban,249.0,249.0,0.869,0.936
Sin información,San Esteban,609.0,609.0,0.618,0.813
Sin información,San Esteban,259.0,259.0,0.862,0.932
Sin información,Nogales,153.0,153.0,0.935,0.968
Sin información,San Esteban,361.0,361.0,0.791,0.898
Sin información,San Felipe,1993.0,1993.0,0.0,0.343
Sin información,San Felipe,664.0,664.0,0.581,0.795
Sin información,San Felipe,452.0,452.0,0.727,0.867
Sin información,Catemu,205.0,205.0,0.899,0.951
Sin información,Catemu,234.0,234.0,0.879,0.941
Sin información,Catemu,146.0,194.0,0.94,0.954
Sin información,San Felipe,609.0,728.0,0.619,0.773
Sin información,San Felipe,509.0,545.0,0.688,0.835
Sin información,Nogales,300.0,300.0,0.833,0.918
Sin información,Zapallar,344.0,344.0,0.803,0.904
Sin información,Zapallar,2.0,1205.0,1.0,0.61
Sin información,Zapallar,254.0,1570.0,0.865,0.486
Sin información,Zapallar,295.0,295.0,0.837,0.92
Sin información,Zapallar,58.0,663.0,1.0,0.795
Sin información,Zapallar,1.0,818.0,1.0,0.742
Sin información,Zapallar,172.0,706.0,0.922,0.78
Sin información,San Esteban,232.0,705.0,0.88,0.781
Sin información,San Esteban,103.0,859.0,0.97,0.728
Sin información,San Esteban,303.0,592.0,0.831,0.819
Sin información,San Esteban,107.0,1234.0,0.967,0.601
Sin información,Zapallar,69.0,827.0,0.994,0.739
Sin información,Zapallar,235.0,1017.0,0.878,0.674
Sin información,San Esteban,281.0,669.0,0.846,0.793
Sin información,Putaendo,981.0,981.0,0.361,0.687
Sin información,San Esteban,257.0,333.0,0.863,0.907
Sin información,San Esteban,445.0,906.0,0.732,0.712
Sin información,Cabildo,164.0,164.0,0.928,0.965
Sin información,Putaendo,336.0,336.0,0.808,0.906
Sin información,Putaendo,264.0,513.0,0.858,0.846
Sin información,Putaendo,146.0,497.0,0.94,0.851
Sin información,Cabildo,571.0,571.0,0.645,0.826
Sin información,Petorca,108.0,108.0,0.967,0.984
Sin información,La Ligua,208.0,589.0,0.897,0.82
Sin información,Petorca,108.0,108.0,0.966,0.984
Sin información,Petorca,388.0,542.0,0.772,0.836
Sin información,Petorca,57.0,722.0,1.0,0.775
Sin información,Petorca,36.0,749.0,1.0,0.765
Sin información,Petorca,136.0,474.0,0.947,0.859
Sin información,Petorca,222.0,990.0,0.887,0.684
Sin información,Los Andes,251.0,1255.0,0.868,0.594
Sin información,Los Andes,361.0,748.0,0.791,0.766
Sin información,Los Andes,357.0,1596.0,0.794,0.478
Sin información,Los Andes,355.0,382.0,0.795,0.89
Sin información,Los Andes,335.0,446.0,0.809,0.869
Sin información,Los Andes,7.0,1234.0,1.0,0.601
Sin información,Los Andes,299.0,1510.0,0.834,0.507
Sin información,Los Andes,3.0,1084.0,1.0,0.652
Sin información,Los Andes,329.0,808.0,0.813,0.746
Sin información,Los Andes,369.0,634.0,0.785,0.805
Sin información,Los Andes,8.0,749.0,1.0,0.766
Sin información,Los Andes,216.0,216.0,0.892,0.947
Sin información,Los Andes,229.0,989.0,0.883,0.684
Sin información,Los Andes,8.0,663.0,1.0,0.795
Sin información,Los Andes,301.0,1359.0,0.833,0.558
Sin información,Los Andes,267.0,560.0,0.857,0.83
Sin información,Calle Larga,160.0,1981.0,0.931,0.346
Sin información,Calle Larga,755.0,1182.0,0.518,0.618
Sin información,Los Andes,678.0,678.0,0.571,0.79
Sin información,Los Andes,619.0,619.0,0.612,0.81
Sin información,Los Andes,408.0,408.0,0.758,0.882
Sin información,Los Andes,1059.0,1299.0,0.306,0.579
Sin información,Los Andes,154.0,1062.0,0.935,0.659
Sin información,Calle Larga,671.0,995.0,0.576,0.682
Sin información,Los Andes,325.0,1614.0,0.816,0.471
Sin información,Los Andes,598.0,598.0,0.626,0.817
Sin información,Los Andes,386.0,386.0,0.774,0.889
Sin información,Los Andes,655.0,655.0,0.587,0.798
Sin información,Los Andes,162.0,162.0,0.929,0.965
Sin información,Calle Larga,5.0,1907.0,1.0,0.372
Sin información,Calle Larga,553.0,1359.0,0.658,0.558
Sin información,Los Andes,18.0,18.0,1.0,1.0
Sin información,Los Andes,374.0,374.0,0.782,0.893
Sin información,Los Andes,501.0,764.0,0.693,0.761
Sin información,Los Andes,417.0,666.0,0.752,0.794
Sin información,Los Andes,327.0,327.0,0.814,0.909
