nom_humed,comuna,tipo,z_score,anomaly_pct,elev_m,slope_deg,flow_acc,twi,twi_norm,expo_met,expo_topo,expo_comp
Esteros Catapilco - La Canela,Puchuncaví,Humedal asociado a límite urbano,5.71,473.7,13.7,1.24,1,10.05,0.37,0.952,0.37,0.661
Esteros Catapilco - La Canela,Zapallar,Humedal asociado a límite urbano,5.71,473.7,13.8,1.04,4659,17.98,1.0,0.952,1.0,0.976
Esteros Catapilco - La Canela,Zapallar,Humedal asociado a límite urbano,5.71,473.7,12.3,1.1,1,10.17,0.384,0.952,0.384,0.668
Sector Quintay N°3,Casablanca,Humedal asociado a límite urbano,4.9,345.6,18.9,1.45,14,11.9,0.577,0.817,0.577,0.697
Estero Cartagena,Cartagena,Humedal asociado a límite urbano,3.8,266.8,18.1,1.91,1,9.62,0.322,0.633,0.322,0.478
Humedal sector Av. El Rincón,Villa Alemana,Humedal asociado a límite urbano,5.35,380.7,254.2,4.92,2,9.07,0.261,0.892,0.261,0.576
Humedales Sector Tunquen,Algarrobo,Humedal no asociado a límite urbano,4.42,311.9,17.0,0.83,1,10.45,0.415,0.737,0.415,0.576
Humedales Sector Tunquen,Algarrobo,Humedal no asociado a límite urbano,4.42,311.9,12.6,0.79,4,11.42,0.523,0.737,0.523,0.63
Embalse Casablanca 2,Casablanca,Humedal asociado a límite urbano,6.28,430.2,250.5,0.2,1,11.87,0.574,1.0,0.574,0.787
Embalses Quintay 3,Casablanca,Humedal asociado a límite urbano,4.9,345.6,31.7,2.8,292,14.22,0.836,0.817,0.836,0.826
Humedal Sector Esteros de la Laja,Concón,Humedal asociado a límite urbano,5.9,416.7,165.5,3.68,18,11.21,0.5,0.983,0.5,0.742
Embalse 1 San Felipe,San Felipe,Humedal asociado a límite urbano,3.35,278.2,607.2,0.53,1,10.9,0.466,0.558,0.466,0.512
Humedales Sector Los Maitenes,Puchuncaví,Humedal no asociado a límite urbano,5.19,415.5,18.1,1.03,1,10.24,0.391,0.865,0.391,0.628
Embalse 3 Catemu,Catemu,Humedal no asociado a límite urbano,4.27,361.0,417.7,0.55,78,14.53,0.871,0.712,0.871,0.791
Tranque Antiguo,Catemu,Humedal no asociado a límite urbano,4.27,361.0,421.0,0.78,2,10.91,0.467,0.712,0.467,0.589
Tranque Antiguo,Catemu,Humedal no asociado a límite urbano,4.27,361.0,429.5,0.22,1,11.76,0.561,0.712,0.561,0.636
Estero Puchuncavi - Campiche,Puchuncaví,Humedal asociado a límite urbano,5.19,415.5,7.4,0.28,1,11.55,0.538,0.865,0.538,0.702
Estero Puchuncavi - Campiche,Quintero,Humedal asociado a límite urbano,5.19,415.5,10.6,1.47,3,10.57,0.429,0.865,0.429,0.647
Sector Quintero N°9,Quintero,Humedal asociado a límite urbano,4.28,319.4,13.6,2.34,2,9.82,0.345,0.713,0.345,0.529
Estero Los Molles,La Ligua,Humedal asociado a límite urbano,5.83,522.9,11.0,2.13,3,10.2,0.387,0.972,0.387,0.679
Sin identificar,La Ligua,Humedal no asociado a límite urbano,6.49,567.4,73.3,1.29,1,10.01,0.366,1.0,0.366,0.683
Quebrada Talcalan,Papudo,Humedal no asociado a límite urbano,6.49,567.4,34.3,1.87,95,13.51,0.757,1.0,0.757,0.879
Sin identificar,Papudo,Humedal no asociado a límite urbano,5.95,496.8,10.1,0.19,44,15.01,0.925,0.992,0.925,0.958
Humedal Sector El Alto,Puchuncaví,Humedal asociado a límite urbano,5.19,415.5,23.3,0.9,69,13.92,0.803,0.865,0.803,0.834
Sector Quintero N°10,Quintero,Humedal asociado a límite urbano,4.28,319.4,9.3,0.35,3,12.01,0.59,0.713,0.59,0.652
Petras Quintero,Quintero,Humedal asociado a límite urbano,4.28,319.4,13.5,0.77,1,10.52,0.424,0.713,0.424,0.569
Humedal Sector Las Gaviotas,Quintero,Humedal asociado a límite urbano,4.28,319.4,17.5,2.03,10,11.26,0.506,0.713,0.506,0.61
Des.Estero Mantagua,Quintero,Humedal no asociado a límite urbano,4.28,319.4,8.9,0.21,3234,19.21,1.0,0.713,1.0,0.857
Des.Estero Mantagua,Quintero,Humedal asociado a límite urbano,4.28,319.4,11.8,0.85,1,10.43,0.413,0.713,0.413,0.563
Des.Estero Mantagua,Quintero,Humedal asociado a límite urbano,4.28,319.4,9.3,1.0,5,11.37,0.517,0.713,0.517,0.615
Des.Estero Mantagua,Quintero,Humedal asociado a límite urbano,4.28,319.4,11.6,0.6,3181,18.15,1.0,0.713,1.0,0.857
Des.Estero Mantagua,Quintero,Humedal no asociado a límite urbano,4.28,319.4,12.5,0.72,1,10.59,0.431,0.713,0.431,0.572
Des.Estero Mantagua,Quintero,Humedal asociado a límite urbano,4.28,319.4,13.4,0.39,3171,18.57,1.0,0.713,1.0,0.857
Des.Estero Mantagua,Quintero,Humedal asociado a límite urbano,4.28,319.4,22.6,0.77,1,10.53,0.424,0.713,0.424,0.569
Des.Estero Mantagua,Quintero,Humedal asociado a límite urbano,4.28,319.4,15.2,1.69,5,10.84,0.458,0.713,0.458,0.586
Estero Mantagua,Quintero,Humedal asociado a límite urbano,4.28,319.4,13.0,1.81,2,10.08,0.374,0.713,0.374,0.544
Estero Reñaca,Viña del Mar,Humedal asociado a límite urbano,4.91,342.5,27.4,5.02,523,14.21,0.836,0.818,0.836,0.827
Estero Limache,Concón,Humedal asociado a límite urbano,5.59,411.6,12.1,0.24,45,14.81,0.902,0.932,0.902,0.917
Estero Limache,Concón,Humedal asociado a límite urbano,5.59,411.6,14.6,0.5,1,10.95,0.471,0.932,0.471,0.701
Estero Limache,Limache,Humedal asociado a límite urbano,5.59,411.6,17.2,0.94,2,10.73,0.447,0.932,0.447,0.689
Estero Limache,Concón,Humedal asociado a límite urbano,5.59,411.6,14.8,0.46,38,14.01,0.813,0.932,0.813,0.872
Estero San Juan,San Antonio,Humedal asociado a límite urbano,3.3,227.5,79.7,2.11,853,15.57,0.987,0.55,0.987,0.768
Estero El Jote,Casablanca,Humedal asociado a límite urbano,4.9,345.6,76.6,5.87,192,13.06,0.706,0.817,0.706,0.761
Humedal Estero Guaquen,La Ligua,Humedal no asociado a límite urbano,6.11,543.2,89.9,0.87,1346,16.92,1.0,1.0,1.0,1.0
Sin identificar,La Ligua,Humedal no asociado a límite urbano,6.49,567.4,96.0,1.98,93,13.43,0.748,1.0,0.748,0.874
Des. Estero Curaumilla,Valparaíso,Humedal asociado a límite urbano,3.77,262.4,78.9,7.46,2,8.65,0.215,0.628,0.215,0.422
Estero El Membrillo,Casablanca,Humedal asociado a límite urbano,3.9,272.2,246.8,1.47,453,15.3,0.957,0.65,0.957,0.804
Estero San Jeronimo,Casablanca,Humedal asociado a límite urbano,3.9,272.2,221.7,3.0,1345,15.68,0.999,0.65,0.999,0.824
Estero San Jeronimo,Casablanca,Humedal asociado a límite urbano,3.9,272.2,154.7,6.34,1576,15.08,0.932,0.65,0.932,0.791
Estero San Jeronimo,Casablanca,Humedal asociado a límite urbano,3.9,272.2,154.7,6.34,1576,15.08,0.932,0.65,0.932,0.791
Estero San Jeronimo,Casablanca,Humedal asociado a límite urbano,3.9,272.2,158.1,4.93,1,8.67,0.216,0.65,0.216,0.433
Estero San Jeronimo,Casablanca,Humedal asociado a límite urbano,3.9,272.2,168.0,8.34,36,11.05,0.482,0.65,0.482,0.566
Estero San Jeronimo,Casablanca,Humedal asociado a límite urbano,3.9,272.2,180.8,4.28,1492,15.42,0.97,0.65,0.97,0.81
Estero San Jeronimo,Casablanca,Humedal asociado a límite urbano,3.9,272.2,177.2,5.11,1484,15.24,0.95,0.65,0.95,0.8
Estero San Jeronimo,Casablanca,Humedal asociado a límite urbano,3.9,272.2,186.4,3.05,1469,15.75,1.0,0.65,1.0,0.825
Estero San Jeronimo,Casablanca,Humedal asociado a límite urbano,3.9,272.2,185.9,6.82,1432,14.91,0.914,0.65,0.914,0.782
Estero San Jeronimo,Algarrobo,Humedal asociado a límite urbano,3.9,272.2,154.7,6.34,1576,15.08,0.932,0.65,0.932,0.791
Estero San Jeronimo,Algarrobo,Humedal asociado a límite urbano,3.9,272.2,148.7,4.07,1567,15.52,0.981,0.65,0.981,0.816
Estero San Jeronimo,Algarrobo,Humedal asociado a límite urbano,3.9,272.2,168.0,8.34,36,11.05,0.482,0.65,0.482,0.566
Estero San Jeronimo,Algarrobo,Humedal asociado a límite urbano,3.9,272.2,180.8,4.28,1492,15.42,0.97,0.65,0.97,0.81
Estero San Jeronimo,Algarrobo,Humedal asociado a límite urbano,3.9,272.2,185.9,6.82,1432,14.91,0.914,0.65,0.914,0.782
Estero Cartagena,Cartagena,Humedal asociado a límite urbano,3.8,266.8,135.5,2.16,10,11.2,0.499,0.633,0.499,0.566
Estero La Cigüeña,Cartagena,Humedal asociado a límite urbano,3.8,266.8,16.2,1.13,265,15.03,0.926,0.633,0.926,0.78
Estero La Cigüeña,El Tabo,Humedal asociado a límite urbano,3.8,266.8,31.4,2.51,190,13.9,0.8,0.633,0.8,0.717
Estero La Cigüeña,El Tabo,Humedal asociado a límite urbano,3.8,266.8,16.0,0.32,304,16.44,1.0,0.633,1.0,0.817
Quebrada Los Hualpes,Casablanca,Humedal asociado a límite urbano,4.8,348.9,327.2,1.85,7,11.03,0.48,0.8,0.48,0.64
Estero Las Tablas,Valparaíso,Humedal asociado a límite urbano,6.43,446.0,365.4,3.15,4,10.03,0.368,1.0,0.368,0.684
Estero del Sauce,Valparaíso,Humedal asociado a límite urbano,5.18,360.1,29.2,2.65,1251,15.73,1.0,0.863,1.0,0.932
Estero Mantagua,Quintero,Humedal asociado a límite urbano,4.28,319.4,15.2,1.69,5,10.84,0.458,0.713,0.458,0.586
Estero Los Molles,La Ligua,Humedal asociado a límite urbano,5.83,522.9,20.4,0.91,11,12.15,0.605,0.972,0.605,0.788
Estero El Pangal,La Ligua,Humedal asociado a límite urbano,6.11,543.2,58.5,4.51,18,11.01,0.477,1.0,0.477,0.738
Humedal Pichicuy,La Ligua,Humedal asociado a límite urbano,6.11,543.2,17.2,3.41,2054,15.97,1.0,1.0,1.0,1.0
Rio Petorca- Rio La Ligua,La Ligua,Humedal asociado a límite urbano,5.95,496.8,10.4,0.49,31026,20.62,1.0,0.992,1.0,0.996
Rio Petorca- Rio La Ligua,Papudo,Humedal asociado a límite urbano,5.95,496.8,11.1,0.94,1,10.33,0.401,0.992,0.401,0.696
Rio Petorca- Rio La Ligua,Papudo,Humedal asociado a límite urbano,5.95,496.8,9.7,0.12,31865,22.08,1.0,0.992,1.0,0.996
Rio Petorca- Rio La Ligua,Papudo,Humedal asociado a límite urbano,5.95,496.8,10.9,2.0,7,10.96,0.472,0.992,0.472,0.732
Humedal Pichicuy,La Ligua,Humedal asociado a límite urbano,6.11,543.2,10.6,0.48,2454,18.1,1.0,1.0,1.0,1.0
Sist. Rio Maipo y Estero El Sauce,San Antonio,Humedal asociado a límite urbano,3.3,227.5,7.4,1.26,10,11.74,0.559,0.55,0.559,0.554
Sist. Rio Maipo y Estero El Sauce,San Antonio,Humedal asociado a límite urbano,3.3,227.5,13.7,0.24,4,12.59,0.655,0.55,0.655,0.602
Sist. Rio Maipo y Estero El Sauce,Santo Domingo,Humedal asociado a límite urbano,3.3,227.5,15.9,1.54,3,10.52,0.423,0.55,0.423,0.486
Sist. Rio Maipo y Estero El Sauce,Santo Domingo,Humedal asociado a límite urbano,3.3,227.5,14.8,0.19,6,13.15,0.717,0.55,0.717,0.634
Des. Rio Maipo,Santo Domingo,Humedal asociado a límite urbano,3.3,227.5,9.3,0.34,3429,18.8,1.0,0.55,1.0,0.775
Quebrada Cruz de Piedra,Papudo,Humedal asociado a límite urbano,5.95,496.8,10.2,0.6,41,13.83,0.792,0.992,0.792,0.892
Des.Estero Mantagua,Quintero,Humedal asociado a límite urbano,4.28,319.4,9.3,1.0,5,11.37,0.517,0.713,0.517,0.615
Laguna de Llolleo,San Antonio,Humedal asociado a límite urbano,3.3,227.5,16.3,0.31,1,11.44,0.525,0.55,0.525,0.538
Laguna de Llolleo,San Antonio,Humedal asociado a límite urbano,3.3,227.5,11.0,0.54,2,11.29,0.508,0.55,0.508,0.529
Des.Estero Mantagua,Quintero,Humedal asociado a límite urbano,4.28,319.4,13.7,0.5,1,10.96,0.472,0.713,0.472,0.593
Playa El Abanico,Puchuncaví,Humedal asociado a límite urbano,5.71,473.7,,3.01,6,,,0.952,,
Estero San Juan,San Antonio,Humedal asociado a límite urbano,3.3,227.5,16.3,2.44,1807,16.18,1.0,0.55,1.0,0.775
H. Estuario Los Molles,La Ligua,Humedal asociado a límite urbano,5.83,522.9,9.5,0.91,1143,16.7,1.0,0.972,1.0,0.986
H. Estuario Los Molles,La Ligua,Humedal asociado a límite urbano,5.83,522.9,9.8,1.13,1136,16.48,1.0,0.972,1.0,0.986
Sector Quintay N°1,Casablanca,Humedal asociado a límite urbano,4.9,345.6,83.1,0.57,1,10.82,0.457,0.817,0.457,0.637
Sector Playa Cachagua,Zapallar,Humedal asociado a límite urbano,5.71,473.7,8.8,0.35,286,16.28,1.0,0.952,1.0,0.976
Humedal Sector Las Gaviotas,Quintero,Humedal asociado a límite urbano,4.28,319.4,12.5,0.53,102,14.84,0.906,0.713,0.906,0.81
Humedal Sector Las Gaviotas,Quintero,Humedal asociado a límite urbano,4.28,319.4,13.4,0.4,3,11.88,0.575,0.713,0.575,0.644
Sin información,Casablanca,Humedal no asociado a límite urbano,3.9,272.2,276.7,1.44,257,14.76,0.897,0.65,0.897,0.774
Sin información,Casablanca,Humedal no asociado a límite urbano,5.13,366.9,295.0,0.37,802,17.26,1.0,0.855,1.0,0.928
Sin información,Casablanca,Humedal no asociado a límite urbano,5.13,366.9,278.0,0.0,1,12.57,0.651,0.855,0.651,0.753
Sin información,Casablanca,Humedal no asociado a límite urbano,5.01,345.9,331.6,0.91,151,14.68,0.888,0.835,0.888,0.861
Sin información,Quilpué,Humedal no asociado a límite urbano,5.07,360.9,246.2,5.57,2,8.95,0.247,0.845,0.247,0.546
Sin información,Quilpué,Humedal no asociado a límite urbano,6.78,466.8,318.4,3.03,5,10.25,0.393,1.0,0.393,0.696
Sin información,Valparaíso,Humedal no asociado a límite urbano,5.18,360.1,286.6,8.4,44,11.24,0.503,0.863,0.503,0.683
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,166.8,3.26,2,9.49,0.308,0.978,0.308,0.643
Sin información,Quilpué,Humedal no asociado a límite urbano,5.35,380.7,223.5,2.54,15,11.41,0.522,0.892,0.522,0.707
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,198.1,3.06,3,9.84,0.347,0.978,0.347,0.663
Sin información,Villa Alemana,Humedal no asociado a límite urbano,5.35,380.7,309.8,5.78,3,9.2,0.275,0.892,0.275,0.583
Sin información,Villa Alemana,Humedal no asociado a límite urbano,5.35,380.7,260.9,1.57,176,14.29,0.844,0.892,0.844,0.868
Sin información,Villa Alemana,Humedal no asociado a límite urbano,5.35,380.7,281.1,4.82,7,10.07,0.373,0.892,0.373,0.632
Embalse Poza Azul,Quilpué,Humedal asociado a límite urbano,5.87,409.9,156.8,0.69,2437,17.74,1.0,0.978,1.0,0.989
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,193.2,4.44,310,13.82,0.791,0.978,0.791,0.885
Sin información,Villa Alemana,Humedal no asociado a límite urbano,4.96,359.8,146.6,2.32,16,11.56,0.539,0.827,0.539,0.683
Sin información,Limache,Humedal no asociado a límite urbano,4.96,359.8,107.1,4.27,1,8.81,0.232,0.827,0.232,0.529
Sin información,Limache,Humedal no asociado a límite urbano,5.15,389.3,98.5,3.19,3,9.8,0.342,0.858,0.342,0.6
Sin información,Limache,Humedal no asociado a límite urbano,5.9,416.7,80.8,4.63,3,9.42,0.3,0.983,0.3,0.642
Sin información,Concón,Humedal no asociado a límite urbano,5.59,411.6,99.8,6.71,2,8.76,0.227,0.932,0.227,0.579
Sin información,Concón,Humedal no asociado a límite urbano,5.59,411.6,73.7,3.7,11,10.75,0.448,0.932,0.448,0.69
Sin información,Concón,Humedal no asociado a límite urbano,5.59,411.6,90.1,5.94,5,9.58,0.318,0.932,0.318,0.625
Sin información,Nogales,Humedal no asociado a límite urbano,4.38,362.9,245.1,1.58,28,12.48,0.642,0.73,0.642,0.686
Sin información,Nogales,Humedal no asociado a límite urbano,5.45,446.6,650.1,0.28,7,12.91,0.69,0.908,0.69,0.799
Sin información,Zapallar,Humedal no asociado a límite urbano,5.45,446.6,133.3,4.65,54,12.04,0.593,0.908,0.593,0.751
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.63,228.2,89.5,15.03,2,7.94,0.134,0.605,0.134,0.37
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.63,228.2,75.7,2.32,39,12.42,0.635,0.605,0.635,0.62
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,42.2,1.46,28,12.56,0.651,0.593,0.651,0.622
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,45.2,3.19,2,9.51,0.31,0.593,0.31,0.452
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,57.8,3.16,17,11.31,0.511,0.593,0.511,0.552
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,46.6,0.75,25,13.11,0.713,0.593,0.713,0.653
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,54.4,2.36,5,10.5,0.421,0.593,0.421,0.507
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,44.1,2.76,31,12.02,0.59,0.593,0.59,0.592
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,40.2,1.33,49,13.19,0.722,0.593,0.722,0.658
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,54.4,2.36,5,10.5,0.421,0.593,0.421,0.507
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,29.7,2.93,32,11.99,0.587,0.593,0.587,0.59
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,45.4,3.49,96,12.89,0.688,0.593,0.688,0.641
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,85.2,2.0,2,9.98,0.362,0.593,0.362,0.478
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,33.6,0.96,29,13.01,0.702,0.593,0.702,0.648
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,9.1,0.98,147,14.58,0.877,0.593,0.877,0.735
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,34.1,2.65,26,11.89,0.576,0.593,0.576,0.585
Sin información,San Antonio,Humedal no asociado a límite urbano,3.1,217.3,49.5,2.7,29,11.98,0.586,0.517,0.586,0.551
Sin información,San Antonio,Humedal no asociado a límite urbano,3.1,217.3,62.7,5.05,5,9.74,0.336,0.517,0.336,0.426
Sin información,San Antonio,Humedal no asociado a límite urbano,3.51,235.3,148.0,4.49,2,9.16,0.272,0.585,0.272,0.428
Sin información,San Antonio,Humedal no asociado a límite urbano,3.51,235.3,148.0,4.49,2,9.16,0.272,0.585,0.272,0.428
Sin información,San Antonio,Humedal no asociado a límite urbano,3.1,217.3,138.3,1.41,11,11.71,0.556,0.517,0.556,0.536
Sin información,San Antonio,Humedal no asociado a límite urbano,3.1,217.3,147.9,3.03,2,9.56,0.316,0.517,0.316,0.416
Sin información,San Antonio,Humedal no asociado a límite urbano,3.1,217.3,128.2,3.7,1,8.95,0.248,0.517,0.248,0.382
Sin información,San Antonio,Humedal no asociado a límite urbano,3.1,217.3,201.4,8.8,1,8.08,0.151,0.517,0.151,0.334
Sin información,San Antonio,Humedal no asociado a límite urbano,3.1,217.3,109.6,6.66,2,8.77,0.227,0.517,0.227,0.372
Sin información,San Antonio,Humedal no asociado a límite urbano,3.1,217.3,201.4,8.8,1,8.08,0.151,0.517,0.151,0.334
Sin información,San Antonio,Humedal no asociado a límite urbano,3.1,217.3,259.3,8.53,1,8.11,0.154,0.517,0.154,0.335
Sin información,San Antonio,Humedal no asociado a límite urbano,3.51,235.3,80.4,5.28,46,11.75,0.561,0.585,0.561,0.573
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.51,235.3,238.2,3.86,1,8.91,0.243,0.585,0.243,0.414
Sin información,San Antonio,Humedal no asociado a límite urbano,3.1,217.3,307.9,10.35,1,7.91,0.132,0.517,0.132,0.324
Sin información,San Antonio,Humedal no asociado a límite urbano,3.1,217.3,337.7,5.27,1,8.6,0.208,0.517,0.208,0.362
Sin información,San Antonio,Humedal no asociado a límite urbano,3.1,217.3,79.7,12.6,2,8.12,0.155,0.517,0.155,0.336
Sin información,San Antonio,Humedal no asociado a límite urbano,3.1,217.3,79.9,16.99,1,7.4,0.075,0.517,0.075,0.296
Sin información,San Antonio,Humedal no asociado a límite urbano,3.51,235.3,190.7,1.18,1,10.1,0.376,0.585,0.376,0.48
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.51,230.7,33.1,0.73,376,15.81,1.0,0.585,1.0,0.792
Sin información,San Antonio,Humedal no asociado a límite urbano,3.51,235.3,201.8,1.61,13,11.73,0.558,0.585,0.558,0.572
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.51,230.7,85.4,1.69,7,11.12,0.49,0.585,0.49,0.538
Sin información,San Antonio,Humedal no asociado a límite urbano,3.3,227.5,152.3,1.41,16,12.06,0.595,0.55,0.595,0.572
Sin información,San Antonio,Humedal no asociado a límite urbano,3.47,250.1,206.2,0.64,63,14.17,0.831,0.578,0.831,0.705
Sin información,San Antonio,Humedal no asociado a límite urbano,3.47,250.1,194.2,0.98,97,14.17,0.831,0.578,0.831,0.705
Sin información,San Antonio,Humedal no asociado a límite urbano,3.47,250.1,224.1,1.67,218,14.44,0.861,0.578,0.861,0.72
Sin información,San Antonio,Humedal no asociado a límite urbano,3.3,227.5,107.8,2.75,3,9.95,0.359,0.55,0.359,0.454
Sin información,San Antonio,Humedal no asociado a límite urbano,3.3,227.5,89.5,6.26,1,8.42,0.189,0.55,0.189,0.369
Humedal Sector Qda. Los Alamos,San Antonio,Humedal asociado a límite urbano,3.3,227.5,172.6,3.52,57,12.37,0.63,0.55,0.63,0.59
Humedal Sector Industrial,San Antonio,Humedal asociado a límite urbano,3.8,266.8,185.7,0.65,41,13.74,0.783,0.633,0.783,0.708
Sin información,El Tabo,Humedal no asociado a límite urbano,3.8,266.8,194.0,1.09,1,10.17,0.384,0.633,0.384,0.509
Sin información,Cartagena,Humedal no asociado a límite urbano,4.5,323.1,361.5,5.44,37,11.51,0.534,0.75,0.534,0.642
Sin información,Cartagena,Humedal no asociado a límite urbano,4.5,323.1,335.0,8.25,2,8.55,0.203,0.75,0.203,0.477
Sin información,Cartagena,Humedal no asociado a límite urbano,4.5,323.1,325.1,4.48,68,12.3,0.622,0.75,0.622,0.686
Sin información,Cartagena,Humedal no asociado a límite urbano,4.5,323.1,304.8,4.07,3,9.55,0.315,0.75,0.315,0.532
Sin información,Cartagena,Humedal no asociado a límite urbano,4.5,323.1,304.8,4.07,3,9.55,0.315,0.75,0.315,0.532
Sin información,Cartagena,Humedal no asociado a límite urbano,4.5,323.1,308.7,2.42,69,12.94,0.693,0.75,0.693,0.722
Sin información,El Tabo,Humedal asociado a límite urbano,3.29,230.4,207.8,1.1,2,10.57,0.429,0.548,0.429,0.489
Sin información,El Tabo,Humedal asociado a límite urbano,3.29,230.4,207.8,1.1,2,10.57,0.429,0.548,0.429,0.489
Sin información,Casablanca,Humedal no asociado a límite urbano,3.29,230.4,262.1,2.08,98,13.43,0.748,0.548,0.748,0.648
Sin información,Casablanca,Humedal no asociado a límite urbano,3.29,230.4,268.9,2.94,3,9.88,0.351,0.548,0.351,0.45
Sin información,Casablanca,Humedal no asociado a límite urbano,3.29,230.4,274.2,3.94,1,8.89,0.241,0.548,0.241,0.395
Sin información,Casablanca,Humedal no asociado a límite urbano,3.9,272.2,248.7,0.35,1,11.32,0.512,0.65,0.512,0.581
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,229.0,1.87,53,12.93,0.692,0.867,0.692,0.779
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,216.5,0.63,9,12.33,0.625,0.867,0.625,0.746
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,216.9,1.56,921,15.95,1.0,0.867,1.0,0.933
Sin información,Algarrobo,Humedal no asociado a límite urbano,3.9,272.2,243.9,1.3,1,10.0,0.365,0.65,0.365,0.508
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,217.1,3.08,887,15.23,0.949,0.867,0.949,0.908
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,219.5,3.11,3,9.82,0.345,0.867,0.345,0.606
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,221.1,2.86,5,10.31,0.4,0.867,0.4,0.633
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,252.1,0.6,95,14.65,0.884,0.867,0.884,0.875
Sin información,Algarrobo,Humedal no asociado a límite urbano,3.9,272.2,228.4,1.22,1,10.07,0.373,0.65,0.373,0.512
Sin información,Algarrobo,Humedal no asociado a límite urbano,3.9,272.2,232.1,0.31,1,11.43,0.524,0.65,0.524,0.587
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,229.9,1.38,86,13.71,0.779,0.867,0.779,0.823
Sin información,Casablanca,Humedal no asociado a límite urbano,3.9,272.2,258.0,0.95,60,13.73,0.781,0.65,0.781,0.716
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,246.3,2.06,41,12.58,0.653,0.867,0.653,0.76
Sin información,Casablanca,Humedal no asociado a límite urbano,3.9,272.2,246.3,3.45,3,9.72,0.333,0.65,0.333,0.492
Sin información,Casablanca,Humedal no asociado a límite urbano,4.8,348.9,316.1,2.13,9,11.12,0.49,0.8,0.49,0.645
Sin información,Casablanca,Humedal no asociado a límite urbano,4.8,348.9,327.3,0.25,1,11.63,0.547,0.8,0.547,0.674
Sector Agrosuper,Casablanca,Humedal asociado a límite urbano,4.8,348.9,304.1,0.55,1,10.85,0.46,0.8,0.46,0.63
Sin información,Algarrobo,Humedal no asociado a límite urbano,3.9,272.2,234.5,2.25,1,9.45,0.304,0.65,0.304,0.477
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,305.7,1.42,65,13.41,0.746,0.867,0.746,0.806
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,317.2,3.07,3,9.83,0.346,0.867,0.346,0.606
Sin información,Algarrobo,Humedal no asociado a límite urbano,3.9,272.2,223.8,1.51,3,10.54,0.426,0.65,0.426,0.538
Sin información,Algarrobo,Humedal no asociado a límite urbano,3.9,272.2,223.8,1.51,3,10.54,0.426,0.65,0.426,0.538
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,329.0,4.15,4,9.75,0.338,0.867,0.338,0.602
Sin información,Algarrobo,Humedal no asociado a límite urbano,3.9,272.2,230.5,1.89,1,9.62,0.323,0.65,0.323,0.487
Sin información,Casablanca,Humedal no asociado a límite urbano,4.8,348.9,296.7,0.61,1,10.75,0.449,0.8,0.449,0.624
Sin información,Casablanca,Humedal no asociado a límite urbano,4.8,348.9,289.3,0.49,78,14.65,0.884,0.8,0.884,0.842
Sin información,Casablanca,Humedal no asociado a límite urbano,3.9,272.2,303.7,2.5,4,10.26,0.394,0.65,0.394,0.522
Sin información,Casablanca,Humedal no asociado a límite urbano,3.9,272.2,250.1,2.96,374,14.41,0.858,0.65,0.858,0.754
Sin información,Casablanca,Humedal no asociado a límite urbano,3.9,272.2,246.6,2.66,451,14.71,0.89,0.65,0.89,0.77
