nom_humed,comuna,dist_drenaje_m,prox_drenaje
Sin información,Santa María,591.0,0.435
Sin información,Nogales,30.0,1.0
Sin información,San Esteban,90.0,0.968
Sin información,San Esteban,270.0,0.777
Sin información,San Esteban,192.0,0.859
Sin información,San Esteban,210.0,0.84
Sin información,San Esteban,569.0,0.458
Sin información,San Esteban,162.0,0.892
Sin información,San Esteban,247.0,0.801
Sin información,San Esteban,67.0,0.992
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,162.0,0.892
Sin información,San Esteban,134.0,0.921
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,342.0,0.7
Sin información,Santa María,272.0,0.775
Sin información,Puchuncaví,390.0,0.649
Sin información,Puchuncaví,175.0,0.878
Sin información,San Esteban,42.0,1.0
Sin información,Catemu,255.0,0.793
Sin información,San Esteban,42.0,1.0
Sin información,Puchuncaví,342.0,0.7
Sin información,Santa María,342.0,0.7
Sin información,San Esteban,450.0,0.585
Sin información,Nogales,420.0,0.617
Sin información,San Esteban,277.0,0.77
Sin información,San Esteban,85.0,0.974
Sin información,San Esteban,616.0,0.409
Sin información,Santa María,331.0,0.711
Sin información,Puchuncaví,67.0,0.992
Sin información,Nogales,42.0,1.0
Sin información,San Esteban,108.0,0.949
Sin información,San Felipe,0.0,1.0
Sin información,San Esteban,192.0,0.859
Sin información,Santa María,0.0,1.0
Sin información,San Esteban,85.0,0.974
Sin información,San Esteban,85.0,0.974
Sin información,San Esteban,306.0,0.738
Sin información,San Esteban,180.0,0.872
Sin información,Nogales,170.0,0.883
Sin información,San Felipe,67.0,0.992
Sin información,Santa María,120.0,0.936
Sin información,Nogales,247.0,0.801
Sin información,Nogales,421.0,0.616
Sin información,Nogales,182.0,0.87
Sin información,Nogales,95.0,0.963
Sin información,Santa María,201.0,0.85
Sin información,San Felipe,234.0,0.815
Sin información,Catemu,240.0,0.809
Sin información,Catemu,134.0,0.921
Sin información,Nogales,127.0,0.928
Sin información,Catemu,0.0,1.0
Sin información,Catemu,270.0,0.777
Sin información,Zapallar,192.0,0.859
Sin información,Zapallar,175.0,0.878
Sin información,Zapallar,175.0,0.878
Sin información,Zapallar,30.0,1.0
Esteros Catapilco - La Canela,Zapallar,319.0,0.725
Sin información,Zapallar,150.0,0.904
Sin información,Putaendo,67.0,0.992
Sin información,Putaendo,228.0,0.821
Sin información,Putaendo,190.0,0.862
Sin información,Putaendo,212.0,0.838
Sin información,Putaendo,42.0,1.0
Sin información,Putaendo,216.0,0.834
Sin información,Putaendo,240.0,0.809
Sin información,Putaendo,170.0,0.883
Sin información,La Ligua,60.0,1.0
Sin información,Papudo,60.0,1.0
Sin información,Cabildo,285.0,0.761
Sin información,Cabildo,256.0,0.791
Sin información,Cabildo,594.0,0.432
Sin información,Papudo,127.0,0.928
Sin información,Cabildo,175.0,0.878
Sin información,Cabildo,408.0,0.63
Sin información,Cabildo,270.0,0.777
Sin información,Cabildo,309.0,0.735
Sin información,Cabildo,30.0,1.0
Sin información,Cabildo,258.0,0.789
Sin información,Cabildo,175.0,0.878
Sin información,La Ligua,150.0,0.904
Sin información,Cabildo,30.0,1.0
Sin información,Cabildo,516.0,0.515
Sin información,Cabildo,150.0,0.904
Sin información,Cabildo,390.0,0.649
Sin información,Cabildo,277.0,0.77
Sin información,Cabildo,85.0,0.974
Sin información,Cabildo,272.0,0.775
Sin información,Cabildo,30.0,1.0
Sin información,La Ligua,212.0,0.838
Sin información,Cabildo,182.0,0.87
Sin información,Cabildo,134.0,0.921
Sin información,Cabildo,212.0,0.838
Sin información,Cabildo,85.0,0.974
Sin información,Cabildo,362.0,0.678
Sin información,La Ligua,424.0,0.612
Sin información,Cabildo,300.0,0.745
Sin información,Petorca,60.0,1.0
Sin información,La Ligua,0.0,1.0
Sin información,La Ligua,30.0,1.0
Sin información,Cabildo,162.0,0.892
Sin información,Cabildo,0.0,1.0
Sin información,Cabildo,360.0,0.681
Sin información,Cabildo,192.0,0.859
Sin información,La Ligua,67.0,0.992
Sin información,La Ligua,60.0,1.0
Sin información,Petorca,134.0,0.921
Sin información,Petorca,153.0,0.901
Sin información,Petorca,339.0,0.703
Sin información,La Ligua,60.0,1.0
Sin información,Petorca,268.0,0.778
Sin información,La Ligua,216.0,0.834
Sin información,La Ligua,0.0,1.0
Sin información,La Ligua,60.0,1.0
Sin información,La Ligua,216.0,0.834
Sin información,La Ligua,480.0,0.553
Sin información,Petorca,60.0,1.0
Sin información,Petorca,309.0,0.735
Sin información,Petorca,120.0,0.936
Sin información,Petorca,30.0,1.0
Sin información,Petorca,573.0,0.454
Sin información,Petorca,170.0,0.883
Sin información,Petorca,30.0,1.0
Sin información,Petorca,95.0,0.963
Sin información,Petorca,360.0,0.681
Sin información,Petorca,390.0,0.649
Sin información,Petorca,382.0,0.658
Sin información,Santo Domingo,201.0,0.85
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,0.0,1.0
Sin información,Los Andes,85.0,0.974
Sin información,Los Andes,42.0,1.0
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,67.0,0.992
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,680.0,0.34
Sin información,Los Andes,67.0,0.992
Sin información,Santa María,108.0,0.949
Sin información,San Esteban,485.0,0.548
Sin información,Cabildo,0.0,1.0
Sin información,Santo Domingo,721.0,0.297
Sin información,Santo Domingo,872.0,0.136
Sin información,Santo Domingo,924.0,0.081
Sin información,Santo Domingo,1113.0,0.0
Sin información,Santo Domingo,684.0,0.336
Sin información,Santo Domingo,30.0,1.0
Laguna Sector Industrial,Cartagena,42.0,1.0
Sin información,El Tabo,30.0,1.0
Sin información,Casablanca,256.0,0.791
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,95.0,0.963
Sin información,Casablanca,95.0,0.963
Sin información,Quilpué,0.0,1.0
Sin información,Valparaíso,30.0,1.0
Sin información,Quilpué,30.0,1.0
Sin información,Quilpué,127.0,0.928
Sin información,Quilpué,0.0,1.0
Sin información,Los Andes,616.0,0.409
Sin información,Los Andes,664.0,0.357
Sin información,Los Andes,446.0,0.589
Sin información,Los Andes,218.0,0.831
Sin información,Los Andes,342.0,0.7
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,67.0,0.992
Sin información,Los Andes,85.0,0.974
Sin información,Los Andes,60.0,1.0
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,124.0,0.932
Sin información,Los Andes,395.0,0.644
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,95.0,0.963
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,285.0,0.761
Sin información,Los Andes,42.0,1.0
Sin información,Los Andes,42.0,1.0
Sin información,Los Andes,300.0,0.745
Sin información,Los Andes,190.0,0.862
Sin información,Los Andes,108.0,0.949
Sin información,Los Andes,67.0,0.992
Sin información,Los Andes,832.0,0.179
Sin información,Los Andes,631.0,0.393
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,192.0,0.859
Sin información,Los Andes,212.0,0.838
Sin información,Los Andes,743.0,0.274
Sin información,Los Andes,60.0,1.0
Sin información,Los Andes,769.0,0.246
Sin información,Los Andes,616.0,0.409
Sin información,Limache,201.0,0.85
Sin información,Los Andes,666.0,0.355
Sin información,Los Andes,832.0,0.179
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,760.0,0.256
Sin información,Los Andes,90.0,0.968
Sin información,Los Andes,108.0,0.949
Sin información,Los Andes,277.0,0.77
Sin información,Los Andes,1358.0,0.0
Sin información,Los Andes,466.0,0.568
Sin información,Los Andes,95.0,0.963
Sin información,Los Andes,256.0,0.791
Sin información,Los Andes,85.0,0.974
Sin información,Los Andes,497.0,0.536
Sin información,Limache,30.0,1.0
Sin información,Limache,60.0,1.0
Sin información,Los Andes,324.0,0.719
Sin información,Olmué,402.0,0.636
Sin información,Los Andes,127.0,0.928
Sin información,Los Andes,258.0,0.789
Sin información,Olmué,240.0,0.809
Sin información,Limache,258.0,0.789
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,437.0,0.599
Sin información,Los Andes,95.0,0.963
Sin información,Calle Larga,703.0,0.316
Sin información,Los Andes,382.0,0.658
Sin información,Limache,30.0,1.0
Sin información,Limache,351.0,0.69
Sin información,Quintero,771.0,0.243
Sin información,Quintero,735.0,0.281
Sin información,Hijuelas,60.0,1.0
Sin información,Quillota,90.0,0.968
Sin información,Quillota,150.0,0.904
Sin información,Calle Larga,42.0,1.0
Sin información,Calle Larga,633.0,0.391
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,150.0,0.904
Sin información,Los Andes,30.0,1.0
Sin información,San Esteban,335.0,0.707
Estero Puchuncavi - Campiche,Puchuncaví,418.0,0.619
Estero Puchuncavi - Campiche,Quintero,430.0,0.607
Sin información,Santa María,301.0,0.743
Sin información,San Esteban,85.0,0.974
Sin información,San Esteban,190.0,0.862
Sin información,San Esteban,150.0,0.904
Sin información,Nogales,162.0,0.892
Sin información,San Esteban,30.0,1.0
Sin información,San Felipe,30.0,1.0
Sin información,San Felipe,108.0,0.949
Sin información,San Felipe,170.0,0.883
Sin información,Catemu,210.0,0.84
Sin información,Catemu,150.0,0.904
Sin información,Catemu,190.0,0.862
Sin información,San Felipe,433.0,0.604
Sin información,San Felipe,351.0,0.69
Sin información,Nogales,301.0,0.743
Sin información,Zapallar,400.0,0.638
Sin información,Zapallar,0.0,1.0
Sin información,Zapallar,270.0,0.777
Sin información,Zapallar,277.0,0.77
Sin información,Zapallar,175.0,0.878
Sin información,Zapallar,0.0,1.0
Sin información,Zapallar,30.0,1.0
Sin información,San Esteban,285.0,0.761
Sin información,San Esteban,466.0,0.568
Sin información,San Esteban,234.0,0.815
Sin información,San Esteban,42.0,1.0
Sin información,Zapallar,481.0,0.552
Sin información,Zapallar,384.0,0.655
Sin información,San Esteban,495.0,0.537
Sin información,Putaendo,30.0,1.0
Sin información,San Esteban,108.0,0.949
Sin información,San Esteban,525.0,0.506
Sin información,Cabildo,30.0,1.0
Sin información,Putaendo,330.0,0.713
Sin información,Putaendo,360.0,0.681
Sin información,Putaendo,0.0,1.0
Sin información,Cabildo,90.0,0.968
Sin información,Petorca,309.0,0.735
Sin información,La Ligua,192.0,0.859
Sin información,Petorca,30.0,1.0
Sin información,Petorca,190.0,0.862
Sin información,Petorca,95.0,0.963
Sin información,Petorca,30.0,1.0
Sin información,Petorca,480.0,0.553
Sin información,Petorca,85.0,0.974
Sin información,Los Andes,1150.0,0.0
Sin información,Los Andes,690.0,0.33
Sin información,Los Andes,319.0,0.725
Sin información,Los Andes,366.0,0.674
Sin información,Los Andes,418.0,0.619
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,300.0,0.745
Sin información,Los Andes,242.0,0.807
Sin información,Los Andes,390.0,0.649
Sin información,Los Andes,390.0,0.649
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,180.0,0.872
Sin información,Los Andes,85.0,0.974
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,283.0,0.763
Sin información,Los Andes,319.0,0.725
Sin información,Calle Larga,547.0,0.481
Sin información,Calle Larga,1167.0,0.0
Sin información,Los Andes,641.0,0.382
Sin información,Los Andes,577.0,0.45
Sin información,Los Andes,391.0,0.648
Sin información,Los Andes,800.0,0.212
Sin información,Los Andes,60.0,1.0
Sin información,Calle Larga,992.0,0.009
Sin información,Los Andes,85.0,0.974
Sin información,Los Andes,552.0,0.477
Sin información,Los Andes,418.0,0.619
Sin información,Los Andes,641.0,0.382
Sin información,Los Andes,85.0,0.974
Sin información,Calle Larga,60.0,1.0
Sin información,Calle Larga,598.0,0.428
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,371.0,0.669
Sin información,Los Andes,582.0,0.444
Sin información,Los Andes,459.0,0.576
Sin información,Los Andes,360.0,0.681
Sin información,Calle Larga,488.0,0.544
Sin información,Los Andes,270.0,0.777
Sin información,Los Andes,365.0,0.676
Sin información,Calle Larga,454.0,0.581
Sin información,Los Andes,60.0,1.0
Sin información,Los Andes,450.0,0.585
Sin información,Los Andes,180.0,0.872
Sin información,Los Andes,30.0,1.0
Sin información,Calle Larga,42.0,1.0
Sin información,Calle Larga,0.0,1.0
Sin información,Los Andes,60.0,1.0
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,569.0,0.458
Sin información,Los Andes,446.0,0.589
Sin información,Los Andes,342.0,0.7
Sin información,Calle Larga,255.0,0.793
Sin información,Los Andes,1153.0,0.0
Sin información,Los Andes,930.0,0.074
Sin información,Los Andes,658.0,0.364
Sin información,Los Andes,391.0,0.648
Sin información,Calle Larga,912.0,0.093
Sin información,Los Andes,849.0,0.161
Sin información,Los Andes,371.0,0.669
Sin información,Calle Larga,510.0,0.521
Sin información,Los Andes,216.0,0.834
Sin información,Los Andes,1050.0,0.0
Sin información,Los Andes,792.0,0.221
Sin información,Los Andes,210.0,0.84
Sin información,Los Andes,408.0,0.63
Sin información,Calle Larga,767.0,0.248
Sin información,Calle Larga,1008.0,0.0
Sin información,Los Andes,150.0,0.904
Sin información,Calle Larga,771.0,0.243
Sin información,Calle Larga,792.0,0.221
Sin información,Los Andes,514.0,0.518
Sin información,Calle Larga,547.0,0.481
Sin información,Calle Larga,592.0,0.434
Sin información,Calle Larga,342.0,0.7
Sin información,Calle Larga,283.0,0.763
Sin información,Calle Larga,285.0,0.761
Sin información,Calle Larga,912.0,0.093
Sin información,Calle Larga,180.0,0.872
Sin información,Los Andes,300.0,0.745
Sin información,Los Andes,60.0,1.0
Sin información,Calle Larga,335.0,0.707
Sin información,Calle Larga,426.0,0.61
Sin información,Los Andes,30.0,1.0
Sin información,Calle Larga,234.0,0.815
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,255.0,0.793
Sin información,Los Andes,85.0,0.974
Sin información,Los Andes,42.0,1.0
Sin información,Los Andes,306.0,0.738
Sin información,Los Andes,150.0,0.904
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,495.0,0.537
Sin información,Los Andes,42.0,1.0
Sin información,Calle Larga,285.0,0.761
Sin información,Los Andes,170.0,0.883
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,85.0,0.974
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,67.0,0.992
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,90.0,0.968
Sin información,Los Andes,297.0,0.748
Sin información,Calle Larga,255.0,0.793
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,192.0,0.859
Sin información,Los Andes,150.0,0.904
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,794.0,0.219
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,0.0,1.0
Sin información,Calle Larga,335.0,0.707
Sin información,Los Andes,488.0,0.544
Sin información,Los Andes,330.0,0.713
Sin información,Calle Larga,339.0,0.703
Sin información,Calle Larga,277.0,0.77
Sin información,Los Andes,201.0,0.85
Sin información,Los Andes,90.0,0.968
Sin información,Calle Larga,201.0,0.85
Sin información,Los Andes,85.0,0.974
Sin información,Los Andes,564.0,0.464
Sin información,Los Andes,1026.0,0.0
Sin información,Los Andes,124.0,0.932
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,469.0,0.565
Sin información,Los Andes,750.0,0.266
Sin información,Los Andes,1008.0,0.0
Sin información,Los Andes,272.0,0.775
Sin información,Calle Larga,190.0,0.862
Sin información,Los Andes,577.0,0.45
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,42.0,1.0
Sin información,Los Andes,1057.0,0.0
Sin información,Los Andes,313.0,0.731
Sin información,Los Andes,242.0,0.807
Sin información,Los Andes,509.0,0.522
Sin información,Los Andes,228.0,0.821
Sin información,Los Andes,576.0,0.451
Sin información,Calle Larga,420.0,0.617
Sin información,Los Andes,210.0,0.84
Sin información,Calle Larga,886.0,0.121
Sin información,Calle Larga,778.0,0.236
Sin información,Calle Larga,721.0,0.297
Sin información,Los Andes,430.0,0.607
Sin información,Los Andes,331.0,0.711
Sin información,Calle Larga,547.0,0.481
Sin información,Calle Larga,474.0,0.559
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,124.0,0.932
Sin información,Los Andes,306.0,0.738
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,192.0,0.859
Sin información,Los Andes,616.0,0.409
Sin información,Los Andes,577.0,0.45
Sin información,Los Andes,792.0,0.221
Sin información,Los Andes,153.0,0.901
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,228.0,0.821
Sin información,Los Andes,182.0,0.87
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,150.0,0.904
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,60.0,1.0
Sin información,Calle Larga,216.0,0.834
Sin información,Los Andes,242.0,0.807
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,379.0,0.66
Sin información,Los Andes,30.0,1.0
Sist. Rio Aconcagua y trib,Calle Larga,85.0,0.974
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,319.0,0.725
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,67.0,0.992
Sin información,Los Andes,162.0,0.892
Sin información,Calle Larga,30.0,1.0
Sin información,Los Andes,60.0,1.0
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,306.0,0.738
Sin información,Los Andes,42.0,1.0
Sin información,Los Andes,134.0,0.921
Sin información,Calle Larga,700.0,0.319
Sin información,Los Andes,642.0,0.381
Sin información,Los Andes,1012.0,0.0
Sin información,Los Andes,256.0,0.791
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,242.0,0.807
Sin información,Los Andes,67.0,0.992
Sin información,Los Andes,85.0,0.974
Sin información,Los Andes,404.0,0.634
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,579.0,0.447
Sin información,Los Andes,551.0,0.478
Sin información,Los Andes,421.0,0.616
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,607.0,0.418
Sin información,Los Andes,268.0,0.778
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,810.0,0.202
Sin información,Los Andes,690.0,0.33
Sin información,Los Andes,750.0,0.266
Sin información,Los Andes,67.0,0.992
Sin información,Los Andes,904.0,0.102
Sin información,Los Andes,408.0,0.63
Sin información,Los Andes,60.0,1.0
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,1091.0,0.0
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,531.0,0.499
Sin información,Los Andes,467.0,0.567
Sin información,Los Andes,713.0,0.305
Sin información,Los Andes,600.0,0.426
Sin información,Los Andes,170.0,0.883
Sin información,Los Andes,120.0,0.936
Sin información,Los Andes,480.0,0.553
Sin información,Los Andes,67.0,0.992
Sin información,Los Andes,134.0,0.921
Sin información,Los Andes,730.0,0.287
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,450.0,0.585
Sin información,Los Andes,626.0,0.397
Sin información,Los Andes,408.0,0.63
Sin información,Los Andes,127.0,0.928
Sin información,Los Andes,108.0,0.949
Sin información,Los Andes,552.0,0.477
Sin información,Los Andes,277.0,0.77
Sin información,Los Andes,240.0,0.809
Sin información,Los Andes,603.0,0.422
Sin información,Los Andes,201.0,0.85
Sin información,Los Andes,272.0,0.775
Sin información,Los Andes,741.0,0.276
Sin información,Los Andes,470.0,0.564
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,42.0,1.0
Sin información,Los Andes,201.0,0.85
Sin información,Los Andes,42.0,1.0
Sin información,Los Andes,531.0,0.499
Sin información,Los Andes,272.0,0.775
Sin información,Los Andes,212.0,0.838
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,42.0,1.0
Sin información,Los Andes,285.0,0.761
Sin información,Los Andes,938.0,0.066
Sin información,Los Andes,67.0,0.992
Sin información,Los Andes,497.0,0.536
Sin información,Los Andes,408.0,0.63
Sin información,Los Andes,564.0,0.464
Sin información,Los Andes,560.0,0.468
Sin información,Los Andes,60.0,1.0
Sin información,Los Andes,95.0,0.963
Sin información,Los Andes,297.0,0.748
Sin información,Los Andes,212.0,0.838
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,95.0,0.963
Sin información,Calle Larga,30.0,1.0
Sin información,Calle Larga,175.0,0.878
Sin información,Calle Larga,0.0,1.0
Sin información,Calle Larga,42.0,1.0
Sin información,Los Andes,420.0,0.617
Sin información,Los Andes,60.0,1.0
Sin información,Los Andes,90.0,0.968
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,570.0,0.457
Sin información,Los Andes,30.0,1.0
Sin información,Los Andes,371.0,0.669
Sin información,Los Andes,285.0,0.761
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,162.0,0.892
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,782.0,0.232
Sin información,Los Andes,0.0,1.0
Sin información,Los Andes,180.0,0.872
Sin información,Los Andes,649.0,0.373
Sin información,Los Andes,488.0,0.544
Sin información,Los Andes,300.0,0.745
Sin información,Los Andes,180.0,0.872
Sin información,Los Andes,450.0,0.585
Sin información,Los Andes,573.0,0.454
Sin información,Los Andes,570.0,0.457
Sin información,Los Andes,124.0,0.932
Sin información,Los Andes,192.0,0.859
Sin información,San Esteban,67.0,0.992
Sin información,San Esteban,190.0,0.862
Sin información,San Esteban,42.0,1.0
Sin información,San Esteban,1214.0,0.0
Sin información,San Esteban,591.0,0.435
Sin información,San Esteban,324.0,0.719
Sin información,San Esteban,190.0,0.862
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,927.0,0.078
Sin información,San Esteban,577.0,0.45
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,1024.0,0.0
Sin información,San Esteban,981.0,0.02
Sin información,San Esteban,830.0,0.181
Sin información,San Esteban,1050.0,0.0
Sin información,San Esteban,638.0,0.385
Sin información,San Esteban,698.0,0.322
Sin información,San Esteban,618.0,0.407
Sin información,San Esteban,607.0,0.418
Sin información,San Esteban,390.0,0.649
Sin información,San Esteban,430.0,0.607
Sin información,San Esteban,210.0,0.84
Sin información,San Esteban,752.0,0.264
Sin información,San Esteban,270.0,0.777
Sin información,San Esteban,285.0,0.761
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,987.0,0.014
Sin información,San Esteban,180.0,0.872
Sin información,San Esteban,234.0,0.815
Sin información,San Esteban,751.0,0.265
Sin información,San Esteban,124.0,0.932
Sin información,San Esteban,430.0,0.607
Sin información,San Esteban,331.0,0.711
Sin información,San Esteban,306.0,0.738
Sin información,San Esteban,218.0,0.831
Sin información,San Esteban,162.0,0.892
Sin información,San Esteban,42.0,1.0
Sin información,San Esteban,150.0,0.904
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,67.0,0.992
Sin información,San Esteban,42.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,85.0,0.974
Sin información,San Esteban,450.0,0.585
Sin información,San Esteban,891.0,0.116
Sin información,San Esteban,180.0,0.872
Sin información,San Esteban,379.0,0.66
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,216.0,0.834
Sin información,San Esteban,376.0,0.664
Sin información,San Esteban,458.0,0.577
Sin información,San Esteban,67.0,0.992
Sin información,San Esteban,499.0,0.533
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,95.0,0.963
Sin información,San Esteban,443.0,0.593
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,256.0,0.791
Sin información,San Esteban,127.0,0.928
Sin información,San Esteban,319.0,0.725
Sin información,San Esteban,503.0,0.529
Sin información,San Esteban,218.0,0.831
Sin información,San Esteban,247.0,0.801
Sin información,San Esteban,153.0,0.901
Sin información,San Esteban,150.0,0.904
Sin información,San Esteban,255.0,0.793
Sin información,San Esteban,216.0,0.834
Sin información,San Esteban,201.0,0.85
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,150.0,0.904
Sin información,San Esteban,162.0,0.892
Sin información,San Esteban,210.0,0.84
Sin información,San Esteban,361.0,0.68
Sin información,San Esteban,713.0,0.305
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,768.0,0.246
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,698.0,0.322
Sin información,San Esteban,42.0,1.0
Sin información,San Esteban,90.0,0.968
Sin información,San Esteban,170.0,0.883
Sin información,San Esteban,1041.0,0.0
Sin información,San Esteban,192.0,0.859
Sist. Rio Aconcagua y trib,San Esteban,30.0,1.0
Sin información,San Esteban,366.0,0.674
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,256.0,0.791
Sin información,San Esteban,180.0,0.872
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,127.0,0.928
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,631.0,0.393
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,859.0,0.15
Sin información,San Esteban,60.0,1.0
Sin información,San Esteban,42.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,0.0,1.0
Sist. Rio Aconcagua y trib,San Esteban,30.0,1.0
Sist. Rio Aconcagua y trib,San Esteban,0.0,1.0
Sin información,San Esteban,270.0,0.777
Sin información,San Esteban,162.0,0.892
Sin información,San Esteban,108.0,0.949
Sin información,San Esteban,242.0,0.807
Sin información,San Esteban,150.0,0.904
Sin información,San Esteban,95.0,0.963
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,192.0,0.859
Sin información,San Esteban,418.0,0.619
Sin información,San Esteban,175.0,0.878
Sin información,San Esteban,534.0,0.496
Sin información,San Esteban,30.0,1.0
Sist. Rio Aconcagua y trib,San Esteban,60.0,1.0
Sist. Rio Aconcagua y trib,San Esteban,0.0,1.0
Sin información,San Esteban,573.0,0.454
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,124.0,0.932
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,210.0,0.84
Sin información,San Esteban,60.0,1.0
Sin información,San Esteban,295.0,0.75
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,272.0,0.775
Sin información,San Esteban,443.0,0.593
Sin información,San Esteban,180.0,0.872
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,210.0,0.84
Sin información,San Esteban,60.0,1.0
Sin información,San Esteban,509.0,0.522
Sin información,San Esteban,323.0,0.72
Sin información,San Esteban,67.0,0.992
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,382.0,0.658
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,85.0,0.974
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,234.0,0.815
Sin información,San Esteban,182.0,0.87
Sin información,San Esteban,108.0,0.949
Sin información,San Esteban,0.0,1.0
Sin información,San Esteban,60.0,1.0
Sin información,San Esteban,150.0,0.904
Sin información,San Esteban,90.0,0.968
Sin información,San Esteban,60.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,433.0,0.604
Sin información,San Esteban,210.0,0.84
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,30.0,1.0
Sin información,San Esteban,60.0,1.0
