nom_humed,comuna,dist_drenaje_m,prox_drenaje
Laguna artificial Bahía,Algarrobo,272.0,0.775
Humedal Sector Esteros de la Laja,Concón,42.0,1.0
Embalse 1 San Felipe,San Felipe,85.0,0.974
Humedales Sector Los Maitenes,Puchuncaví,30.0,1.0
Embalse 3 Catemu,Catemu,30.0,1.0
Tranque Antiguo,Catemu,309.0,0.735
Tranque Antiguo,Catemu,170.0,0.883
Estero Puchuncavi - Campiche,Puchuncaví,277.0,0.77
Estero Puchuncavi - Campiche,Quintero,150.0,0.904
Sector Quintero N°9,Quintero,108.0,0.949
Estero Los Molles,La Ligua,0.0,1.0
Sin identificar,La Ligua,319.0,0.725
Quebrada Talcalan,Papudo,0.0,1.0
Sin identificar,Papudo,301.0,0.743
Humedal Sector El Alto,Puchuncaví,42.0,1.0
Sector Quintero N°10,Quintero,60.0,1.0
Petras Quintero,Quintero,108.0,0.949
Humedal Sector Las Gaviotas,Quintero,90.0,0.968
Des.Estero Mantagua,Quintero,0.0,1.0
Des.Estero Mantagua,Quintero,201.0,0.85
Des.Estero Mantagua,Quintero,124.0,0.932
Des.Estero Mantagua,Quintero,90.0,0.968
Des.Estero Mantagua,Quintero,270.0,0.777
Des.Estero Mantagua,Quintero,60.0,1.0
Des.Estero Mantagua,Quintero,0.0,1.0
Des.Estero Mantagua,Quintero,60.0,1.0
Estero Mantagua,Quintero,60.0,1.0
Estero Reñaca,Viña del Mar,30.0,1.0
Estero Limache,Concón,180.0,0.872
Estero Limache,Concón,30.0,1.0
Estero Limache,Limache,0.0,1.0
Estero Limache,Concón,42.0,1.0
Estero San Juan,San Antonio,0.0,1.0
Estero El Jote,Casablanca,30.0,1.0
Humedal Estero Guaquen,La Ligua,30.0,1.0
Sin identificar,La Ligua,60.0,1.0
Des. Estero Curaumilla,Valparaíso,30.0,1.0
Estero El Membrillo,Casablanca,30.0,1.0
Estero El Membrillo,Algarrobo,0.0,1.0
Estero San Jeronimo,Casablanca,0.0,1.0
Estero San Jeronimo,Casablanca,0.0,1.0
Estero San Jeronimo,Casablanca,30.0,1.0
Estero San Jeronimo,Casablanca,0.0,1.0
Estero San Jeronimo,Casablanca,30.0,1.0
Estero San Jeronimo,Casablanca,0.0,1.0
Estero San Jeronimo,Casablanca,30.0,1.0
Estero San Jeronimo,Casablanca,30.0,1.0
Estero San Jeronimo,Casablanca,0.0,1.0
Estero San Jeronimo,Casablanca,0.0,1.0
Estero San Jeronimo,Algarrobo,30.0,1.0
Estero San Jeronimo,Algarrobo,0.0,1.0
Estero San Jeronimo,Algarrobo,0.0,1.0
Estero San Jeronimo,Algarrobo,30.0,1.0
Estero San Jeronimo,Algarrobo,0.0,1.0
Estero San Jeronimo,Algarrobo,0.0,1.0
Estero San Jeronimo,Algarrobo,0.0,1.0
Estero Cartagena,Cartagena,30.0,1.0
Estero del Rosario de Cordova,Casablanca,30.0,1.0
Estero del Rosario de Cordova,El Quisco,30.0,1.0
Estero del Rosario de Cordova,El Quisco,0.0,1.0
Estero del Rosario de Cordova,El Quisco,0.0,1.0
Estero del Rosario de Cordova,El Quisco,0.0,1.0
Estero del Rosario de Cordova,El Quisco,30.0,1.0
Estero del Rosario de Cordova,El Quisco,30.0,1.0
Estero del Rosario de Cordova,El Quisco,30.0,1.0
Estero del Rosario de Cordova,El Quisco,0.0,1.0
Estero del Rosario de Cordova,El Quisco,0.0,1.0
Estero del Rosario de Cordova,El Quisco,30.0,1.0
Estero del Rosario de Cordova,El Tabo,0.0,1.0
Estero del Rosario de Cordova,El Tabo,0.0,1.0
Estero del Rosario de Cordova,El Tabo,30.0,1.0
Estero del Rosario de Cordova,El Tabo,0.0,1.0
Estero del Rosario de Cordova,El Tabo,0.0,1.0
Estero del Rosario de Cordova,El Tabo,0.0,1.0
Estero del Rosario de Cordova,El Tabo,0.0,1.0
Estero del Rosario de Cordova,El Tabo,30.0,1.0
Estero del Rosario de Cordova,El Tabo,30.0,1.0
Estero del Rosario de Cordova,El Tabo,0.0,1.0
Estero del Rosario de Cordova,El Tabo,30.0,1.0
Estero del Rosario de Cordova,El Tabo,30.0,1.0
Estero La Cigüeña,Cartagena,67.0,0.992
Estero La Cigüeña,Cartagena,30.0,1.0
Estero La Cigüeña,El Tabo,30.0,1.0
Estero La Cigüeña,El Tabo,60.0,1.0
Estero La Cigüeña,El Tabo,0.0,1.0
Quebrada Los Hualpes,Casablanca,42.0,1.0
Estero Las Tablas,Valparaíso,0.0,1.0
Estero del Sauce,Valparaíso,42.0,1.0
Estero Mantagua,Quintero,0.0,1.0
Estero Los Molles,La Ligua,30.0,1.0
Estero El Pangal,La Ligua,30.0,1.0
Humedal Pichicuy,La Ligua,0.0,1.0
Rio Petorca- Rio La Ligua,La Ligua,30.0,1.0
Rio Petorca- Rio La Ligua,Papudo,420.0,0.617
Rio Petorca- Rio La Ligua,Papudo,85.0,0.974
Rio Petorca- Rio La Ligua,Papudo,124.0,0.932
Humedal Pichicuy,La Ligua,42.0,1.0
Sist. Rio Maipo y Estero El Sauce,San Antonio,324.0,0.719
Sist. Rio Maipo y Estero El Sauce,San Antonio,60.0,1.0
Sist. Rio Maipo y Estero El Sauce,Santo Domingo,42.0,1.0
Sist. Rio Maipo y Estero El Sauce,Santo Domingo,0.0,1.0
Des. Rio Maipo,Santo Domingo,127.0,0.928
Quebrada Cruz de Piedra,Papudo,170.0,0.883
Des.Estero Mantagua,Quintero,67.0,0.992
Laguna de Llolleo,San Antonio,212.0,0.838
Laguna de Llolleo,San Antonio,180.0,0.872
Des.Estero Mantagua,Quintero,85.0,0.974
Playa El Abanico,Puchuncaví,552.0,0.477
Quebrada Las Petras,Algarrobo,134.0,0.921
El Canelillo,Algarrobo,560.0,0.468
Playa Sector nautico,Algarrobo,618.0,0.407
Estero San Juan,San Antonio,0.0,1.0
H. Estuario Los Molles,La Ligua,0.0,1.0
H. Estuario Los Molles,La Ligua,95.0,0.963
Sector Quintay N°1,Casablanca,616.0,0.409
Estero El Membrillo,Algarrobo,240.0,0.809
Sector Playa Cachagua,Zapallar,0.0,1.0
Humedal Sector Las Gaviotas,Quintero,484.0,0.549
Humedal Sector Las Gaviotas,Quintero,365.0,0.676
Sin información,Casablanca,127.0,0.928
Sin información,Casablanca,42.0,1.0
Sin información,Casablanca,42.0,1.0
Sin información,Casablanca,108.0,0.949
Sin información,Quilpué,60.0,1.0
Sin información,Quilpué,85.0,0.974
Sin información,Valparaíso,30.0,1.0
Sin información,Quilpué,437.0,0.599
Sin información,Quilpué,190.0,0.862
Sin información,Quilpué,499.0,0.533
Sin información,Villa Alemana,218.0,0.831
Sin información,Villa Alemana,108.0,0.949
Sin información,Villa Alemana,30.0,1.0
Embalse Poza Azul,Quilpué,90.0,0.968
Sin información,Quilpué,0.0,1.0
Sin información,Villa Alemana,85.0,0.974
Sin información,Limache,891.0,0.116
Sin información,Limache,990.0,0.011
Sin información,Limache,30.0,1.0
Sin información,Concón,258.0,0.789
Sin información,Concón,277.0,0.77
Sin información,Concón,382.0,0.658
Sin información,Nogales,95.0,0.963
Sin información,Nogales,124.0,0.932
Sin información,Zapallar,0.0,1.0
Sin información,Santo Domingo,,
Sin información,Santo Domingo,30.0,1.0
Sin información,Santo Domingo,531.0,0.499
Sin información,Santo Domingo,30.0,1.0
Sin información,Santo Domingo,30.0,1.0
Sin información,Santo Domingo,0.0,1.0
Sin información,Santo Domingo,779.0,0.235
Sin información,Santo Domingo,1036.0,0.0
Sin información,Santo Domingo,987.0,0.014
Sin información,Santo Domingo,663.0,0.359
Sin información,Santo Domingo,450.0,0.585
Sin información,Santo Domingo,1120.0,0.0
Sin información,Santo Domingo,42.0,1.0
Sin información,Santo Domingo,30.0,1.0
Sin información,Santo Domingo,42.0,1.0
Sin información,Santo Domingo,0.0,1.0
Sin información,Santo Domingo,495.0,0.537
Sin información,Santo Domingo,30.0,1.0
Sin información,Santo Domingo,0.0,1.0
Sin información,Santo Domingo,424.0,0.612
Sin información,Santo Domingo,0.0,1.0
Sin información,Santo Domingo,0.0,1.0
Sin información,Santo Domingo,285.0,0.761
Sin información,Santo Domingo,0.0,1.0
Sin información,Santo Domingo,30.0,1.0
Sin información,Santo Domingo,30.0,1.0
Sin información,San Antonio,30.0,1.0
Sin información,San Antonio,201.0,0.85
Sin información,San Antonio,1168.0,0.0
Sin información,San Antonio,1045.0,0.0
Sin información,San Antonio,85.0,0.974
Sin información,San Antonio,30.0,1.0
Sin información,San Antonio,365.0,0.676
Sin información,San Antonio,700.0,0.319
Sin información,San Antonio,488.0,0.544
Sin información,San Antonio,882.0,0.125
Sin información,San Antonio,1092.0,0.0
Sin información,San Antonio,0.0,1.0
Sin información,Santo Domingo,120.0,0.936
Sin información,San Antonio,1184.0,0.0
Sin información,San Antonio,960.0,0.042
Sin información,San Antonio,1702.0,0.0
Sin información,San Antonio,1900.0,0.0
Sin información,San Antonio,134.0,0.921
Sin información,Santo Domingo,30.0,1.0
Sin información,San Antonio,0.0,1.0
Sin información,Santo Domingo,633.0,0.391
Sin información,San Antonio,30.0,1.0
Sin información,San Antonio,0.0,1.0
Sin información,San Antonio,0.0,1.0
Sin información,San Antonio,0.0,1.0
Sin información,San Antonio,60.0,1.0
Sin información,San Antonio,0.0,1.0
Humedal Sector Qda. Los Alamos,San Antonio,0.0,1.0
Humedal Sector Industrial,San Antonio,30.0,1.0
Sin información,El Tabo,90.0,0.968
Sin información,Cartagena,127.0,0.928
Sin información,Cartagena,170.0,0.883
Sin información,Cartagena,108.0,0.949
Sin información,Cartagena,42.0,1.0
Sin información,Cartagena,30.0,1.0
Sin información,Cartagena,108.0,0.949
Sin información,El Tabo,430.0,0.607
Sin información,El Tabo,323.0,0.72
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,42.0,1.0
Sin información,El Quisco,30.0,1.0
Sin información,El Quisco,0.0,1.0
Sin información,Casablanca,485.0,0.548
Sector Punta de Tralca N°3,El Quisco,711.0,0.307
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,162.0,0.892
Sin información,Casablanca,42.0,1.0
Sin información,Casablanca,983.0,0.018
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,60.0,1.0
Sin información,Casablanca,0.0,1.0
