nom_humed,comuna,pctl_empirico,expo_met,twi,acc_topo,expo_suelo,prox_drenaje,susc_acumulacion,prioridad_inundacion,clase_prioridad,suelo_fuente,cuenca
Quebrada Lance Bravo Norte,Algarrobo,81.2,0.624,0.155,0.099,0.717,1.0,0.493,0.307,Moderada,FAO,Costeras entre Aconcagua y Maipo
Embalse Sector Hijuelas,La Cruz,93.8,0.876,0.486,0.002,0.42,0.0,0.227,0.199,Muy Baja,CIREN,Rio Aconcagua
Embalse Los Culenes,Papudo,87.5,0.75,0.556,0.048,0.442,1.0,0.512,0.384,Alta,CIREN,Rio Ligua
Embalse,La Ligua,93.8,0.876,0.403,0.0,0.25,0.978,0.408,0.357,Alta,CIREN,Rio Ligua
Embalse,La Ligua,93.8,0.876,1.0,0.0,0.553,0.959,0.628,0.55,Muy Alta,FAO,Rio Ligua
Embalse,La Ligua,93.8,0.876,0.545,0.302,0.553,0.969,0.592,0.519,Muy Alta,FAO,Rio Ligua
Embalse,Papudo,87.5,0.75,0.507,0.0,0.442,1.0,0.487,0.365,Alta,CIREN,Costeras Ligua-Aconcagua
Embalse,Calle Larga,75.0,0.5,0.383,0.091,0.504,1.0,0.494,0.247,Baja,CIREN,Rio Aconcagua
Embalse Estero Las Salinas 1,Papudo,87.5,0.75,0.494,0.104,0.392,1.0,0.498,0.373,Alta,CIREN,Costeras Ligua-Aconcagua
Embalse Estero Las Salinas 2,Papudo,87.5,0.75,0.644,0.0,0.392,0.794,0.458,0.343,Alta,CIREN,Costeras Ligua-Aconcagua
Embalse Estero Las Salinas 3,Papudo,87.5,0.75,0.639,0.052,0.295,0.978,0.491,0.368,Alta,CIREN,Costeras Ligua-Aconcagua
Humedal sin identificar,Puchuncaví,87.5,0.75,0.879,0.439,0.0,0.889,0.552,0.414,Muy Alta,CIREN,Costeras Ligua-Aconcagua
Humedal Laguna El Criquet,Valparaíso,93.8,0.876,0.257,0.325,0.55,0.518,0.413,0.361,Alta,CIREN,Costeras entre Aconcagua y Maipo
Sector Quintay N°2,Casablanca,93.8,0.876,0.334,0.036,0.071,0.623,0.266,0.233,Baja,CIREN,Costeras entre Aconcagua y Maipo
Embalse,Calle Larga,75.0,0.5,0.32,0.366,0.525,0.964,0.544,0.272,Baja,CIREN,Rio Aconcagua
Sector Punta de Tralca N°2,El Quisco,81.2,0.624,0.39,0.008,0.379,0.543,0.33,0.206,Muy Baja,CIREN,Costeras entre Aconcagua y Maipo
Laguna Sector  Marbella,Puchuncaví,87.5,0.75,0.392,0.0,0.089,0.666,0.287,0.215,Muy Baja,CIREN,Costeras Ligua-Aconcagua
Humedal Av. Punta Puyai,Papudo,87.5,0.75,0.296,0.0,0.442,0.94,0.42,0.315,Moderada,CIREN,Costeras Ligua-Aconcagua
Embalse 8 Rinconada.,Rinconada,81.2,0.624,0.426,0.136,0.384,0.34,0.322,0.201,Muy Baja,CIREN,Rio Aconcagua
Embalse,Calle Larga,75.0,0.5,0.439,0.185,0.384,0.771,0.445,0.222,Muy Baja,CIREN,Rio Aconcagua
Embalse,Calle Larga,81.2,0.624,0.763,0.077,0.681,0.976,0.624,0.39,Alta,FAO,Rio Aconcagua
Embalse,Calle Larga,71.9,0.438,1.0,0.038,0.553,0.843,0.608,0.267,Baja,FAO,Rio Aconcagua
Embalse,Calle Larga,71.9,0.438,0.334,0.032,0.544,0.84,0.438,0.192,Muy Baja,CIREN,Rio Aconcagua
Embalse,Calle Larga,81.2,0.624,0.675,0.05,0.384,0.583,0.423,0.264,Baja,CIREN,Rio Aconcagua
Embalse,Rinconada,84.4,0.688,0.288,0.0,0.544,0.759,0.398,0.274,Baja,CIREN,Rio Aconcagua
Embalse,Calle Larga,81.2,0.624,0.311,0.0,0.4,0.3,0.253,0.158,Muy Baja,CIREN,Rio Aconcagua
Embalse,Llaillay,87.5,0.75,0.761,0.0,0.2,0.657,0.404,0.303,Moderada,CIREN,Rio Aconcagua
Embalse,Llaillay,87.5,0.75,0.37,0.081,0.525,0.483,0.365,0.274,Baja,CIREN,Rio Aconcagua
Embalse,Calle Larga,81.2,0.624,0.268,0.0,0.4,0.602,0.318,0.198,Muy Baja,CIREN,Rio Aconcagua
Humedal sector estadio L. Jelves,Papudo,87.5,0.75,0.805,0.006,0.236,0.781,0.457,0.343,Alta,FAO,Costeras Ligua-Aconcagua
Embalse,Rinconada,81.2,0.624,0.242,0.0,0.525,0.666,0.358,0.224,Muy Baja,CIREN,Rio Aconcagua
Embalse,Calle Larga,81.2,0.624,0.881,0.381,0.41,0.756,0.607,0.379,Alta,CIREN,Rio Aconcagua
