nom_humed,comuna,pctl_empirico,expo_met,twi,acc_topo,expo_suelo,prox_drenaje,susc_acumulacion,prioridad_inundacion,clase_prioridad,suelo_fuente,cuenca
Sin información,Petorca,87.5,0.75,0.408,0.025,0.231,0.992,0.414,0.31,Moderada,CIREN,Rio Petorca
Sin información,La Ligua,90.6,0.812,1.0,0.054,0.236,0.462,0.438,0.356,Alta,FAO,Costeras Quilimari-Petorca
Sin información,La Ligua,93.8,0.876,0.293,0.0,0.553,1.0,0.462,0.404,Muy Alta,FAO,Rio Petorca
Sin información,Cabildo,84.4,0.688,0.379,0.0,0.461,0.922,0.44,0.303,Moderada,FAO,Rio Ligua
Sin información,Cabildo,87.5,0.75,1.0,0.008,0.321,0.896,0.556,0.417,Muy Alta,CIREN,Rio Ligua
Sin información,Cabildo,87.5,0.75,0.456,0.0,0.544,0.905,0.476,0.357,Alta,CIREN,Rio Ligua
Sin información,Cabildo,87.5,0.75,0.356,0.006,0.42,0.9,0.42,0.315,Moderada,CIREN,Rio Ligua
Sin información,La Ligua,87.5,0.75,0.355,0.09,0.469,0.725,0.41,0.307,Moderada,CIREN,Rio Petorca
Sin información,La Ligua,87.5,0.75,0.217,0.336,0.0,0.986,0.385,0.289,Moderada,CIREN,Rio Petorca
Sin información,Petorca,87.5,0.75,0.742,0.179,0.25,0.903,0.518,0.389,Alta,CIREN,Rio Petorca
Sin información,Petorca,87.5,0.75,0.431,0.0,0.25,0.845,0.382,0.286,Baja,CIREN,Rio Petorca
Sin información,Petorca,87.5,0.75,0.357,0.0,0.442,0.822,0.405,0.304,Moderada,CIREN,Rio Petorca
Sin información,La Ligua,87.5,0.75,0.305,0.011,0.442,0.289,0.262,0.196,Muy Baja,CIREN,Rio Petorca
Sin información,Petorca,87.5,0.75,0.716,0.0,0.25,0.951,0.479,0.359,Alta,CIREN,Rio Petorca
Sin información,La Ligua,87.5,0.75,0.588,0.0,0.442,0.91,0.485,0.364,Alta,CIREN,Rio Petorca
Sin información,La Ligua,87.5,0.75,1.0,0.001,0.717,0.985,0.676,0.507,Muy Alta,FAO,Rio Petorca
Sin información,La Ligua,90.6,0.812,0.405,0.034,0.717,1.0,0.539,0.438,Muy Alta,FAO,Costeras Quilimari-Petorca
Sin información,La Ligua,87.5,0.75,0.556,0.096,0.442,0.9,0.499,0.374,Alta,CIREN,Rio Petorca
Sin información,La Ligua,87.5,0.75,0.88,0.296,0.717,0.732,0.656,0.492,Muy Alta,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.338,0.0,0.717,0.981,0.509,0.382,Alta,FAO,Rio Petorca
Sin información,Petorca,84.4,0.688,0.438,0.0,0.717,1.0,0.539,0.371,Alta,FAO,Rio Petorca
Sin información,Petorca,84.4,0.688,0.143,0.195,0.717,0.965,0.505,0.347,Alta,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.975,0.0,0.544,0.804,0.581,0.436,Muy Alta,CIREN,Rio Petorca
Sin información,Petorca,84.4,0.688,0.686,0.0,0.461,0.274,0.355,0.244,Baja,FAO,Rio Petorca
Sin información,Petorca,84.4,0.688,0.406,0.0,0.544,0.253,0.301,0.207,Muy Baja,CIREN,Rio Petorca
Sin información,Petorca,84.4,0.688,0.356,0.0,0.544,0.354,0.314,0.216,Muy Baja,CIREN,Rio Petorca
Sin información,Petorca,84.4,0.688,0.714,0.25,0.461,0.664,0.522,0.359,Alta,FAO,Rio Petorca
Sin información,Petorca,84.4,0.688,0.395,0.043,0.544,0.834,0.454,0.312,Moderada,CIREN,Rio Petorca
Sin información,Petorca,84.4,0.688,0.468,0.055,0.621,0.794,0.485,0.333,Alta,CIREN,Rio Petorca
Sin información,Petorca,87.5,0.75,0.734,0.0,0.544,0.816,0.524,0.393,Alta,CIREN,Rio Petorca
Sin información,Santo Domingo,62.5,0.25,0.472,0.063,0.307,0.555,0.349,0.087,Muy Baja,CIREN,Costeras entre  Maipo y Rapel
Sin información,Casablanca,81.2,0.624,0.384,0.019,0.717,1.0,0.53,0.331,Moderada,FAO,Costeras entre Aconcagua y Maipo
Sin información,Casablanca,87.5,0.75,1.0,1.0,0.717,1.0,0.929,0.697,Muy Alta,FAO,Costeras entre Aconcagua y Maipo
Sin información,Los Andes,84.4,0.688,0.37,0.114,0.461,0.912,0.464,0.319,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.22,0.56,0.461,0.935,0.544,0.374,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.877,0.709,0.461,0.883,0.732,0.366,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,1.0,0.878,0.461,0.745,0.771,0.386,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,1.0,0.77,0.461,0.896,0.782,0.488,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.532,0.193,0.461,1.0,0.546,0.376,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,87.5,0.75,0.925,1.0,0.461,0.642,0.757,0.568,Muy Alta,FAO,Rio Aconcagua
Sin información,Santa María,87.5,0.75,0.227,1.0,0.461,0.79,0.62,0.465,Muy Alta,FAO,Rio Aconcagua
Sin información,San Esteban,87.5,0.75,0.482,0.43,0.461,0.924,0.574,0.431,Muy Alta,FAO,Rio Aconcagua
Sin información,Cabildo,87.5,0.75,1.0,0.8,0.461,0.922,0.796,0.597,Muy Alta,FAO,Rio Ligua
Sin información,Santo Domingo,62.5,0.25,0.317,0.058,0.35,0.58,0.326,0.082,Muy Baja,CIREN,Costeras entre  Maipo y Rapel
Sin información,Santo Domingo,62.5,0.25,0.859,0.052,0.35,0.63,0.473,0.118,Muy Baja,CIREN,Costeras entre  Maipo y Rapel
Sin información,Santo Domingo,62.5,0.25,0.617,0.211,0.483,0.59,0.475,0.119,Muy Baja,CIREN,Costeras entre  Maipo y Rapel
Sin información,Santo Domingo,62.5,0.25,0.188,1.0,0.717,0.717,0.656,0.164,Muy Baja,FAO,Costeras entre  Maipo y Rapel
Sin información,Santo Domingo,62.5,0.25,1.0,0.231,0.717,0.551,0.625,0.156,Muy Baja,FAO,Costeras entre  Maipo y Rapel
Sin información,Santo Domingo,75.0,0.5,0.347,0.0,0.6,1.0,0.487,0.243,Baja,CIREN,Costeras entre  Maipo y Rapel
Laguna Sector Industrial,Cartagena,81.2,0.624,0.198,0.182,0.717,1.0,0.524,0.327,Moderada,FAO,Costeras entre Aconcagua y Maipo
Sin información,El Tabo,81.2,0.624,0.306,0.0,0.379,1.0,0.421,0.263,Baja,CIREN,Costeras entre Aconcagua y Maipo
Sin información,Casablanca,87.5,0.75,0.273,0.0,0.55,0.908,0.433,0.325,Moderada,CIREN,Costeras entre Aconcagua y Maipo
Sin información,Casablanca,87.5,0.75,0.445,0.379,0.329,1.0,0.538,0.404,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Sin información,Casablanca,87.5,0.75,0.376,0.0,0.55,1.0,0.482,0.361,Alta,CIREN,Costeras entre Aconcagua y Maipo
Sin información,Casablanca,90.6,0.812,0.424,0.033,0.363,0.925,0.436,0.354,Alta,CIREN,Costeras entre Aconcagua y Maipo
Sin información,Quilpué,90.6,0.812,1.0,0.097,0.55,1.0,0.662,0.537,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Sin información,Valparaíso,93.8,0.876,0.392,0.292,0.329,0.998,0.503,0.44,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Sin información,Quilpué,90.6,0.812,0.225,0.0,0.55,1.0,0.444,0.36,Alta,CIREN,Costeras entre Aconcagua y Maipo
Sin información,Quilpué,90.6,0.812,0.627,0.638,0.717,0.963,0.736,0.598,Muy Alta,FAO,Costeras entre Aconcagua y Maipo
Sin información,Quilpué,90.6,0.812,1.0,0.347,0.229,1.0,0.644,0.523,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Sin información,Los Andes,84.4,0.688,0.005,0.0,0.461,0.637,0.276,0.19,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.839,0.0,0.461,0.808,0.527,0.363,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.723,0.0,0.461,0.816,0.5,0.344,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.646,0.0,0.461,0.884,0.498,0.342,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.912,0.001,0.461,0.975,0.587,0.404,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.134,0.082,0.461,1.0,0.419,0.288,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.62,0.0,0.461,0.988,0.517,0.356,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.364,0.522,0.461,0.994,0.585,0.403,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.792,0.0,0.461,0.994,0.562,0.386,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,1.0,1.0,0.461,1.0,0.865,0.595,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.367,0.0,0.461,0.99,0.454,0.313,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.322,0.0,0.461,0.991,0.444,0.305,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.255,0.0,0.461,1.0,0.429,0.295,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.135,0.18,0.461,0.961,0.434,0.299,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.457,0.0,0.461,0.983,0.475,0.327,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.282,0.0,0.461,0.82,0.391,0.269,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.326,0.304,0.461,1.0,0.523,0.36,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.196,0.0,0.461,0.993,0.412,0.206,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.107,0.0,0.461,0.823,0.348,0.174,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.291,1.0,0.461,0.935,0.672,0.462,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.207,0.244,0.461,0.754,0.416,0.287,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.275,0.0,0.461,1.0,0.434,0.217,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.036,0.0,0.461,0.449,0.236,0.163,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.21,0.0,0.461,0.788,0.365,0.182,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.601,0.395,0.461,0.977,0.608,0.304,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.301,0.0,0.461,0.886,0.412,0.206,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.525,0.073,0.461,0.896,0.489,0.244,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.197,0.0,0.461,0.488,0.286,0.143,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.621,0.153,0.461,0.919,0.538,0.269,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,1.0,0.0,0.461,0.352,0.453,0.227,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.337,0.451,0.461,0.587,0.459,0.23,Baja,FAO,Rio Aconcagua
Sin información,Limache,93.8,0.876,0.364,0.0,0.417,0.871,0.413,0.362,Alta,CIREN,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.99,0.008,0.461,0.736,0.549,0.274,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.973,0.09,0.461,0.722,0.562,0.281,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.334,0.46,0.461,0.977,0.558,0.384,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.307,0.0,0.461,1.0,0.442,0.221,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.37,0.135,0.461,0.961,0.482,0.331,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.091,0.0,0.461,0.998,0.388,0.242,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.262,0.092,0.461,0.986,0.45,0.225,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.717,0.333,0.461,0.548,0.515,0.354,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.65,0.105,0.461,0.781,0.499,0.25,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.194,0.0,0.461,1.0,0.414,0.258,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.739,0.006,0.461,0.837,0.511,0.255,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,1.0,0.082,0.461,0.954,0.624,0.312,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.833,0.501,0.461,0.975,0.692,0.432,Muy Alta,FAO,Rio Aconcagua
Sin información,Limache,93.8,0.876,0.327,0.033,0.383,0.561,0.326,0.286,Baja,CIREN,Rio Aconcagua
Sin información,Limache,93.8,0.876,0.838,0.0,0.717,0.585,0.535,0.469,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.151,0.0,0.461,0.893,0.376,0.188,Muy Baja,FAO,Rio Aconcagua
Sin información,Olmué,93.8,0.876,0.557,0.033,0.55,0.779,0.48,0.42,Muy Alta,CIREN,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.314,0.0,0.461,0.936,0.428,0.214,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.163,0.0,0.461,0.843,0.367,0.183,Muy Baja,FAO,Rio Aconcagua
Sin información,Olmué,93.8,0.876,0.342,0.011,0.239,1.0,0.398,0.349,Alta,CIREN,Rio Aconcagua
Sin información,Limache,93.8,0.876,0.498,0.026,0.295,0.848,0.417,0.365,Alta,CIREN,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,1.0,0.715,0.461,0.989,0.791,0.396,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.142,0.0,0.461,0.768,0.343,0.171,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.258,0.744,0.461,0.957,0.605,0.378,Alta,FAO,Rio Aconcagua
Sin información,Calle Larga,84.4,0.688,0.391,0.277,0.461,0.871,0.5,0.344,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.325,0.126,0.461,0.778,0.422,0.211,Muy Baja,FAO,Rio Aconcagua
Sin información,Limache,93.8,0.876,0.445,0.0,0.0,1.0,0.361,0.316,Moderada,CIREN,Rio Aconcagua
Sin información,Limache,93.8,0.876,0.83,0.043,0.383,0.385,0.41,0.359,Alta,CIREN,Rio Aconcagua
Sin información,Quintero,93.8,0.876,0.302,0.0,0.442,0.549,0.323,0.283,Baja,CIREN,Costeras Ligua-Aconcagua
Sin información,Quintero,93.8,0.876,0.704,0.0,0.442,0.583,0.432,0.379,Alta,CIREN,Rio Aconcagua
Sin información,Hijuelas,87.5,0.75,0.501,0.07,0.195,0.879,0.411,0.308,Moderada,CIREN,Rio Aconcagua
Sin información,Quillota,93.8,0.876,0.317,0.0,0.567,0.739,0.406,0.355,Alta,CIREN,Rio Aconcagua
Sin información,Quillota,93.8,0.876,0.529,0.0,0.467,0.885,0.47,0.412,Muy Alta,CIREN,Rio Aconcagua
Sin información,Calle Larga,75.0,0.5,0.438,0.04,0.384,0.946,0.452,0.226,Muy Baja,CIREN,Rio Aconcagua
Sin información,Calle Larga,75.0,0.5,0.558,0.0,0.525,0.858,0.485,0.243,Baja,CIREN,Rio Aconcagua
Sin información,Los Andes,87.5,0.75,0.203,0.046,0.461,1.0,0.428,0.321,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,87.5,0.75,0.228,0.0,0.461,0.942,0.408,0.306,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,87.5,0.75,0.395,0.12,0.461,1.0,0.494,0.37,Alta,FAO,Rio Aconcagua
Sin información,San Esteban,87.5,0.75,0.172,0.179,0.461,0.802,0.404,0.303,Moderada,FAO,Rio Aconcagua
Estero Puchuncavi - Campiche,Puchuncaví,87.5,0.75,0.535,0.342,1.0,0.669,0.637,0.477,Muy Alta,CIREN,Costeras Ligua-Aconcagua
Estero Puchuncavi - Campiche,Quintero,87.5,0.75,0.234,0.278,0.0,0.695,0.302,0.226,Muy Baja,CIREN,Costeras Ligua-Aconcagua
Sin información,Santa María,81.2,0.624,0.391,0.055,0.384,0.71,0.385,0.24,Baja,CIREN,Rio Aconcagua
Sin información,San Esteban,81.2,0.624,0.405,0.0,0.384,0.869,0.414,0.259,Baja,CIREN,Rio Aconcagua
Sin información,San Esteban,68.8,0.376,0.392,0.012,0.384,0.618,0.352,0.132,Muy Baja,CIREN,Rio Aconcagua
Sin información,San Esteban,68.8,0.376,0.721,0.0,0.384,0.862,0.492,0.185,Muy Baja,CIREN,Rio Aconcagua
Sin información,Nogales,90.6,0.812,0.7,0.022,0.868,0.935,0.631,0.513,Muy Alta,CIREN,Rio Aconcagua
Sin información,San Esteban,81.2,0.624,0.491,0.013,0.384,0.791,0.42,0.262,Baja,CIREN,Rio Aconcagua
Sin información,San Felipe,81.2,0.624,0.258,0.0,0.544,0.0,0.2,0.125,Muy Baja,CIREN,Rio Aconcagua
Sin información,San Felipe,87.5,0.75,0.327,0.043,0.384,0.581,0.334,0.25,Baja,CIREN,Rio Aconcagua
Sin información,San Felipe,87.5,0.75,0.363,0.053,0.434,0.727,0.394,0.296,Moderada,CIREN,Rio Aconcagua
Sin información,Catemu,87.5,0.75,0.663,0.0,0.717,0.899,0.57,0.427,Muy Alta,FAO,Rio Aconcagua
Sin información,Catemu,87.5,0.75,0.402,0.107,0.717,0.879,0.526,0.395,Alta,FAO,Rio Aconcagua
Sin información,Catemu,87.5,0.75,0.514,0.0,0.525,0.94,0.495,0.371,Alta,CIREN,Rio Aconcagua
Sin información,San Felipe,87.5,0.75,0.411,0.109,0.384,0.619,0.381,0.286,Baja,CIREN,Rio Aconcagua
Sin información,San Felipe,87.5,0.75,0.428,0.062,0.384,0.688,0.39,0.293,Moderada,CIREN,Rio Aconcagua
Sin información,Nogales,87.5,0.75,0.31,0.028,0.483,0.833,0.414,0.31,Moderada,CIREN,Rio Aconcagua
Sin información,Zapallar,87.5,0.75,0.832,0.0,0.717,0.803,0.588,0.441,Muy Alta,FAO,Costeras Ligua-Aconcagua
Sin información,Zapallar,87.5,0.75,1.0,0.076,0.55,1.0,0.657,0.492,Muy Alta,CIREN,Costeras Ligua-Aconcagua
Sin información,Zapallar,87.5,0.75,0.263,0.0,0.55,0.865,0.42,0.315,Moderada,CIREN,Costeras Ligua-Aconcagua
Sin información,Zapallar,87.5,0.75,0.291,0.0,0.55,0.837,0.42,0.315,Moderada,CIREN,Costeras Ligua-Aconcagua
Sin información,Zapallar,87.5,0.75,0.424,0.0,0.55,1.0,0.494,0.37,Alta,CIREN,Costeras Ligua-Aconcagua
Sin información,Zapallar,87.5,0.75,1.0,0.187,0.55,1.0,0.684,0.513,Muy Alta,CIREN,Costeras Ligua-Aconcagua
Sin información,Zapallar,93.8,0.876,0.419,0.0,0.0,0.922,0.335,0.294,Moderada,CIREN,Costeras Ligua-Aconcagua
Sin información,San Esteban,87.5,0.75,0.407,0.0,0.461,0.88,0.437,0.328,Moderada,FAO,Rio Aconcagua
Sin información,San Esteban,87.5,0.75,0.421,0.0,0.461,0.97,0.463,0.347,Alta,FAO,Rio Aconcagua
Sin información,San Esteban,87.5,0.75,0.094,0.0,0.461,0.831,0.347,0.26,Baja,FAO,Rio Aconcagua
Sin información,San Esteban,87.5,0.75,1.0,0.755,0.461,0.967,0.796,0.597,Muy Alta,FAO,Rio Aconcagua
Sin información,Zapallar,93.8,0.876,0.187,0.028,0.442,0.994,0.413,0.362,Alta,CIREN,Costeras Ligua-Aconcagua
Sin información,Zapallar,93.8,0.876,0.231,0.039,0.442,0.878,0.397,0.348,Alta,CIREN,Costeras Ligua-Aconcagua
Sin información,San Esteban,87.5,0.75,0.234,0.0,0.461,0.846,0.385,0.289,Moderada,FAO,Rio Aconcagua
Sin información,Putaendo,87.5,0.75,0.404,0.016,0.544,0.361,0.331,0.248,Baja,CIREN,Rio Aconcagua
Sin información,San Esteban,87.5,0.75,0.287,0.278,0.461,0.863,0.472,0.354,Alta,FAO,Rio Aconcagua
Sin información,San Esteban,87.5,0.75,0.697,0.218,0.461,0.732,0.527,0.395,Alta,FAO,Rio Aconcagua
Sin información,Cabildo,87.5,0.75,0.506,0.439,0.553,0.928,0.606,0.455,Muy Alta,FAO,Rio Ligua
Sin información,Putaendo,87.5,0.75,0.263,0.171,0.461,0.808,0.426,0.319,Moderada,FAO,Rio Aconcagua
Sin información,Putaendo,87.5,0.75,0.287,0.039,0.461,0.858,0.411,0.308,Moderada,FAO,Rio Aconcagua
Sin información,Putaendo,87.5,0.75,1.0,0.579,0.461,0.94,0.745,0.559,Muy Alta,FAO,Rio Aconcagua
Sin información,Cabildo,84.4,0.688,0.989,0.0,0.571,0.645,0.551,0.379,Alta,CIREN,Rio Ligua
Sin información,Petorca,87.5,0.75,0.328,0.033,0.25,0.967,0.394,0.296,Moderada,CIREN,Rio Petorca
Sin información,La Ligua,87.5,0.75,0.39,0.25,0.442,0.897,0.495,0.371,Alta,CIREN,Rio Petorca
Sin información,Petorca,87.5,0.75,0.877,1.0,0.461,0.966,0.826,0.62,Muy Alta,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.48,1.0,0.461,0.772,0.678,0.509,Muy Alta,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.296,0.0,0.461,1.0,0.439,0.329,Moderada,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.416,0.0,0.461,1.0,0.469,0.352,Alta,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.696,0.081,0.461,0.947,0.546,0.41,Muy Alta,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,1.0,0.164,0.461,0.887,0.628,0.471,Muy Alta,FAO,Rio Petorca
Sin información,Los Andes,75.0,0.5,0.346,0.0,0.461,0.868,0.419,0.209,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.215,0.407,0.461,0.791,0.468,0.234,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.321,0.0,0.461,0.794,0.394,0.197,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.486,0.0,0.461,0.795,0.436,0.218,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.703,0.148,0.461,0.809,0.53,0.265,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.376,0.0,0.461,1.0,0.459,0.23,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.914,0.285,0.461,0.834,0.624,0.312,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.764,0.0,0.461,1.0,0.556,0.278,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.31,0.172,0.461,0.813,0.439,0.22,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.479,0.243,0.461,0.785,0.492,0.246,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.31,0.0,0.461,1.0,0.443,0.221,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.327,0.0,0.461,0.892,0.42,0.21,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,1.0,0.379,0.461,0.883,0.681,0.34,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,1.0,0.0,0.461,1.0,0.615,0.308,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,1.0,0.0,0.461,0.833,0.574,0.287,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.329,0.038,0.461,0.857,0.421,0.211,Muy Baja,FAO,Rio Aconcagua
Sin información,Calle Larga,84.4,0.688,0.342,0.153,0.461,0.931,0.472,0.325,Moderada,FAO,Rio Aconcagua
Sin información,Calle Larga,84.4,0.688,0.088,0.142,0.461,0.518,0.302,0.208,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.233,0.117,0.461,0.571,0.346,0.173,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.123,0.529,0.461,0.612,0.431,0.216,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.406,0.0,0.461,0.758,0.406,0.203,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.726,0.128,0.461,0.306,0.405,0.203,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.276,0.0,0.461,0.935,0.418,0.209,Muy Baja,FAO,Rio Aconcagua
Sin información,Calle Larga,84.4,0.688,0.037,0.364,0.461,0.576,0.36,0.247,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.336,0.0,0.461,0.816,0.403,0.202,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.661,0.524,0.461,0.626,0.568,0.284,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.168,0.0,0.461,0.774,0.351,0.175,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.455,0.0,0.461,0.587,0.376,0.188,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.362,0.157,0.461,0.929,0.477,0.239,Baja,FAO,Rio Aconcagua
Sin información,Calle Larga,84.4,0.688,0.109,0.122,0.461,1.0,0.423,0.291,Moderada,FAO,Rio Aconcagua
Sin información,Calle Larga,84.4,0.688,0.226,0.0,0.461,0.658,0.336,0.231,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.291,0.054,0.461,1.0,0.452,0.226,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.159,0.0,0.461,0.782,0.351,0.175,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.182,0.0,0.461,0.693,0.334,0.167,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.183,0.287,0.461,0.752,0.421,0.21,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.309,0.0,0.461,0.814,0.396,0.198,Muy Baja,FAO,Rio Aconcagua
Sin información,Calle Larga,84.4,0.688,0.137,0.336,0.461,0.722,0.414,0.285,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.214,0.0,0.461,0.837,0.378,0.189,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.62,0.0,0.461,0.971,0.513,0.256,Baja,FAO,Rio Aconcagua
Sin información,Calle Larga,84.4,0.688,0.113,0.0,0.461,0.996,0.392,0.27,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.284,0.293,0.461,1.0,0.51,0.255,Baja,FAO,Rio Aconcagua
