row,col,lon,lat,clim_mean_mm,clim_std_mm,n_years
13,2,-71.7322,-33.0937,40.84,29.94,21
13,3,-71.6252,-33.0960,40.84,29.94,21
13,4,-71.5181,-33.0982,40.84,29.94,21
13,5,-71.4110,-33.1004,40.84,29.94,21
13,6,-71.3039,-33.1024,42.48,32.07,21
13,7,-71.1969,-33.1043,42.48,32.07,21
13,8,-71.0898,-33.1062,54.49,43.88,21
13,16,-70.2327,-33.1176,67.37,63.02,21
14,3,-71.6278,-33.1861,42.95,30.54,21
14,4,-71.5207,-33.1884,42.95,30.54,21
14,5,-71.4135,-33.1905,42.95,30.54,21
14,6,-71.3063,-33.1925,44.79,34.08,21
14,7,-71.1991,-33.1945,44.79,34.08,21
14,8,-71.0919,-33.1963,56.42,48.71,21
15,3,-71.6305,-33.2763,42.95,30.54,21
15,4,-71.5233,-33.2785,42.95,30.54,21
15,5,-71.4160,-33.2806,42.95,30.54,21
15,6,-71.3087,-33.2826,44.79,34.08,21
16,3,-71.6333,-33.3664,45.35,33.39,21
16,4,-71.5259,-33.3686,42.95,30.54,21
16,5,-71.4185,-33.3707,42.95,30.54,21
16,6,-71.3111,-33.3728,44.79,34.08,21
17,3,-71.6360,-33.4565,45.35,33.39,21
17,4,-71.5285,-33.4587,45.35,33.39,21
17,5,-71.4210,-33.4608,45.35,33.39,21
18,4,-71.5311,-33.5488,45.35,33.39,21
18,5,-71.4235,-33.5510,45.35,33.39,21
19,4,-71.5337,-33.6389,45.71,31.31,21
19,5,-71.4260,-33.6411,45.71,31.31,21
20,3,-71.6442,-33.7268,47.00,31.35,21
20,4,-71.5364,-33.7290,45.71,31.31,21
20,5,-71.4285,-33.7312,45.71,31.31,21
21,2,-71.7549,-33.8145,47.00,31.35,21
21,3,-71.6470,-33.8169,47.00,31.35,21
22,2,-71.7578,-33.9046,53.56,32.67,21
22,3,-71.6498,-33.9069,53.56,32.67,21
