nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,recent_v2_mm,anomaly_v2_pct,z_v2,pctl_empirico,factor_correccion,clim_om_mean_mm,twi,expo_topo,expo_met,expo_comp_w30,expo_comp_w50,expo_comp_w70,en_p90,alta_robusta
Embalse 2 Santa María,Valparaíso,Santa María,Humedal asociado a límite urbano,0.520931170581,5208.2684521,HPU-05-12,55997,5,62.2,31.1,0.36,77.3,0.384,47.46,10.72,0.729,0.546,0.674,0.638,0.601,False,False
Embalse Putaendo,Valparaíso,Putaendo,Humedal no asociado a límite urbano,2.54917159927,25487.7649362,HPU-05-13,55998,5,98.2,106.9,1.26,86.4,0.501,47.46,11.48,0.818,0.728,0.791,0.773,0.755,False,False
Embalse Sector Nogales,Valparaíso,Nogales,Humedal no asociado a límite urbano,1.06632379581,10666.0838846,HPU-05-14,55999,5,118.0,193.4,2.33,90.9,0.571,40.22,8.7,0.494,0.818,0.591,0.656,0.721,True,False
Embalse Putaendo 2,Valparaíso,Putaendo,Humedal no asociado a límite urbano,2.86798876095,28675.4129344,HPU-05-16,56000,5,98.2,106.9,1.26,86.4,0.501,47.46,9.67,0.607,0.728,0.643,0.668,0.692,False,False
Embalse sector Limache,Valparaíso,Limache,Humedal no asociado a límite urbano,0.670582967583,6707.71144772,HPU-05-17,56001,5,134.4,213.9,2.86,95.5,0.672,42.82,7.62,0.369,0.91,0.531,0.64,0.748,True,False
Embalse Llay Llay 1,Valparaíso,Llaillay,Humedal no asociado a límite urbano,2.51225065916,25123.777027,HPU-05-18,56002,5,103.0,109.4,1.27,86.4,0.5,49.19,9.19,0.552,0.728,0.605,0.64,0.675,False,False
Embalse 2 Los Andes,Valparaíso,San Esteban,Humedal no asociado a límite urbano,0.519967976031,5198.33131671,HPU-05-20,56003,5,55.4,16.7,0.2,68.2,0.352,47.46,8.54,0.476,0.364,0.442,0.42,0.398,False,False
Embalse 9 Los Andes,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.113787359981,1137.61301121,HPU-05-21,56004,5,63.4,33.6,0.39,77.3,0.391,47.46,7.06,0.303,0.546,0.376,0.424,0.473,False,False
Embalse 4 Los Andes,Valparaíso,San Esteban,Humedal no asociado a límite urbano,0.966132589036,9658.84093062,HPU-05-22,56005,5,55.4,16.7,0.2,68.2,0.352,47.46,7.83,0.393,0.364,0.384,0.378,0.373,False,False
Embalse 8 Los Andes,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.103018413527,1029.94598452,HPU-05-23,56006,5,63.4,33.6,0.39,77.3,0.391,47.46,7.69,0.376,0.546,0.427,0.461,0.495,False,False
Embalse 6 Los Andes,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.566526845489,5663.96733374,HPU-05-24,56007,5,63.4,33.6,0.39,77.3,0.391,47.46,6.7,0.261,0.546,0.347,0.404,0.46,False,False
Embalse 7 Los Andes,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0806066644599,805.88219735,HPU-05-25,56008,5,63.4,33.6,0.39,77.3,0.391,47.46,7.31,0.333,0.546,0.397,0.44,0.482,False,False
Laguna Quebrada Cruz de Piedra,Valparaíso,Papudo,Humedal asociado a límite urbano,4.02206648338,40239.9700323,HUR-05-03,56131,5,96.9,182.2,2.07,86.4,0.503,34.34,10.34,0.685,0.728,0.698,0.706,0.715,False,False
Humedal Sector Quebrada El Tigre,Valparaíso,Zapallar,Humedal asociado a límite urbano,6.70128497978,67045.7488421,HUR-05-04,56132,5,95.6,178.4,2.03,86.4,0.499,34.34,7.62,0.369,0.728,0.477,0.548,0.62,False,False
Embalse,Valparaíso,Rinconada,Humedal no asociado a límite urbano,0.892284113469,8921.29335755,HUR-05-09,56133,5,63.4,33.6,0.39,77.3,0.391,47.46,8.46,0.467,0.546,0.491,0.507,0.522,False,False
Embalse,Valparaíso,Calle Larga,Humedal asociado a límite urbano,0.259465301985,2594.129493,HUR-05-10,56134,5,63.4,33.6,0.39,77.3,0.391,47.46,7.85,0.395,0.546,0.44,0.471,0.501,False,False
