nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,recent_v2_mm,anomaly_v2_pct,z_v2,pctl_empirico,factor_correccion,clim_om_mean_mm,twi,expo_topo,expo_met,expo_comp_w30,expo_comp_w50,expo_comp_w70,en_p90,alta_robusta
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.203870662836,2040.0092872,,58301,5,71.6,57.5,0.78,77.3,0.461,45.47,7.2,0.32,0.546,0.388,0.433,0.478,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.709261621608,7095.97540556,,58303,5,94.8,118.8,1.68,86.4,0.467,43.32,15.25,1.0,0.728,0.918,0.864,0.81,False,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.306235060512,3064.32560678,,58304,5,71.6,57.5,0.78,77.3,0.461,45.47,9.87,0.631,0.546,0.605,0.588,0.572,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.870339615973,8708.45389692,,58305,5,79.2,82.8,1.17,86.4,0.454,43.32,7.31,0.333,0.728,0.452,0.53,0.609,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,1.23415948776,12345.3979936,,58309,5,101.3,124.4,1.65,86.4,0.496,45.14,7.8,0.389,0.728,0.491,0.558,0.626,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,61.5588987643,615770.347827,,58310,5,101.3,124.4,1.65,86.4,0.496,45.14,8.34,0.452,0.728,0.535,0.59,0.645,False,False
Sector Agrosuper,Valparaíso,Casablanca,Humedal asociado a límite urbano,0.738488125518,7387.31977254,HUR-05-154,58311,5,101.3,124.4,1.65,86.4,0.496,45.14,6.87,0.281,0.728,0.415,0.504,0.594,False,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.120979762657,1210.53515047,,58312,5,79.2,82.8,1.17,86.4,0.454,43.32,8.63,0.486,0.728,0.559,0.607,0.655,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,7.94108751223,79450.793903,,58313,5,94.8,118.8,1.68,86.4,0.467,43.32,9.29,0.563,0.728,0.612,0.646,0.678,False,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.0421622936229,421.901594791,,58314,5,71.6,57.5,0.78,77.3,0.461,45.47,7.22,0.322,0.546,0.389,0.434,0.479,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.102540443461,1025.90603507,,58316,5,94.8,118.8,1.68,86.4,0.467,43.32,9.64,0.604,0.728,0.641,0.666,0.691,False,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.355253007676,3554.70954927,,58318,5,79.2,82.8,1.17,86.4,0.454,43.32,9.77,0.619,0.728,0.652,0.674,0.695,False,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.26470426296,2648.66479798,,58319,5,79.2,82.8,1.17,86.4,0.454,43.32,6.99,0.295,0.728,0.425,0.511,0.598,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,4.47770452619,44798.9409327,,58320,5,94.8,118.8,1.68,86.4,0.467,43.32,8.09,0.424,0.728,0.515,0.576,0.637,False,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.97258710491,9731.86172284,,58321,5,79.2,82.8,1.17,86.4,0.454,43.32,9.4,0.576,0.728,0.622,0.652,0.682,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,1.14671643134,11471.0505061,,58322,5,101.3,124.4,1.65,86.4,0.496,45.14,7.22,0.322,0.728,0.444,0.525,0.606,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,1.48021332185,14807.3264043,,58323,5,101.3,124.4,1.65,86.4,0.496,45.14,10.04,0.65,0.728,0.673,0.689,0.705,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,3.40712221122,34088.4581319,,58326,5,79.2,82.8,1.17,86.4,0.454,43.32,8.09,0.423,0.728,0.514,0.576,0.636,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.144709963931,1447.9105328,,58327,5,79.2,82.8,1.17,86.4,0.454,43.32,9.01,0.531,0.728,0.59,0.63,0.669,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,2.37936038571,23807.0355918,,58328,5,79.2,82.8,1.17,86.4,0.454,43.32,7.22,0.322,0.728,0.444,0.525,0.606,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.878081107446,8785.17489718,,58329,5,94.8,118.8,1.68,86.4,0.467,43.32,12.92,0.987,0.728,0.909,0.857,0.806,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.891144110815,8914.51946066,,58331,5,101.3,124.4,1.65,86.4,0.496,45.14,9.17,0.549,0.728,0.603,0.639,0.674,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.621700128001,6219.52345809,,58332,5,94.8,118.8,1.68,86.4,0.467,43.32,10.02,0.648,0.728,0.672,0.688,0.704,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,1.04094173347,10413.3958012,,58333,5,101.3,124.4,1.65,86.4,0.496,45.14,8.06,0.42,0.728,0.512,0.574,0.636,False,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.0709392192162,709.830092058,,58334,5,79.2,82.8,1.17,86.4,0.454,43.32,10.89,0.75,0.728,0.743,0.739,0.735,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.6708022031,6710.41034905,,58335,5,101.3,124.4,1.65,86.4,0.496,45.14,8.95,0.523,0.728,0.584,0.626,0.666,False,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.171568886835,1716.78361155,,58336,5,71.6,57.5,0.78,77.3,0.461,45.47,6.67,0.258,0.546,0.344,0.402,0.46,False,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.0712124394182,712.558215894,,58337,5,79.2,82.8,1.17,86.4,0.454,43.32,7.45,0.349,0.728,0.463,0.538,0.614,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.781359584359,7816.66100264,,58338,5,101.3,124.4,1.65,86.4,0.496,45.14,11.14,0.779,0.728,0.764,0.754,0.743,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.915520441703,9158.77266665,,58339,5,101.3,124.4,1.65,86.4,0.496,45.14,7.65,0.372,0.728,0.479,0.55,0.621,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.436328390508,4365.38824872,,58340,5,94.8,118.8,1.68,86.4,0.467,43.32,8.2,0.436,0.728,0.524,0.582,0.64,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,2.18446035016,21852.2957135,,58341,5,101.3,124.4,1.65,86.4,0.496,45.14,9.09,0.539,0.728,0.596,0.634,0.671,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.0905318352602,905.751274348,,58342,5,94.8,118.8,1.68,86.4,0.467,43.32,10.83,0.743,0.728,0.738,0.736,0.732,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.642703057476,6429.40778713,,58344,5,101.3,124.4,1.65,86.4,0.496,45.14,6.92,0.287,0.728,0.419,0.507,0.596,False,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.670729268008,6710.48708111,,58346,5,119.2,175.1,2.47,90.9,0.534,43.32,13.72,1.0,0.818,0.945,0.909,0.873,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.655722758943,6560.45384908,,58347,5,119.2,175.1,2.47,90.9,0.534,43.32,7.98,0.411,0.818,0.533,0.614,0.696,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.498085075814,4983.11338853,,58349,5,119.2,175.1,2.47,90.9,0.534,43.32,7.91,0.402,0.818,0.527,0.61,0.693,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.226319779171,2264.35241114,,58350,5,108.4,150.2,2.12,90.9,0.527,43.32,6.86,0.28,0.818,0.441,0.549,0.657,True,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.0544249221553,544.604497862,,58351,5,107.1,147.2,2.08,90.9,0.521,43.32,15.98,1.0,0.818,0.945,0.909,0.873,True,True
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.00349059692428,34.9287194202,,58352,5,107.1,147.2,2.08,90.9,0.521,43.32,13.46,1.0,0.818,0.945,0.909,0.873,True,True
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.484477413139,4847.87457601,,58353,5,107.1,147.2,2.08,90.9,0.521,43.32,7.27,0.328,0.818,0.475,0.573,0.671,True,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.582628686172,5829.89544963,,58354,5,108.4,150.2,2.12,90.9,0.527,43.32,7.63,0.37,0.818,0.504,0.594,0.684,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,9.02769216749,90320.4582588,,58356,5,119.2,175.1,2.47,90.9,0.534,43.32,15.93,1.0,0.818,0.945,0.909,0.873,True,True
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.555207410661,5555.23253095,,58357,5,108.4,150.2,2.12,90.9,0.527,43.32,12.44,0.93,0.818,0.896,0.874,0.852,True,True
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.0563933909411,564.286991279,,58359,5,107.1,147.2,2.08,90.9,0.521,43.32,7.29,0.33,0.818,0.476,0.574,0.672,True,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.126742470369,1268.21577438,,58361,5,107.1,147.2,2.08,90.9,0.521,43.32,11.62,0.835,0.818,0.83,0.826,0.823,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,1.56537887093,15658.9739137,,58363,5,115.1,155.0,2.05,90.9,0.549,45.14,10.51,0.705,0.818,0.739,0.762,0.784,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.676255786079,6764.94635607,,58364,5,115.1,155.0,2.05,90.9,0.549,45.14,8.01,0.414,0.818,0.535,0.616,0.697,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.945450310091,9459.12780514,,58365,5,119.2,175.1,2.47,90.9,0.534,43.32,20.42,1.0,0.818,0.945,0.909,0.873,True,True
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.205578399894,2057.00422455,,58366,5,108.4,150.2,2.12,90.9,0.527,43.32,12.8,0.972,0.818,0.926,0.895,0.864,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.589702855674,5900.01836016,,58367,5,108.4,150.2,2.12,90.9,0.527,43.32,7.4,0.343,0.818,0.486,0.58,0.675,True,False
Humedal Sector Tunquen 1,Valparaíso,Algarrobo,Humedal asociado a límite urbano,0.16798305197,1680.9386088,HUR-05-140,58368,5,107.1,147.2,2.08,90.9,0.521,43.32,8.25,0.442,0.818,0.555,0.63,0.705,True,False
Humedal Sector Tunquen 2,Valparaíso,Algarrobo,Humedal asociado a límite urbano,0.0807197987526,807.732835344,HUR-05-141,58369,5,107.1,147.2,2.08,90.9,0.521,43.32,7.98,0.411,0.818,0.533,0.614,0.696,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,1.25800801714,12585.4606287,,58370,5,119.2,175.1,2.47,90.9,0.534,43.32,6.79,0.272,0.818,0.436,0.545,0.654,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,1.06160042208,10620.6157698,,58371,5,119.2,175.1,2.47,90.9,0.534,43.32,7.21,0.32,0.818,0.469,0.569,0.669,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.898569376877,8989.44649012,,58372,5,119.2,175.1,2.47,90.9,0.534,43.32,7.73,0.381,0.818,0.512,0.599,0.687,True,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.0393727825971,393.984514638,,58373,5,107.1,147.2,2.08,90.9,0.521,43.32,11.04,0.767,0.818,0.782,0.792,0.803,True,True
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.0175775016513,175.889686263,,58374,5,107.1,147.2,2.08,90.9,0.521,43.32,9.97,0.643,0.818,0.696,0.73,0.766,True,True
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.358767095972,3589.87339826,,58375,5,108.4,150.2,2.12,90.9,0.527,43.32,13.76,1.0,0.818,0.945,0.909,0.873,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.5530187988,5532.90223155,,58376,5,119.2,175.1,2.47,90.9,0.534,43.32,7.47,0.352,0.818,0.492,0.585,0.678,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.705334225691,7056.26517259,,58377,5,119.2,175.1,2.47,90.9,0.534,43.32,9.24,0.557,0.818,0.635,0.688,0.74,True,True
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.246986513626,2471.41295017,,58378,5,107.1,147.2,2.08,90.9,0.521,43.32,10.07,0.655,0.818,0.704,0.736,0.769,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.697776770117,6980.82326406,,58379,5,119.2,175.1,2.47,90.9,0.534,43.32,7.86,0.396,0.818,0.523,0.607,0.691,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.529042346339,5292.18534756,,58380,5,115.1,155.0,2.05,90.9,0.549,45.14,7.85,0.395,0.818,0.522,0.606,0.691,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.0100448944118,100.502045617,,58381,5,108.4,150.2,2.12,90.9,0.527,43.32,7.75,0.383,0.818,0.514,0.6,0.687,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.0529972900043,530.35109556,,58382,5,107.1,147.2,2.08,90.9,0.521,43.32,14.91,1.0,0.818,0.945,0.909,0.873,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.437399261192,4375.89552654,,58383,5,119.2,175.1,2.47,90.9,0.534,43.32,10.11,0.659,0.818,0.707,0.738,0.77,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.933554274244,9339.53528775,,58384,5,119.2,175.1,2.47,90.9,0.534,43.32,7.72,0.38,0.818,0.511,0.599,0.687,True,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.00851906465933,85.2485138726,,58387,5,107.1,147.2,2.08,90.9,0.521,43.32,6.71,0.263,0.818,0.43,0.54,0.651,True,False
Sin información,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.00924604403779,92.5134001585,,58388,5,108.4,150.2,2.12,90.9,0.527,43.32,6.13,0.195,0.818,0.382,0.506,0.631,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.188865405462,1889.70521103,,58389,5,108.4,150.2,2.12,90.9,0.527,43.32,8.38,0.457,0.818,0.565,0.638,0.71,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.248964843029,2490.99592333,,58391,5,108.4,150.2,2.12,90.9,0.527,43.32,6.09,0.19,0.818,0.378,0.504,0.63,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.846346891952,8467.01954422,,58393,5,119.2,175.1,2.47,90.9,0.534,43.32,7.22,0.321,0.818,0.47,0.57,0.669,True,False
Humedal Sector Tunquen 3,Valparaíso,Casablanca,Humedal asociado a límite urbano,0.0171569565648,171.691766879,HUR-05-148,58395,5,107.1,147.2,2.08,90.9,0.521,43.32,7.06,0.303,0.818,0.457,0.56,0.663,True,False
Humedal Sector Tunquen 4,Valparaíso,Casablanca,Humedal asociado a límite urbano,0.183296579258,1834.27236934,HUR-05-149,58397,5,107.1,147.2,2.08,90.9,0.521,43.32,8.06,0.42,0.818,0.539,0.619,0.699,True,False
Humedal Sector Tunquen 5,Valparaíso,Casablanca,Humedal asociado a límite urbano,0.510253128893,5106.17453844,HUR-05-150,58401,5,107.1,147.2,2.08,90.9,0.521,43.32,8.56,0.478,0.818,0.58,0.648,0.716,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.732021792984,7324.43072603,,58402,5,108.4,150.2,2.12,90.9,0.527,43.32,16.75,1.0,0.818,0.945,0.909,0.873,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,2.41682286613,24178.074119,,58403,5,119.2,175.1,2.47,90.9,0.534,43.32,7.55,0.361,0.818,0.498,0.589,0.681,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,3.33684341508,33388.0185047,,58404,5,108.4,150.2,2.12,90.9,0.527,43.32,17.21,1.0,0.818,0.945,0.909,0.873,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,1.52209038665,15226.391988,,58405,5,115.1,155.0,2.05,90.9,0.549,45.14,11.08,0.772,0.818,0.786,0.795,0.804,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.0189291310827,189.407577832,,58406,5,108.4,150.2,2.12,90.9,0.527,43.32,11.42,0.812,0.818,0.814,0.815,0.816,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.789214997668,7896.16779318,,58407,5,108.4,150.2,2.12,90.9,0.527,43.32,6.89,0.283,0.818,0.443,0.55,0.657,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,14.3544812677,143625.394019,,58408,5,108.4,150.2,2.12,90.9,0.527,43.32,19.48,1.0,0.818,0.945,0.909,0.873,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,2.32743938563,23284.6639179,,58409,5,119.2,175.1,2.47,90.9,0.534,43.32,7.73,0.381,0.818,0.512,0.599,0.687,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.0262397569336,262.57619408,,58410,5,107.1,147.2,2.08,90.9,0.521,43.32,8.65,0.488,0.818,0.587,0.653,0.719,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,1.75761976546,17581.831305,,58411,5,115.1,155.0,2.05,90.9,0.549,45.14,8.12,0.427,0.818,0.544,0.622,0.701,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.152383901388,1524.65544921,,58413,5,142.3,228.5,3.22,95.5,0.572,43.32,7.6,0.366,0.91,0.529,0.638,0.747,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,10.1672108527,101707.026369,,58414,5,119.8,165.4,2.19,90.9,0.589,45.14,10.56,0.711,0.818,0.743,0.764,0.786,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,71.0013249017,710332.265253,,58415,5,136.1,214.1,3.02,95.5,0.577,43.32,8.43,0.462,0.91,0.596,0.686,0.776,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.148997782253,1490.94030329,,58416,5,127.2,193.6,2.73,95.5,0.562,43.32,5.13,0.079,0.91,0.328,0.494,0.661,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.195304531474,1954.13900882,,58417,5,142.3,228.5,3.22,95.5,0.572,43.32,15.55,1.0,0.91,0.973,0.955,0.937,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,2.76070162946,27618.8870615,,58418,5,136.1,214.1,3.02,95.5,0.577,43.32,17.15,1.0,0.91,0.973,0.955,0.937,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,9.36714353118,93714.3993442,,58419,5,136.1,214.1,3.02,95.5,0.577,43.32,14.47,1.0,0.91,0.973,0.955,0.937,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,1.71189335555,17128.3654783,,58420,5,142.3,228.5,3.22,95.5,0.572,43.32,11.9,0.868,0.91,0.881,0.889,0.897,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,3.71692223358,37184.9888638,,58421,5,136.1,214.1,3.02,95.5,0.577,43.32,6.83,0.277,0.91,0.467,0.594,0.72,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.0744961048059,745.362404778,,58422,5,142.3,228.5,3.22,95.5,0.572,43.32,11.22,0.788,0.91,0.825,0.849,0.873,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,1.42697015449,14276.9465188,,58423,5,142.3,228.5,3.22,95.5,0.572,43.32,7.32,0.334,0.91,0.507,0.622,0.737,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.967472121976,9679.54985087,,58424,5,136.1,214.1,3.02,95.5,0.577,43.32,15.95,1.0,0.91,0.973,0.955,0.937,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,2.52919389654,25302.2936645,,58425,5,136.1,214.1,3.02,95.5,0.577,43.32,14.8,1.0,0.91,0.973,0.955,0.937,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.0294411535326,294.57075024,,58426,5,142.3,228.5,3.22,95.5,0.572,43.32,12.12,0.893,0.91,0.898,0.902,0.905,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,2.25084099436,22519.7439214,,58427,5,136.1,214.1,3.02,95.5,0.577,43.32,5.29,0.097,0.91,0.341,0.504,0.666,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.717673214629,7181.23872408,,58428,5,127.2,193.6,2.73,95.5,0.562,43.32,14.94,1.0,0.91,0.973,0.955,0.937,True,True
Sector Quintay N°4,Valparaíso,Casablanca,Humedal asociado a límite urbano,0.0370527382894,370.807317897,HUR-05-152,58429,5,127.2,193.6,2.73,95.5,0.562,43.32,10.45,0.698,0.91,0.762,0.804,0.846,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,9.1018114595,91073.9823904,,58430,5,142.3,228.5,3.22,95.5,0.572,43.32,14.09,1.0,0.91,0.973,0.955,0.937,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,2.43882339692,24398.3831102,,58431,5,136.1,214.1,3.02,95.5,0.577,43.32,15.49,1.0,0.91,0.973,0.955,0.937,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.0460593651287,460.894892985,,58433,5,127.2,193.6,2.73,95.5,0.562,43.32,6.05,0.185,0.91,0.402,0.548,0.692,True,False
Sin información,Valparaíso,Valparaíso,Humedal no asociado a límite urbano,5.74360832272,57469.322421,,58434,5,142.3,228.5,3.22,95.5,0.572,43.32,7.41,0.344,0.91,0.514,0.627,0.74,True,False
Sin información,Valparaíso,Valparaíso,Humedal no asociado a límite urbano,7.25025288736,72543.0677301,,58435,5,142.3,228.5,3.22,95.5,0.572,43.32,13.55,1.0,0.91,0.973,0.955,0.937,True,True
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,1.83505016145,18357.9925789,,58436,5,136.1,214.1,3.02,95.5,0.577,43.32,6.67,0.258,0.91,0.454,0.584,0.714,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,3.48052899439,34819.4107301,,58437,5,136.1,214.1,3.02,95.5,0.577,43.32,6.83,0.276,0.91,0.466,0.593,0.72,True,False
Sin información,Valparaíso,Valparaíso,Humedal no asociado a límite urbano,0.433592282232,4338.24767589,,58439,5,142.3,228.5,3.22,95.5,0.572,43.32,6.93,0.288,0.91,0.475,0.599,0.723,True,False
Sin información,Valparaíso,Casablanca,Humedal no asociado a límite urbano,0.096929624793,969.939031919,,58440,5,127.2,193.6,2.73,95.5,0.562,43.32,13.03,0.999,0.91,0.972,0.954,0.937,True,True
Sin información,Valparaíso,Quilpué,Humedal no asociado a límite urbano,3.83065815899,38318.7318837,,58443,5,119.8,165.4,2.19,90.9,0.589,45.14,7.62,0.368,0.818,0.503,0.593,0.683,True,False
Sin información,Valparaíso,Quilpué,Humedal no asociado a límite urbano,3.93462578668,39357.3544367,,58446,5,125.9,178.9,2.37,95.5,0.619,45.14,10.14,0.663,0.91,0.737,0.786,0.836,True,True
Sin información,Valparaíso,Quilpué,Humedal no asociado a límite urbano,0.0184999821099,185.05157563,,58447,5,125.9,178.9,2.37,95.5,0.619,45.14,6.74,0.266,0.91,0.459,0.588,0.717,True,False
Sin información,Valparaíso,Valparaíso,Humedal no asociado a límite urbano,1.80281641564,18038.9199611,,58450,5,142.3,228.5,3.22,95.5,0.572,43.32,9.33,0.568,0.91,0.671,0.739,0.807,True,True
Sin información,Valparaíso,Quilpué,Humedal no asociado a límite urbano,0.451409537868,4516.00206782,,58459,5,136.1,214.1,3.02,95.5,0.577,43.32,16.61,1.0,0.91,0.973,0.955,0.937,True,True
Sin información,Valparaíso,Quilpué,Humedal no asociado a límite urbano,1.5718982991,15724.3523061,,58462,5,119.8,165.4,2.19,90.9,0.589,45.14,9.45,0.582,0.818,0.653,0.7,0.747,True,True
Sin información,Valparaíso,Quilpué,Humedal no asociado a límite urbano,7.24184461023,72448.7702133,,58463,5,136.1,214.1,3.02,95.5,0.577,43.32,9.63,0.603,0.91,0.695,0.756,0.818,True,True
Sin información,Valparaíso,Valparaíso,Humedal no asociado a límite urbano,0.0182197579939,182.336605878,,58464,5,107.2,161.0,2.2,90.9,0.562,41.07,6.57,0.246,0.818,0.418,0.532,0.646,True,False
Sin información,Valparaíso,Quilpué,Humedal no asociado a límite urbano,1.59628420425,15969.8116021,,58466,5,128.5,212.9,2.91,95.5,0.601,41.07,7.6,0.367,0.91,0.53,0.639,0.747,True,False
Sin información,Valparaíso,Quilpué,Humedal no asociado a límite urbano,2.08722969972,20879.3648298,,58469,5,125.7,193.6,2.58,95.5,0.615,42.82,14.71,1.0,0.91,0.973,0.955,0.937,True,True
Sin información,Valparaíso,Quilpué,Humedal no asociado a límite urbano,11.2857896631,112872.59068,,58472,5,175.7,220.4,2.76,95.5,0.784,54.83,6.58,0.247,0.91,0.446,0.578,0.711,True,False
Sin información,Valparaíso,Quilpué,Humedal no asociado a límite urbano,7.75104148454,77538.7950705,,58475,5,125.7,193.6,2.58,95.5,0.615,42.82,9.23,0.556,0.91,0.662,0.733,0.804,True,True
Embalse El Peral,Valparaíso,Valparaíso,Humedal asociado a límite urbano,3.42845785316,34304.8338894,HUR-05-41,58478,5,159.4,288.1,3.94,95.5,0.589,41.07,6.21,0.204,0.91,0.416,0.557,0.698,True,False
Sin información,Valparaíso,Valparaíso,Humedal no asociado a límite urbano,0.636306991451,6367.37443966,,58481,5,133.4,224.8,3.08,95.5,0.577,41.07,15.28,1.0,0.91,0.973,0.955,0.937,True,True
Sin información,Valparaíso,Valparaíso,Humedal no asociado a límite urbano,0.0352384177223,352.622339879,,58483,5,133.4,224.8,3.08,95.5,0.577,41.07,9.12,0.543,0.91,0.653,0.726,0.8,True,True
Sin información,Valparaíso,Valparaíso,Humedal no asociado a límite urbano,0.080556474884,806.104407761,,58484,5,133.4,224.8,3.08,95.5,0.577,41.07,8.53,0.474,0.91,0.605,0.692,0.779,True,True
Sin información,Valparaíso,Valparaíso,Humedal no asociado a límite urbano,0.067142228128,671.873169678,,58485,5,133.4,224.8,3.08,95.5,0.577,41.07,13.52,1.0,0.91,0.973,0.955,0.937,True,True
Sin información,Valparaíso,Quilpué,Humedal no asociado a límite urbano,1.52569316716,15262.7482451,,58489,5,125.7,193.6,2.58,95.5,0.615,42.82,7.34,0.336,0.91,0.508,0.623,0.738,True,False
