nom_humed,comuna,concavidad,depresion_m,acc_topo
Sin información,Quilpué,0.0009,0.0,0.068
Sin información,Villa Alemana,-0.0002,0.0,0.0
Sin información,Quilpué,-0.0005,1.2,0.178
Sin información,Villa Alemana,-0.006,0.67,0.099
Sin información,Quilpué,-0.01,0.0,0.0
Sin información,Quilpué,-0.0007,0.0,0.0
Sin información,Quilpué,-0.007,1.15,0.17
Sin información,Quilpué,-0.0032,0.0,0.0
Sin información,Villa Alemana,-0.0075,2.4,0.356
Sin información,Limache,-0.0022,5.75,0.852
Sin información,Quilpué,-0.0017,0.0,0.0
Sin información,Quilpué,-0.0042,0.0,0.0
Sin información,Valparaíso,-0.0093,1.05,0.155
Sin información,Limache,0.0001,0.0,0.011
Sin información,Quilpué,-0.0009,1.62,0.24
Sin información,Quilpué,-0.0015,0.0,0.0
Sin información,Villa Alemana,-0.0052,0.0,0.0
Sin información,Limache,0.0033,0.0,0.238
Sin información,Limache,0.0001,0.0,0.015
Sin información,Limache,-0.0045,2.37,0.352
Sin información,Limache,-0.002,0.0,0.0
Sin información,Limache,-0.0016,1.65,0.245
Sin información,Limache,-0.0005,2.27,0.336
Sin información,Olmué,-0.0023,0.0,0.0
Sin información,Limache,-0.0006,0.0,0.0
Sin información,Olmué,-0.0049,0.0,0.0
Sin información,Limache,-0.0007,0.0,0.0
Sin información,Limache,-0.0003,2.07,0.307
Sin información,Limache,0.0005,0.0,0.044
Sin información,Villa Alemana,-0.0017,0.0,0.0
Sin información,Limache,-0.0006,0.83,0.122
Sin información,Olmué,-0.0027,0.0,0.0
Sin información,Limache,-0.0008,0.0,0.0
Sin información,Limache,-0.0003,0.0,0.0
Sin información,Olmué,-0.0022,1.84,0.272
Sin información,Limache,-0.0001,0.0,0.001
Sin información,Limache,0.0001,0.0,0.012
Sin información,Olmué,-0.0016,0.53,0.079
Sin información,Limache,-0.0007,3.69,0.547
Sin información,Olmué,-0.0035,0.0,0.0
Sin información,Villa Alemana,-0.0017,0.0,0.0
Sin información,Olmué,0.0002,0.0,0.017
Sin información,Limache,-0.0044,0.75,0.111
Sin información,Limache,-0.0008,0.0,0.0
Sin información,Olmué,-0.0012,0.28,0.042
Sin información,Villa Alemana,-0.0003,0.0,0.0
Sin información,Limache,0.0015,0.0,0.111
Sin información,Olmué,-0.0005,0.0,0.0
Sin información,Limache,-0.0003,0.0,0.0
Sin información,Limache,0.0003,0.0,0.029
Sin información,Limache,-0.0023,0.0,0.0
Sin información,Limache,-0.005,0.89,0.132
Sin información,Quillota,-0.0016,0.0,0.0
Sin información,Quillota,-0.0012,0.0,0.0
Sin información,Quillota,-0.0012,0.0,0.0
Sin información,Quillota,-0.0013,1.25,0.186
Sin información,Quillota,-0.0004,0.0,0.0
Sin información,Quillota,-0.0004,0.27,0.04
Sin información,Quillota,-0.0003,0.0,0.0
Sin información,Quillota,-0.0007,0.0,0.0
Sin información,Quillota,0.0026,0.0,0.189
Sin información,Quillota,-0.0005,0.0,0.0
Sin información,Quillota,-0.0008,0.0,0.0
Sin información,Quillota,0.0001,0.0,0.016
Sin información,Quillota,-0.001,0.0,0.0
Sin información,Quillota,-0.0021,0.0,0.0
Sin información,Quillota,0.0051,0.0,0.369
Sin información,Quillota,-0.0042,2.2,0.326
Sin información,Hijuelas,-0.001,0.0,0.0
Sin información,Quillota,0.0032,0.0,0.236
Sin información,Llaillay,-0.0025,1.36,0.201
Sin información,Quillota,0.0008,0.0,0.065
Sin información,Rinconada,0.0034,0.0,0.247
Sin información,Quillota,-0.0001,0.0,0.001
Sin información,Quillota,-0.0017,0.0,0.0
Sin información,Quillota,-0.0017,3.36,0.498
Sin información,Quillota,0.0031,0.0,0.227
Sin información,Hijuelas,-0.0008,0.0,0.0
Sin información,Los Andes,0.0025,0.0,0.185
Sin información,Hijuelas,0.0031,0.0,0.224
Sin información,Calle Larga,-0.0065,3.82,0.567
Sin información,Quillota,-0.0069,0.0,0.0
Sin información,Hijuelas,-0.0023,0.0,0.0
Sin información,Quillota,0.002,0.0,0.145
Sin información,Quillota,-0.006,0.0,0.0
Sin información,Llaillay,0.0021,0.0,0.157
Sin información,Quillota,0.0001,0.0,0.013
Sin información,Quintero,-0.0001,0.0,0.002
Sin información,Llaillay,-0.0006,0.0,0.0
Sin información,Llaillay,0.0008,0.0,0.063
Sin información,Calle Larga,-0.0001,0.0,0.002
Sin información,Hijuelas,-0.002,0.58,0.087
Sin información,Llaillay,0.0045,0.0,0.324
Sin información,Llaillay,0.0006,0.0,0.045
Sin información,Llaillay,-0.0005,0.0,0.0
Sector Estero Mantagua 1,Quintero,-0.0065,0.0,0.0
Sin información,Quillota,-0.0042,0.0,0.0
Sin información,Quillota,-0.0051,0.0,0.0
Sector Estero Mantagua 2,Quintero,-0.0041,3.15,0.468
Sin información,Quillota,-0.001,0.59,0.088
Estero Mantagua,Quintero,-0.0007,0.0,0.0
Sin información,Rinconada,-0.0016,0.0,0.0
Sin información,Llaillay,-0.0014,0.0,0.0
Sin información,Llaillay,0.0035,0.0,0.252
Sin información,Llaillay,-0.0003,0.0,0.0
Sin información,Quillota,-0.0021,0.0,0.0
Sin información,Calle Larga,-0.0006,0.0,0.0
Sin información,Llaillay,-0.0003,0.0,0.0
Sin información,Calle Larga,0.0032,0.0,0.234
Sin información,La Cruz,-0.0005,0.0,0.0
Sin información,Quillota,-0.0018,0.0,0.0
Sin información,Los Andes,0.0016,0.0,0.118
Sin información,La Cruz,-0.0014,0.02,0.004
Sin información,Calera,0.0004,0.0,0.037
Sin información,Hijuelas,-0.0003,0.0,0.0
Sin información,La Cruz,-0.0012,0.0,0.0
Sin información,La Cruz,-0.0016,0.0,0.0
Sin información,Los Andes,-0.0014,0.0,0.0
Sin información,San Esteban,-0.0006,1.2,0.179
Sin información,Quintero,-0.0021,0.0,0.0
Sin información,Quintero,-0.0022,5.11,0.757
Sin información,Hijuelas,-0.0013,0.0,0.0
Sector Estero Mala Cara 2,Quintero,-0.0024,4.14,0.613
Sin información,Llaillay,0.0016,0.0,0.123
Sector Estero Mala Cara 4,Quintero,-0.0032,3.24,0.481
Sin información,La Cruz,-0.0023,0.0,0.0
Sin información,San Esteban,0.0027,0.0,0.2
Sin información,La Cruz,0.0037,0.0,0.266
Sin información,Quintero,-0.0016,0.0,0.0
Sector Estero Mala Cara 5,Quintero,-0.0008,0.72,0.107
Sin información,Los Andes,-0.0015,0.0,0.0
Estero Mala Cara,Puchuncaví,-0.0045,2.63,0.39
Sin información,San Esteban,0.0052,0.0,0.374
Sin información,Los Andes,0.0016,0.0,0.121
Sin información,La Cruz,0.0003,0.0,0.03
Sin información,Hijuelas,-0.0001,0.0,0.0
Sin información,Panquehue,0.0004,0.0,0.031
Sin información,San Esteban,0.001,0.0,0.08
Sin información,San Felipe,-0.0021,0.0,0.0
Sin información,Puchuncaví,-0.0006,0.0,0.0
Sin información,Hijuelas,0.0054,0.0,0.387
Sin información,San Felipe,0.0007,0.0,0.055
Sin información,Santa María,0.0016,0.0,0.119
Sin información,Santa María,-0.0002,0.0,0.0
Sin información,San Esteban,0.0002,0.0,0.017
Sin información,Santa María,0.0016,0.0,0.119
Sin información,Santa María,-0.0006,0.0,0.0
Sin información,Nogales,-0.0001,0.0,0.0
Sin información,San Esteban,-0.0003,0.0,0.0
Sin información,San Esteban,0.0,0.0,0.009
Sin información,San Esteban,0.0005,0.0,0.043
Sin información,San Esteban,-0.0007,0.0,0.0
Sin información,San Esteban,-0.0007,0.0,0.0
Sin información,San Esteban,0.0006,0.0,0.05
Sin información,San Esteban,-0.001,0.0,0.0
Sin información,San Esteban,0.001,0.0,0.074
Sin información,San Esteban,-0.0009,0.0,0.0
Sin información,San Esteban,-0.0009,0.0,0.0
Sin información,San Esteban,0.0003,0.0,0.03
Sin información,San Esteban,-0.0005,0.0,0.0
Sin información,San Esteban,0.0027,0.0,0.196
Sin información,Santa María,-0.0005,0.0,0.0
Sin información,Puchuncaví,0.0011,0.0,0.083
Sin información,Puchuncaví,-0.0017,0.0,0.0
Sin información,San Esteban,-0.0001,0.0,0.0
Sin información,Catemu,0.0011,0.0,0.083
Sin información,San Esteban,-0.0018,0.0,0.0
Sin información,Puchuncaví,-0.0022,0.68,0.101
Sin información,Santa María,-0.0005,0.0,0.0
Sin información,San Esteban,-0.0005,0.0,0.0
Sin información,Nogales,0.0001,0.0,0.015
Sin información,San Esteban,0.0003,0.0,0.024
Sin información,San Esteban,0.0007,0.0,0.054
Sin información,San Esteban,0.0002,0.0,0.02
Sin información,Santa María,-0.0008,0.0,0.0
Sin información,Puchuncaví,-0.0018,3.49,0.517
Sin información,Nogales,-0.0011,0.0,0.0
Sin información,San Esteban,0.0007,0.0,0.053
Sin información,San Felipe,-0.0008,0.0,0.0
Sin información,San Esteban,0.0012,0.0,0.091
Sin información,Santa María,0.0009,0.0,0.069
Sin información,San Esteban,0.0005,0.0,0.038
Sin información,San Esteban,0.0057,0.0,0.413
Sin información,San Esteban,0.0014,0.0,0.105
Sin información,San Esteban,0.0016,0.0,0.118
Sin información,Nogales,-0.0007,0.0,0.0
Sin información,San Felipe,-0.0015,0.0,0.0
Sin información,Santa María,-0.0011,0.0,0.0
Sin información,Nogales,-0.0007,0.0,0.0
Sin información,Nogales,0.0016,0.0,0.122
Sin información,Nogales,0.0039,0.0,0.28
Sin información,Nogales,0.002,2.71,0.402
Sin información,Santa María,-0.0007,0.24,0.036
Sin información,San Felipe,0.0005,0.0,0.042
Sin información,Catemu,-0.0001,0.0,0.001
Sin información,Catemu,0.0019,0.0,0.143
Sin información,Nogales,-0.001,0.0,0.0
Sin información,Catemu,-0.0008,0.0,0.0
Sin información,Catemu,-0.0006,0.0,0.0
Sin información,Zapallar,0.0041,0.0,0.3
Sin información,Zapallar,0.0081,0.0,0.582
Sin información,Zapallar,0.0024,0.0,0.177
Sin información,Zapallar,-0.0006,0.0,0.0
Esteros Catapilco - La Canela,Zapallar,-0.0033,0.0,0.0
Sin información,Zapallar,-0.0023,0.15,0.022
Sin información,Putaendo,-0.0013,0.0,0.0
Sin información,Putaendo,0.0012,0.0,0.089
Sin información,Putaendo,0.0012,0.0,0.089
Sin información,Putaendo,0.0013,0.0,0.097
Sin información,Putaendo,0.0012,0.0,0.091
Sin información,Putaendo,-0.0025,0.0,0.0
Sin información,Putaendo,0.0006,0.0,0.05
Sin información,Putaendo,0.0018,0.0,0.135
Sin información,La Ligua,-0.001,1.43,0.213
Sin información,Papudo,0.0002,0.0,0.018
Sin información,Cabildo,0.0009,0.0,0.073
Sin información,Cabildo,-0.0008,0.0,0.0
Sin información,Cabildo,-0.0004,0.0,0.0
Sin información,Papudo,0.0001,0.0,0.016
Sin información,Cabildo,0.0007,0.0,0.056
Sin información,Cabildo,-0.0017,0.0,0.0
Sin información,Cabildo,-0.0006,0.0,0.0
Sin información,Cabildo,-0.0002,0.0,0.0
Sin información,Cabildo,-0.0002,0.0,0.0
Sin información,Cabildo,0.0005,0.0,0.04
Sin información,Cabildo,-0.0005,0.0,0.0
Sin información,La Ligua,-0.0006,0.0,0.0
Sin información,Cabildo,-0.0005,0.0,0.0
Sin información,Cabildo,-0.0013,0.0,0.0
Sin información,Cabildo,-0.0019,0.53,0.079
Sin información,Cabildo,-0.0014,0.0,0.0
Sin información,Cabildo,0.0003,0.0,0.026
Sin información,Cabildo,0.0006,0.0,0.05
Sin información,Cabildo,0.0005,0.0,0.044
Sin información,Cabildo,-0.0002,0.0,0.0
Sin información,La Ligua,0.0009,0.0,0.067
Sin información,Cabildo,-0.0004,0.0,0.0
Sin información,Cabildo,0.0004,0.0,0.037
Sin información,Cabildo,-0.003,0.0,0.0
Sin información,Cabildo,0.0006,0.0,0.049
Sin información,Cabildo,-0.0004,0.0,0.0
Sin información,La Ligua,-0.0005,0.04,0.006
Sin información,Cabildo,-0.0103,0.0,0.0
Sin información,Petorca,0.0003,0.0,0.025
Sin información,La Ligua,-0.0011,0.37,0.054
Sin información,La Ligua,-0.0026,0.0,0.0
Sin información,Cabildo,-0.0024,0.0,0.0
Sin información,Cabildo,0.0,0.0,0.008
Sin información,Cabildo,-0.0015,0.0,0.0
Sin información,Cabildo,0.0,0.0,0.006
Sin información,La Ligua,0.0012,0.0,0.09
Sin información,La Ligua,0.0046,0.0,0.336
Sin información,Petorca,-0.0052,1.2,0.179
Sin información,Petorca,-0.0006,0.0,0.0
Sin información,Petorca,-0.0016,0.0,0.0
Sin información,La Ligua,0.0001,0.0,0.011
Sin información,Petorca,-0.0014,0.0,0.0
Sin información,La Ligua,-0.0008,0.0,0.0
Sin información,La Ligua,-0.0001,0.0,0.001
Sin información,La Ligua,0.0004,0.0,0.034
Sin información,La Ligua,0.0013,0.4,0.096
Sin información,La Ligua,-0.0052,1.99,0.296
Sin información,Petorca,-0.0042,0.0,0.0
Sin información,Petorca,-0.0032,0.0,0.0
Sin información,Petorca,0.0027,0.0,0.195
Sin información,Petorca,-0.0017,0.0,0.0
Sin información,Petorca,-0.0023,0.0,0.0
Sin información,Petorca,-0.0028,0.0,0.0
Sin información,Petorca,-0.0027,0.0,0.0
Sin información,Petorca,-0.0021,1.68,0.25
Sin información,Petorca,0.0005,0.0,0.043
Sin información,Petorca,0.0007,0.0,0.055
Sin información,Petorca,-0.0007,0.0,0.0
Sin información,Santo Domingo,0.0001,0.42,0.063
Sin información,Casablanca,0.0002,0.0,0.019
Sin información,Casablanca,-0.0027,7.95,1.0
Sin información,Los Andes,0.0015,0.0,0.114
Sin información,Los Andes,0.0078,0.0,0.56
Sin información,Los Andes,0.0004,4.78,0.709
Sin información,Los Andes,-0.0003,5.92,0.878
Sin información,Los Andes,0.0004,5.19,0.77
Sin información,Los Andes,-0.0035,1.3,0.193
Sin información,Los Andes,-0.0,34.48,1.0
Sin información,Santa María,0.0007,9.1,1.0
Sin información,San Esteban,-0.0077,2.9,0.43
Sin información,Cabildo,-0.0004,5.39,0.8
Sin información,Santo Domingo,0.0007,0.0,0.058
Sin información,Santo Domingo,-0.002,0.35,0.052
Sin información,Santo Domingo,-0.0042,1.42,0.211
Sin información,Santo Domingo,-0.0077,11.97,1.0
Sin información,Santo Domingo,-0.0013,1.56,0.231
Sin información,Santo Domingo,-0.0111,0.0,0.0
Laguna Sector Industrial,Cartagena,0.0025,0.0,0.182
Sin información,El Tabo,-0.0008,0.0,0.0
Sin información,Casablanca,-0.0004,0.0,0.0
Sin información,Casablanca,-0.0031,2.55,0.379
Sin información,Casablanca,-0.005,0.0,0.0
Sin información,Casablanca,0.0004,0.0,0.033
Sin información,Quilpué,-0.0086,0.65,0.097
Sin información,Valparaíso,-0.0084,1.97,0.292
Sin información,Quilpué,-0.0023,0.0,0.0
Sin información,Quilpué,-0.0083,4.3,0.638
Sin información,Quilpué,-0.0041,2.34,0.347
Sin información,Los Andes,-0.0025,0.0,0.0
Sin información,Los Andes,-0.0041,0.0,0.0
Sin información,Los Andes,-0.0027,0.0,0.0
Sin información,Los Andes,-0.0077,0.0,0.0
Sin información,Los Andes,-0.0001,0.0,0.001
Sin información,Los Andes,0.0011,0.0,0.082
Sin información,Los Andes,-0.0067,0.0,0.0
Sin información,Los Andes,-0.0181,3.52,0.522
Sin información,Los Andes,-0.0098,0.0,0.0
Sin información,Los Andes,-0.0003,8.41,1.0
Sin información,Los Andes,-0.0025,0.0,0.0
Sin información,Los Andes,-0.0043,0.0,0.0
Sin información,Los Andes,-0.0019,0.0,0.0
Sin información,Los Andes,0.0025,0.0,0.18
Sin información,Los Andes,-0.0005,0.0,0.0
Sin información,Los Andes,-0.0128,0.0,0.0
Sin información,Los Andes,0.0042,0.0,0.304
Sin información,Los Andes,-0.0005,0.0,0.0
Sin información,Los Andes,-0.0032,0.0,0.0
Sin información,Los Andes,-0.0092,12.96,1.0
Sin información,Los Andes,0.0033,0.0,0.244
Sin información,Los Andes,-0.0005,0.0,0.0
Sin información,Los Andes,-0.0094,0.0,0.0
Sin información,Los Andes,-0.0132,0.0,0.0
Sin información,Los Andes,-0.0057,2.67,0.395
Sin información,Los Andes,-0.0045,0.0,0.0
Sin información,Los Andes,0.0009,0.0,0.073
Sin información,Los Andes,-0.0065,0.0,0.0
Sin información,Los Andes,-0.0024,1.03,0.153
Sin información,Los Andes,-0.0026,0.0,0.0
Sin información,Los Andes,0.0063,0.0,0.451
Sin información,Limache,-0.0003,0.0,0.0
Sin información,Los Andes,-0.0012,0.05,0.008
Sin información,Los Andes,-0.0022,0.61,0.09
Sin información,Los Andes,-0.0051,3.1,0.46
Sin información,Los Andes,-0.0013,0.0,0.0
Sin información,Los Andes,0.0018,0.0,0.135
Sin información,Los Andes,-0.0022,0.0,0.0
Sin información,Los Andes,-0.005,0.62,0.092
Sin información,Los Andes,0.0033,2.25,0.333
Sin información,Los Andes,-0.0015,0.71,0.105
Sin información,Los Andes,-0.0004,0.0,0.0
Sin información,Los Andes,-0.002,0.04,0.006
Sin información,Los Andes,-0.0026,0.56,0.082
Sin información,Los Andes,-0.004,3.38,0.501
Sin información,Limache,0.0004,0.0,0.033
Sin información,Limache,-0.0006,0.0,0.0
Sin información,Los Andes,-0.0009,0.0,0.0
Sin información,Olmué,0.0004,0.0,0.033
Sin información,Los Andes,-0.0016,0.0,0.0
Sin información,Los Andes,-0.0017,0.0,0.0
Sin información,Olmué,0.0001,0.0,0.011
Sin información,Limache,0.0003,0.0,0.026
Sin información,Los Andes,-0.003,4.82,0.715
Sin información,Los Andes,-0.0194,0.0,0.0
Sin información,Los Andes,-0.0034,5.01,0.744
Sin información,Calle Larga,-0.0048,1.87,0.277
Sin información,Los Andes,0.0017,0.0,0.126
Sin información,Limache,-0.0007,0.0,0.0
Sin información,Limache,-0.0012,0.29,0.043
Sin información,Quintero,-0.0011,0.0,0.0
Sin información,Quintero,-0.0014,0.0,0.0
Sin información,Hijuelas,-0.0006,0.48,0.07
Sin información,Quillota,-0.001,0.0,0.0
Sin información,Quillota,-0.0003,0.0,0.0
Sin información,Calle Larga,0.0005,0.0,0.04
Sin información,Calle Larga,-0.0012,0.0,0.0
Sin información,Los Andes,0.0006,0.0,0.046
Sin información,Los Andes,-0.0012,0.0,0.0
Sin información,Los Andes,0.0016,0.0,0.12
Sin información,San Esteban,0.0024,0.0,0.179
Estero Puchuncavi - Campiche,Puchuncaví,-0.0012,2.3,0.342
Estero Puchuncavi - Campiche,Quintero,-0.001,1.88,0.278
Sin información,Santa María,0.0007,0.0,0.055
Sin información,San Esteban,-0.0003,0.0,0.0
Sin información,San Esteban,0.0001,0.0,0.012
Sin información,San Esteban,-0.0009,0.0,0.0
Sin información,Nogales,-0.0002,0.15,0.022
Sin información,San Esteban,0.0001,0.0,0.013
Sin información,San Felipe,-0.0013,0.0,0.0
Sin información,San Felipe,0.0005,0.0,0.043
Sin información,San Felipe,0.0007,0.0,0.053
Sin información,Catemu,-0.0004,0.0,0.0
Sin información,Catemu,0.0014,0.0,0.107
Sin información,Catemu,-0.0025,0.0,0.0
Sin información,San Felipe,0.0014,0.0,0.109
Sin información,San Felipe,0.0008,0.0,0.062
Sin información,Nogales,0.0003,0.0,0.028
Sin información,Zapallar,-0.0018,0.0,0.0
Sin información,Zapallar,-0.0015,0.51,0.076
Sin información,Zapallar,-0.0048,0.0,0.0
Sin información,Zapallar,-0.0016,0.0,0.0
Sin información,Zapallar,-0.0027,0.0,0.0
Sin información,Zapallar,-0.0032,1.26,0.187
Sin información,Zapallar,-0.0011,0.0,0.0
Sin información,San Esteban,-0.0072,0.0,0.0
Sin información,San Esteban,-0.005,0.0,0.0
Sin información,San Esteban,-0.0018,0.0,0.0
Sin información,San Esteban,-0.0029,5.09,0.755
Sin información,Zapallar,0.0003,0.0,0.028
Sin información,Zapallar,0.0005,0.0,0.039
Sin información,San Esteban,-0.0019,0.0,0.0
Sin información,Putaendo,0.0001,0.0,0.016
Sin información,San Esteban,0.0038,0.0,0.278
Sin información,San Esteban,-0.0077,1.47,0.218
Sin información,Cabildo,-0.0019,2.96,0.439
Sin información,Putaendo,0.0023,0.0,0.171
Sin información,Putaendo,0.0005,0.0,0.039
Sin información,Putaendo,-0.0034,3.9,0.579
Sin información,Cabildo,-0.0015,0.0,0.0
Sin información,Petorca,0.0004,0.0,0.033
Sin información,La Ligua,-0.0028,1.68,0.25
Sin información,Petorca,-0.0058,14.75,1.0
Sin información,Petorca,-0.0054,9.81,1.0
Sin información,Petorca,-0.0001,0.0,0.0
Sin información,Petorca,-0.0002,0.0,0.0
Sin información,Petorca,0.0011,0.0,0.081
Sin información,Petorca,-0.0017,1.1,0.164
Sin información,Los Andes,-0.0016,0.0,0.0
Sin información,Los Andes,0.0056,0.0,0.407
Sin información,Los Andes,-0.0035,0.0,0.0
Sin información,Los Andes,-0.0031,0.0,0.0
Sin información,Los Andes,-0.0032,1.0,0.148
Sin información,Los Andes,-0.0011,0.0,0.0
Sin información,Los Andes,-0.006,1.92,0.285
Sin información,Los Andes,-0.0081,0.0,0.0
Sin información,Los Andes,0.0023,0.0,0.172
Sin información,Los Andes,-0.0033,1.64,0.243
Sin información,Los Andes,-0.002,0.0,0.0
Sin información,Los Andes,-0.0007,0.0,0.0
Sin información,Los Andes,-0.003,2.55,0.379
Sin información,Los Andes,-0.0027,0.0,0.0
Sin información,Los Andes,-0.0027,0.0,0.0
Sin información,Los Andes,0.0005,0.0,0.038
Sin información,Calle Larga,0.0021,0.0,0.153
Sin información,Calle Larga,0.0019,0.0,0.142
Sin información,Los Andes,0.0016,0.0,0.117
Sin información,Los Andes,0.0073,0.0,0.529
Sin información,Los Andes,-0.0012,0.0,0.0
Sin información,Los Andes,-0.0051,0.86,0.128
Sin información,Los Andes,-0.0005,0.0,0.0
Sin información,Calle Larga,0.005,0.0,0.364
Sin información,Los Andes,-0.0015,0.0,0.0
Sin información,Los Andes,0.0073,0.0,0.524
Sin información,Los Andes,-0.0018,0.0,0.0
Sin información,Los Andes,-0.0046,0.0,0.0
Sin información,Los Andes,-0.0018,1.06,0.157
Sin información,Calle Larga,0.0016,0.0,0.122
Sin información,Calle Larga,-0.0021,0.0,0.0
Sin información,Los Andes,0.0007,0.0,0.054
Sin información,Los Andes,-0.004,0.0,0.0
Sin información,Los Andes,-0.0003,0.0,0.0
Sin información,Los Andes,0.004,0.0,0.287
Sin información,Los Andes,-0.0016,0.0,0.0
Sin información,Calle Larga,0.0046,0.0,0.336
Sin información,Los Andes,-0.0026,0.0,0.0
Sin información,Los Andes,-0.0008,0.0,0.0
Sin información,Calle Larga,-0.0006,0.0,0.0
Sin información,Los Andes,0.004,0.0,0.293
Sin información,Los Andes,-0.0037,0.0,0.0
Sin información,Los Andes,-0.0027,0.0,0.0
Sin información,Los Andes,0.0017,0.0,0.129
Sin información,Calle Larga,-0.0076,0.0,0.0
Sin información,Calle Larga,-0.0138,0.0,0.0
Sin información,Los Andes,-0.0003,0.0,0.0
Sin información,Los Andes,-0.0011,0.0,0.0
Sin información,Los Andes,-0.0075,0.0,0.0
Sin información,Los Andes,-0.0026,0.0,0.0
Sin información,Los Andes,-0.0012,0.0,0.0
Sin información,Calle Larga,0.0044,0.0,0.319
Sin información,Los Andes,-0.0069,1.31,0.195
Sin información,Los Andes,-0.0007,0.0,0.0
Sin información,Los Andes,-0.0062,0.0,0.0
Sin información,Los Andes,-0.0021,0.0,0.0
Sin información,Calle Larga,-0.0019,0.0,0.0
Sin información,Los Andes,-0.0074,9.81,1.0
Sin información,Los Andes,-0.001,0.0,0.0
Sin información,Calle Larga,-0.0039,0.0,0.0
Sin información,Los Andes,-0.0069,0.0,0.0
Sin información,Los Andes,-0.0017,0.0,0.0
Sin información,Los Andes,-0.0043,3.57,0.53
Sin información,Los Andes,-0.0021,0.0,0.0
Sin información,Los Andes,-0.0022,0.0,0.0
Sin información,Calle Larga,-0.0064,0.0,0.0
Sin información,Calle Larga,-0.0038,0.0,0.0
Sin información,Los Andes,-0.0005,0.0,0.0
Sin información,Calle Larga,0.0036,0.0,0.263
Sin información,Calle Larga,-0.0034,0.0,0.0
Sin información,Los Andes,-0.0039,0.0,0.0
Sin información,Calle Larga,0.0009,0.0,0.072
Sin información,Calle Larga,-0.0138,0.0,0.0
Sin información,Calle Larga,-0.001,0.0,0.0
Sin información,Calle Larga,-0.0159,0.0,0.0
Sin información,Calle Larga,-0.0039,0.0,0.0
Sin información,Calle Larga,0.0049,0.0,0.356
Sin información,Calle Larga,0.0044,0.0,0.32
Sin información,Los Andes,0.0021,0.0,0.159
Sin información,Los Andes,-0.0018,0.0,0.0
Sin información,Calle Larga,0.0041,0.0,0.296
Sin información,Calle Larga,-0.0006,0.0,0.0
Sin información,Los Andes,-0.0026,0.0,0.0
Sin información,Calle Larga,-0.0022,0.0,0.0
Sin información,Los Andes,-0.005,0.0,0.0
Sin información,Los Andes,0.0028,0.0,0.209
Sin información,Los Andes,-0.0038,0.0,0.0
Sin información,Los Andes,-0.0025,0.0,0.0
Sin información,Los Andes,-0.0044,0.0,0.0
Sin información,Los Andes,-0.0048,0.0,0.0
Sin información,Los Andes,-0.0078,0.0,0.0
Sin información,Los Andes,-0.0046,0.0,0.0
Sin información,Los Andes,0.0041,0.0,0.3
Sin información,Calle Larga,-0.0028,0.0,0.0
Sin información,Los Andes,0.0013,0.0,0.096
Sin información,Los Andes,-0.005,0.0,0.0
Sin información,Los Andes,0.0026,0.0,0.192
Sin información,Los Andes,-0.001,0.0,0.0
Sin información,Los Andes,-0.0064,0.0,0.0
Sin información,Los Andes,-0.0084,0.0,0.0
Sin información,Los Andes,-0.0067,0.0,0.0
Sin información,Los Andes,0.0017,0.0,0.123
Sin información,Calle Larga,-0.0005,0.0,0.0
Sin información,Los Andes,-0.0044,0.0,0.0
Sin información,Los Andes,-0.0011,0.0,0.0
Sin información,Los Andes,-0.0049,0.0,0.0
Sin información,Los Andes,0.0019,0.0,0.143
Sin información,Los Andes,0.0011,0.0,0.087
Sin información,Los Andes,-0.0031,0.0,0.0
Sin información,Los Andes,0.002,0.0,0.149
Sin información,Los Andes,-0.0091,0.0,0.0
Sin información,Los Andes,0.0069,0.0,0.498
Sin información,Calle Larga,0.0001,0.0,0.016
Sin información,Los Andes,-0.0077,0.0,0.0
Sin información,Los Andes,0.0006,0.0,0.05
Sin información,Calle Larga,0.0048,0.0,0.348
Sin información,Calle Larga,-0.0018,0.0,0.0
Sin información,Los Andes,0.0,0.0,0.009
Sin información,Los Andes,-0.0019,0.0,0.0
Sin información,Calle Larga,-0.0007,0.0,0.0
Sin información,Los Andes,-0.0036,0.0,0.0
Sin información,Los Andes,-0.007,0.0,0.0
Sin información,Los Andes,-0.0067,0.0,0.0
Sin información,Los Andes,-0.0029,0.0,0.0
Sin información,Los Andes,-0.0014,0.0,0.0
Sin información,Los Andes,-0.0025,0.0,0.0
Sin información,Los Andes,0.0092,0.0,0.662
Sin información,Los Andes,-0.0017,0.0,0.0
Sin información,Los Andes,-0.0038,0.0,0.0
Sin información,Calle Larga,-0.0121,0.0,0.0
Sin información,Los Andes,-0.0026,0.0,0.0
Sin información,Los Andes,-0.0062,0.0,0.0
Sin información,Los Andes,-0.0044,0.0,0.0
Sin información,Los Andes,-0.0127,0.0,0.0
Sin información,Los Andes,-0.0002,0.0,0.0
Sin información,Los Andes,-0.0028,0.0,0.0
Sin información,Los Andes,-0.001,0.0,0.0
Sin información,Los Andes,0.0052,0.0,0.376
Sin información,Los Andes,0.0065,0.0,0.47
Sin información,Calle Larga,-0.0025,0.0,0.0
Sin información,Los Andes,-0.0023,0.0,0.0
Sin información,Calle Larga,-0.0036,0.0,0.0
Sin información,Calle Larga,-0.0012,0.0,0.0
Sin información,Calle Larga,-0.0014,0.0,0.0
Sin información,Los Andes,0.0007,0.0,0.055
Sin información,Los Andes,-0.0102,0.0,0.0
