nom_humed,comuna,concavidad,depresion_m,acc_topo
Quebrada Las Tinajas,Algarrobo,-0.0015,0.0,0.0
Laguna Sausalito,Viña del Mar,-0.0008,4.46,0.661
Laguna El Peral,El Tabo,-0.0,2.44,0.362
Embalse Quebrada El Tranque,San Antonio,-0.0016,1.11,0.164
Lago Peñuelas,Valparaíso,-0.0,6.72,0.997
Humedal sector Fundo Los Arrayanes,Olmué,0.0015,0.0,0.11
Esteros Catapilco - La Canela,Puchuncaví,-0.0023,0.0,0.0
Esteros Catapilco - La Canela,Puchuncaví,-0.0028,0.0,0.0
Esteros Catapilco - La Canela,Zapallar,-0.002,4.17,0.619
Esteros Catapilco - La Canela,Zapallar,0.0004,0.0,0.034
Embalse,Rinconada,-0.0,0.0,0.003
Embalse 2 Calle Larga.,Calle Larga,-0.0006,0.38,0.057
Sector Quintay N°3,Casablanca,0.0003,0.0,0.027
Embalse 17 Rinconada,Rinconada,-0.0004,0.0,0.0
Embalse 14 Rinconada,Rinconada,0.0023,0.0,0.166
Embalse 15 Rinconada,Rinconada,-0.0028,0.0,0.0
Estero Cartagena,Cartagena,-0.0031,0.75,0.111
Humedal sector Av. El Rincón,Villa Alemana,-0.0014,0.0,0.0
Humedales Sector Tunquen,Algarrobo,-0.0024,1.3,0.193
Humedales Sector Tunquen,Algarrobo,-0.0008,2.1,0.311
Embalse Casablanca 2,Casablanca,-0.0005,0.52,0.077
Embalses Quintay 3,Casablanca,-0.0018,0.67,0.099
Laguna artificial Bahía,Algarrobo,0.0004,0.0,0.034
Humedal Sector Esteros de la Laja,Concón,-0.0006,0.0,0.0
Embalse 1 San Felipe,San Felipe,-0.0011,0.0,0.0
Humedales Sector Los Maitenes,Puchuncaví,-0.0038,1.14,0.169
Embalse 3 Catemu,Catemu,-0.0019,0.35,0.051
Tranque Antiguo,Catemu,0.0084,0.0,0.603
Tranque Antiguo,Catemu,0.0057,0.0,0.414
Estero Puchuncavi - Campiche,Puchuncaví,-0.0006,2.5,0.371
Estero Puchuncavi - Campiche,Quintero,0.0013,0.0,0.101
Sector Quintero N°9,Quintero,-0.0001,1.98,0.293
Estero Los Molles,La Ligua,0.0001,0.0,0.011
Sin identificar,La Ligua,-0.0002,0.09,0.013
Quebrada Talcalan,Papudo,-0.0024,5.88,0.872
Sin identificar,Papudo,-0.0001,0.0,0.001
Humedal Sector El Alto,Puchuncaví,-0.0019,0.0,0.0
Sector Quintero N°10,Quintero,-0.0001,0.1,0.014
Petras Quintero,Quintero,0.0004,0.0,0.037
Humedal Sector Las Gaviotas,Quintero,-0.0012,0.0,0.0
Des.Estero Mantagua,Quintero,-0.0007,0.0,0.0
Des.Estero Mantagua,Quintero,0.001,0.0,0.08
Des.Estero Mantagua,Quintero,-0.0016,0.0,0.0
Des.Estero Mantagua,Quintero,-0.0,0.0,0.003
Des.Estero Mantagua,Quintero,-0.0021,0.88,0.13
Des.Estero Mantagua,Quintero,-0.0013,0.0,0.0
Des.Estero Mantagua,Quintero,-0.0019,1.08,0.16
