nom_humed,comuna,cuenca,acuifero,sobre_acuifero
Embalse,San Antonio,Rio Maipo,Rio Maipo,True
Embalse,San Antonio,Rio Maipo,Rio Maipo,True
Quebrada Las Petras,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Quebrada Las Petras,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Quebrada El Batro,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Quebrada Pino Mar,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero El Totoral,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse,San Antonio,Rio Maipo,Rio Maipo,True
Embalse sector Quebrada Los Coiles,San Antonio,Rio Maipo,Cuencas Costeras V Sur,True
Embalse sector Quebrada Los Coiles,San Antonio,Rio Maipo,Cuencas Costeras V Sur,True
Humedal sector Las Palmas,Cartagena,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero de la Viña,Cartagena,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse San Juan,San Antonio,Rio Maipo,Rio Maipo,True
Embalse,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse Casablanca 1,Casablanca,Costeras entre Aconcagua y Maipo,Estero Casablanca,True
Embalses Quintay 2,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalses Quintay 1,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse sector Las Tablas,Valparaíso,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse 1 Calle Larga,Calle Larga,Rio Aconcagua,Rio Aconcagua,True
Embalse La Invernada,Valparaíso,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse 3 San Esteban.,San Esteban,Rio Aconcagua,Rio Aconcagua,True
Embalse 4 San Esteban.,San Esteban,Rio Aconcagua,Rio Aconcagua,True
